Chromosome	Location	Probe_ID	Gene_Feature	Start	End	Strand	transcript_id	targetFromSourceId	Gene_symbol	canonical
chr1	10210654	cg15208524	exon	10210570	10210878	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10210654	cg15208524	five_prime_UTR	10210570	10210878	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10210654	cg15208524	exon	10210570	10210878	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10210654	cg15208524	five_prime_UTR	10210570	10210878	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10210654	cg15208524	promoter	10210615	10211615	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10210677	cg19955419	promoter	10209804	10210804	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10210677	cg19955419	exon	10210570	10210878	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10210677	cg19955419	five_prime_UTR	10210570	10210878	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10210677	cg19955419	exon	10210570	10210878	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10210677	cg19955419	five_prime_UTR	10210570	10210878	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10210677	cg19955419	promoter	10210615	10211615	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10211133	cg06615861	promoter	10210615	10211615	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10211133	cg06615861	intron	10210879	10232249	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10211133	cg06615861	intron	10210879	10232249	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10211133	cg06615861	intron	10210879	10232249	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10211159	cg11342332	promoter	10210615	10211615	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10211159	cg11342332	intron	10210879	10232249	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10211159	cg11342332	intron	10210879	10232249	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10211159	cg11342332	intron	10210879	10232249	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10211470	cg06979961	promoter	10210615	10211615	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10211470	cg06979961	intron	10210879	10232249	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10211470	cg06979961	intron	10210879	10232249	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10211470	cg06979961	intron	10210879	10232249	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10211484	cg13790717	promoter	10210615	10211615	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10211484	cg13790717	intron	10210879	10232249	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10211484	cg13790717	intron	10210879	10232249	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10211484	cg13790717	intron	10210879	10232249	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10211552	cg25830243	promoter	10210615	10211615	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10211552	cg25830243	intron	10210879	10232249	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10211552	cg25830243	intron	10210879	10232249	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10211552	cg25830243	intron	10210879	10232249	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10211666	cg19092837	exon	10211616	10211738	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10211666	cg19092837	five_prime_UTR	10211616	10211738	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10211666	cg19092837	intron	10210879	10232249	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10211666	cg19092837	intron	10210879	10232249	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10211666	cg19092837	intron	10210879	10232249	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10212127	cg00891184	intron	10210879	10232249	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10212127	cg00891184	intron	10210879	10232249	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10212127	cg00891184	intron	10210879	10232249	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10212127	cg00891184	intron	10211739	10232249	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10213907	cg25542772	intron	10210879	10232249	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10213907	cg25542772	intron	10210879	10232249	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10213907	cg25542772	intron	10210879	10232249	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10213907	cg25542772	intron	10211739	10232249	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10216384	cg21308660	intron	10210879	10232249	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10216384	cg21308660	intron	10210879	10232249	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10216384	cg21308660	intron	10210879	10232249	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10216384	cg21308660	intron	10211739	10232249	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10217925	cg05390356	intron	10210879	10232249	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10217925	cg05390356	intron	10210879	10232249	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10217925	cg05390356	intron	10210879	10232249	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10217925	cg05390356	intron	10211739	10232249	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10218156	cg24915233	intron	10210879	10232249	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10218156	cg24915233	intron	10210879	10232249	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10218156	cg24915233	intron	10210879	10232249	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10218156	cg24915233	intron	10211739	10232249	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10230153	cg06376619	promoter	10229763	10230763	+	ENST00000377083	ENSG00000054523	KIF1B	No
chr1	10230153	cg06376619	intron	10210879	10232249	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10230153	cg06376619	intron	10210879	10232249	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10230153	cg06376619	intron	10210879	10232249	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10230153	cg06376619	intron	10211739	10232249	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10230214	cg08496872	promoter	10229763	10230763	+	ENST00000377083	ENSG00000054523	KIF1B	No
chr1	10230214	cg08496872	intron	10210879	10232249	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10230214	cg08496872	intron	10210879	10232249	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10230214	cg08496872	intron	10210879	10232249	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10230214	cg08496872	intron	10211739	10232249	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10230225	cg25758009	promoter	10229763	10230763	+	ENST00000377083	ENSG00000054523	KIF1B	No
chr1	10230225	cg25758009	intron	10210879	10232249	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10230225	cg25758009	intron	10210879	10232249	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10230225	cg25758009	intron	10210879	10232249	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10230225	cg25758009	intron	10211739	10232249	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10230715	cg21280745	promoter	10229763	10230763	+	ENST00000377083	ENSG00000054523	KIF1B	No
chr1	10230715	cg21280745	intron	10210879	10232249	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10230715	cg21280745	intron	10210879	10232249	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10230715	cg21280745	intron	10210879	10232249	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10230715	cg21280745	intron	10211739	10232249	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10230729	cg09513023	promoter	10229763	10230763	+	ENST00000377083	ENSG00000054523	KIF1B	No
chr1	10230729	cg09513023	intron	10210879	10232249	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10230729	cg09513023	intron	10210879	10232249	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10230729	cg09513023	intron	10210879	10232249	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10230729	cg09513023	intron	10211739	10232249	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10230731	cg27266396	promoter	10229763	10230763	+	ENST00000377083	ENSG00000054523	KIF1B	No
chr1	10230731	cg27266396	intron	10210879	10232249	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10230731	cg27266396	intron	10210879	10232249	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10230731	cg27266396	intron	10210879	10232249	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10230731	cg27266396	intron	10211739	10232249	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10231726	cg26856575	intron	10230998	10232249	+	ENST00000377083	ENSG00000054523	KIF1B	No
chr1	10231726	cg26856575	promoter	10231249	10232249	+	ENST00000377081	ENSG00000054523	KIF1B	No
chr1	10231726	cg26856575	intron	10210879	10232249	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10231726	cg26856575	intron	10210879	10232249	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10231726	cg26856575	intron	10210879	10232249	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10231726	cg26856575	intron	10211739	10232249	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10231799	cg05298434	intron	10230998	10232249	+	ENST00000377083	ENSG00000054523	KIF1B	No
chr1	10231799	cg05298434	promoter	10231249	10232249	+	ENST00000377081	ENSG00000054523	KIF1B	No
chr1	10231799	cg05298434	intron	10210879	10232249	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10231799	cg05298434	intron	10210879	10232249	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10231799	cg05298434	intron	10210879	10232249	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10231799	cg05298434	intron	10211739	10232249	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10231848	cg13827700	intron	10230998	10232249	+	ENST00000377083	ENSG00000054523	KIF1B	No
chr1	10231848	cg13827700	promoter	10231249	10232249	+	ENST00000377081	ENSG00000054523	KIF1B	No
chr1	10231848	cg13827700	intron	10210879	10232249	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10231848	cg13827700	intron	10210879	10232249	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10231848	cg13827700	intron	10210879	10232249	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10231848	cg13827700	intron	10211739	10232249	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10232137	cg02994124	intron	10230998	10232249	+	ENST00000377083	ENSG00000054523	KIF1B	No
chr1	10232137	cg02994124	promoter	10231249	10232249	+	ENST00000377081	ENSG00000054523	KIF1B	No
chr1	10232137	cg02994124	intron	10210879	10232249	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10232137	cg02994124	intron	10210879	10232249	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10232137	cg02994124	intron	10210879	10232249	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10232137	cg02994124	intron	10211739	10232249	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10253971	cg23716690	intron	10232435	10256246	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10253971	cg23716690	intron	10232435	10256246	+	ENST00000377081	ENSG00000054523	KIF1B	No
chr1	10253971	cg23716690	intron	10232435	10256246	+	ENST00000377083	ENSG00000054523	KIF1B	No
chr1	10253971	cg23716690	intron	10232435	10256246	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10253971	cg23716690	intron	10232435	10256246	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10253971	cg23716690	intron	10232435	10256246	+	ENST00000620295	ENSG00000054523	KIF1B	No
chr1	10253971	cg23716690	intron	10232435	10256246	+	ENST00000622724	ENSG00000054523	KIF1B	No
chr1	10253971	cg23716690	intron	10232435	10256246	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10278528	cg22733664	intron	10278129	10279096	+	ENST00000377081	ENSG00000054523	KIF1B	No
chr1	10278528	cg22733664	intron	10278129	10279096	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10278528	cg22733664	intron	10278129	10279096	+	ENST00000622724	ENSG00000054523	KIF1B	No
chr1	10278528	cg22733664	intron	10278129	10279096	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10278528	cg22733664	intron	10278129	10282321	+	ENST00000620295	ENSG00000054523	KIF1B	No
chr1	10278528	cg22733664	intron	10278129	10282399	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10278528	cg22733664	intron	10278129	10282399	+	ENST00000377083	ENSG00000054523	KIF1B	No
chr1	10278528	cg22733664	intron	10278129	10282399	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10282378	cg09931680	intron	10278129	10282399	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10282378	cg09931680	intron	10278129	10282399	+	ENST00000377083	ENSG00000054523	KIF1B	No
chr1	10282378	cg09931680	intron	10278129	10282399	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10282378	cg09931680	intron	10279139	10282399	+	ENST00000622724	ENSG00000054523	KIF1B	No
chr1	10282378	cg09931680	exon	10282322	10282383	+	ENST00000495136	ENSG00000054523	KIF1B	No
chr1	10282378	cg09931680	exon	10282322	10282533	+	ENST00000377081	ENSG00000054523	KIF1B	No
chr1	10282378	cg09931680	exon	10282322	10282533	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10282378	cg09931680	exon	10282322	10282533	+	ENST00000620295	ENSG00000054523	KIF1B	No
chr1	10282378	cg09931680	exon	10282322	10282533	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10283863	cg18833386	intron	10282534	10291081	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10283863	cg18833386	intron	10282534	10291081	+	ENST00000377081	ENSG00000054523	KIF1B	No
chr1	10283863	cg18833386	intron	10282534	10291081	+	ENST00000377083	ENSG00000054523	KIF1B	No
chr1	10283863	cg18833386	intron	10282534	10291081	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10283863	cg18833386	intron	10282534	10291081	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10283863	cg18833386	intron	10282534	10291081	+	ENST00000497835	ENSG00000054523	KIF1B	No
chr1	10283863	cg18833386	intron	10282534	10291081	+	ENST00000620295	ENSG00000054523	KIF1B	No
chr1	10283863	cg18833386	intron	10282534	10291081	+	ENST00000622724	ENSG00000054523	KIF1B	No
chr1	10283863	cg18833386	intron	10282534	10291081	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10286798	cg03954927	intron	10282534	10291081	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10286798	cg03954927	intron	10282534	10291081	+	ENST00000377081	ENSG00000054523	KIF1B	No
chr1	10286798	cg03954927	intron	10282534	10291081	+	ENST00000377083	ENSG00000054523	KIF1B	No
chr1	10286798	cg03954927	intron	10282534	10291081	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10286798	cg03954927	intron	10282534	10291081	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10286798	cg03954927	intron	10282534	10291081	+	ENST00000497835	ENSG00000054523	KIF1B	No
chr1	10286798	cg03954927	intron	10282534	10291081	+	ENST00000620295	ENSG00000054523	KIF1B	No
chr1	10286798	cg03954927	intron	10282534	10291081	+	ENST00000622724	ENSG00000054523	KIF1B	No
chr1	10286798	cg03954927	intron	10282534	10291081	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10297689	cg02500737	intron	10297247	10303162	+	ENST00000377083	ENSG00000054523	KIF1B	No
chr1	10297689	cg02500737	intron	10297247	10303162	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10297689	cg02500737	intron	10297247	10320042	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10297689	cg02500737	intron	10297247	10320042	+	ENST00000377081	ENSG00000054523	KIF1B	No
chr1	10297689	cg02500737	intron	10297247	10320042	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10297689	cg02500737	intron	10297247	10320042	+	ENST00000620295	ENSG00000054523	KIF1B	No
chr1	10297689	cg02500737	intron	10297247	10320042	+	ENST00000622724	ENSG00000054523	KIF1B	No
chr1	10297689	cg02500737	intron	10297247	10320042	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10297959	cg15635565	intron	10297247	10303162	+	ENST00000377083	ENSG00000054523	KIF1B	No
chr1	10297959	cg15635565	intron	10297247	10303162	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10297959	cg15635565	intron	10297247	10320042	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10297959	cg15635565	intron	10297247	10320042	+	ENST00000377081	ENSG00000054523	KIF1B	No
chr1	10297959	cg15635565	intron	10297247	10320042	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10297959	cg15635565	intron	10297247	10320042	+	ENST00000620295	ENSG00000054523	KIF1B	No
chr1	10297959	cg15635565	intron	10297247	10320042	+	ENST00000622724	ENSG00000054523	KIF1B	No
chr1	10297959	cg15635565	intron	10297247	10320042	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10298564	cg09214323	intron	10297247	10303162	+	ENST00000377083	ENSG00000054523	KIF1B	No
chr1	10298564	cg09214323	intron	10297247	10303162	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10298564	cg09214323	intron	10297247	10320042	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10298564	cg09214323	intron	10297247	10320042	+	ENST00000377081	ENSG00000054523	KIF1B	No
chr1	10298564	cg09214323	intron	10297247	10320042	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10298564	cg09214323	intron	10297247	10320042	+	ENST00000620295	ENSG00000054523	KIF1B	No
chr1	10298564	cg09214323	intron	10297247	10320042	+	ENST00000622724	ENSG00000054523	KIF1B	No
chr1	10298564	cg09214323	intron	10297247	10320042	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10298881	cg17332071	intron	10297247	10303162	+	ENST00000377083	ENSG00000054523	KIF1B	No
chr1	10298881	cg17332071	intron	10297247	10303162	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10298881	cg17332071	intron	10297247	10320042	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10298881	cg17332071	intron	10297247	10320042	+	ENST00000377081	ENSG00000054523	KIF1B	No
chr1	10298881	cg17332071	intron	10297247	10320042	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10298881	cg17332071	intron	10297247	10320042	+	ENST00000620295	ENSG00000054523	KIF1B	No
chr1	10298881	cg17332071	intron	10297247	10320042	+	ENST00000622724	ENSG00000054523	KIF1B	No
chr1	10298881	cg17332071	intron	10297247	10320042	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10298883	cg04507312	intron	10297247	10303162	+	ENST00000377083	ENSG00000054523	KIF1B	No
chr1	10298883	cg04507312	intron	10297247	10303162	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10298883	cg04507312	intron	10297247	10320042	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10298883	cg04507312	intron	10297247	10320042	+	ENST00000377081	ENSG00000054523	KIF1B	No
chr1	10298883	cg04507312	intron	10297247	10320042	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10298883	cg04507312	intron	10297247	10320042	+	ENST00000620295	ENSG00000054523	KIF1B	No
chr1	10298883	cg04507312	intron	10297247	10320042	+	ENST00000622724	ENSG00000054523	KIF1B	No
chr1	10298883	cg04507312	intron	10297247	10320042	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10298893	cg19183454	intron	10297247	10303162	+	ENST00000377083	ENSG00000054523	KIF1B	No
chr1	10298893	cg19183454	intron	10297247	10303162	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10298893	cg19183454	intron	10297247	10320042	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10298893	cg19183454	intron	10297247	10320042	+	ENST00000377081	ENSG00000054523	KIF1B	No
chr1	10298893	cg19183454	intron	10297247	10320042	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10298893	cg19183454	intron	10297247	10320042	+	ENST00000620295	ENSG00000054523	KIF1B	No
chr1	10298893	cg19183454	intron	10297247	10320042	+	ENST00000622724	ENSG00000054523	KIF1B	No
chr1	10298893	cg19183454	intron	10297247	10320042	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10299147	cg20948936	intron	10297247	10303162	+	ENST00000377083	ENSG00000054523	KIF1B	No
chr1	10299147	cg20948936	intron	10297247	10303162	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10299147	cg20948936	intron	10297247	10320042	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10299147	cg20948936	intron	10297247	10320042	+	ENST00000377081	ENSG00000054523	KIF1B	No
chr1	10299147	cg20948936	intron	10297247	10320042	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10299147	cg20948936	intron	10297247	10320042	+	ENST00000620295	ENSG00000054523	KIF1B	No
chr1	10299147	cg20948936	intron	10297247	10320042	+	ENST00000622724	ENSG00000054523	KIF1B	No
chr1	10299147	cg20948936	intron	10297247	10320042	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10303573	cg08899504	intron	10297247	10320042	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10303573	cg08899504	intron	10297247	10320042	+	ENST00000377081	ENSG00000054523	KIF1B	No
chr1	10303573	cg08899504	intron	10297247	10320042	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10303573	cg08899504	intron	10297247	10320042	+	ENST00000620295	ENSG00000054523	KIF1B	No
chr1	10303573	cg08899504	intron	10297247	10320042	+	ENST00000622724	ENSG00000054523	KIF1B	No
chr1	10303573	cg08899504	intron	10297247	10320042	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10303573	cg08899504	exon	10303163	10306757	+	ENST00000377083	ENSG00000054523	KIF1B	No
chr1	10303573	cg08899504	exon	10303163	10308597	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10303931	cg26247646	intron	10297247	10320042	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10303931	cg26247646	intron	10297247	10320042	+	ENST00000377081	ENSG00000054523	KIF1B	No
chr1	10303931	cg26247646	intron	10297247	10320042	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10303931	cg26247646	intron	10297247	10320042	+	ENST00000620295	ENSG00000054523	KIF1B	No
chr1	10303931	cg26247646	intron	10297247	10320042	+	ENST00000622724	ENSG00000054523	KIF1B	No
chr1	10303931	cg26247646	intron	10297247	10320042	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10303931	cg26247646	exon	10303163	10306757	+	ENST00000377083	ENSG00000054523	KIF1B	No
chr1	10303931	cg26247646	exon	10303163	10308597	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10303967	cg11399195	intron	10297247	10320042	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10303967	cg11399195	intron	10297247	10320042	+	ENST00000377081	ENSG00000054523	KIF1B	No
chr1	10303967	cg11399195	intron	10297247	10320042	+	ENST00000377086	ENSG00000054523	KIF1B	No
chr1	10303967	cg11399195	intron	10297247	10320042	+	ENST00000620295	ENSG00000054523	KIF1B	No
chr1	10303967	cg11399195	intron	10297247	10320042	+	ENST00000622724	ENSG00000054523	KIF1B	No
chr1	10303967	cg11399195	intron	10297247	10320042	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10303967	cg11399195	exon	10303163	10306757	+	ENST00000377083	ENSG00000054523	KIF1B	No
chr1	10303967	cg11399195	exon	10303163	10308597	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10308228	cg11712187	intron	10297247	10320042	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10308228	cg11712187	intron	10297247	10320042	+	ENST00000377081	ENSG00000054523	KIF1B	No
chr1	10308228	cg11712187	intron	10297247	10320042	+	ENST00000377086	ENSG00000054523	KIF1B	No
