pathway_name	plot_group	n_plp	n_no_plp	OR	p	ci.int1	ci.int2	padj	cohort	perc_plp	fraction
Cancer predisposition genes	Craniopharyngioma	3	36	NA	NA	NA	NA	NA	PBTA	7.6923076923076925	3/39
Cancer predisposition genes	DIPG or DMG	6	47	NA	NA	NA	NA	NA	PBTA	11.320754716981133	6/53
Cancer predisposition genes	Ependymoma	11	60	NA	NA	NA	NA	NA	PBTA	15.492957746478872	11/71
Cancer predisposition genes	Germ cell tumor	4	9	NA	NA	NA	NA	NA	PBTA	30.76923076923077	4/13
Cancer predisposition genes	Low-grade glioma	42	179	NA	NA	NA	NA	NA	PBTA	19.004524886877828	42/221
Cancer predisposition genes	Medulloblastoma	26	70	NA	NA	NA	NA	NA	PBTA	27.083333333333332	26/96
Cancer predisposition genes	Meningioma	7	18	NA	NA	NA	NA	NA	PBTA	28.000000000000004	7/25
Cancer predisposition genes	Mesenchymal tumor	3	16	NA	NA	NA	NA	NA	PBTA	15.789473684210526	3/19
Cancer predisposition genes	Mixed neuronal-glial tumor	10	69	NA	NA	NA	NA	NA	PBTA	12.658227848101266	10/79
Cancer predisposition genes	Neurofibroma plexiform	10	5	NA	NA	NA	NA	NA	PBTA	66.66666666666666	10/15
Cancer predisposition genes	Non-neoplastic tumor	8	20	NA	NA	NA	NA	NA	PBTA	28.57142857142857	8/28
Cancer predisposition genes	Other high-grade glioma	23	53	NA	NA	NA	NA	NA	PBTA	30.263157894736842	23/76
Cancer predisposition genes	Other tumor	6	19	NA	NA	NA	NA	NA	PBTA	24	6/25
Cancer predisposition genes	Schwannoma	4	9	NA	NA	NA	NA	NA	PBTA	30.76923076923077	4/13
Cancer predisposition genes	Other CNS embryonal tumor	0	12	NA	NA	NA	NA	NA	PBTA	0	0/12
