Hugo_symbol	n	n_without	count_with_plp_PMBB_noTumor	count_without_plp_PMBB_noTumor	oddsRatio	pvalue	CI_lower	CI_upper	fdr
EZH2	2	836	7	6288	2.148707983091018	0.2862158866233988	0.21744420186820107	11.306546018793197	0.5380231624737505
FAH	4	834	9	6286	3.34875439098225	0.05681727012132039	0.7519416232520227	12.032989306782287	0.2239268881252039
FANCA	5	833	21	6274	1.7931038441658107	0.22155232908806985	0.5268498783784361	4.903728671896402	0.4948002016300227
FANCC	1	837	9	6286	0.8345090558368086	1	0.019015684862262825	6.035377092717091	1
FANCD2	2	836	9	6286	1.6707669255293205	0.3768066219016192	0.17536376420064007	8.091359087363948	0.5380231624737505
FANCG	1	837	6	6289	1.2522460166995917	0.5832321066633006	0.027192997139910923	10.341137432981366	0.697795556186449
FANCI	2	836	12	6283	1.2525477512823282	0.6759106896736261	0.1359449637271795	5.641807455971252	0.7944915124233851
FGFR1	1	837	NA	NA	0	0	0	0	0
FGFR2	2	836	1	6294	15.046277272896583	0.03812979011799322	0.7825039042884844	882.9098655217881	0.19651507214658048
FH	1	837	5	6290	1.5028790850556935	0.5276983978676011	0.031739775243347985	13.45421760618735	0.6428325937659868
GBA	2	836	9	6286	1.6707669255293205	0.3768066219016192	0.17536376420064007	8.091359087363948	0.5380231624737505
GJB2	9	829	32	6263	2.1245226712348027	0.05082924815487804	0.8887085460518103	4.5742911117566605	0.2239268881252039
HMBS	1	837	3	6292	2.505172671456141	0.39347962628677274	0.047675064071599806	31.227088751096808	0.5380231624737505
LZTR1	1	837	10	6285	0.7509232574453587	1	0.017282240283452148	5.289962991343298	1
MPL	2	836	17	6278	0.8834748066654039	1	0.09883371385430645	3.7324392600848464	1
MSH2	1	837	0	6295	Inf	0.11748212533295953	0.19261363808363388	Inf	0.3577864726049222
MSH6	1	837	4	6291	1.8787542066398744	0.4647749093800094	0.03810986288785512	19.01493552341655	0.5988445947780892
MTAP	1	837	2	6293	3.758158880813598	0.3127002122416863	0.06364395942263679	72.42281982319072	0.5380231624737505
MUTYH	5	833	18	6277	2.0928986969707126	0.1806835000619261	0.6057951293888374	5.86828009090544	0.4948002016300227
NBN	1	837	16	6279	0.4688998024873866	0.7116939072890811	0.01117054120699652	3.0257953571245033	0.8081947760740413
NF1	17	821	6	6289	21.68455188058532	6.7689866151953905e-12	8.128851526587766	67.42087564713603	1.1338052580452279e-10
NF2	4	834	0	6295	Inf	1.892948090786979e-4	4.970358070341893	Inf	0.0014091946898080845
PMS2	5	833	19	6276	1.982498527470648	0.19249580667606409	0.57697041800302	5.507322285285907	0.4948002016300227
POLE	1	837	5	6290	1.5028790850556935	0.5276983978676011	0.031739775243347985	13.45421760618735	0.6428325937659868
POLH	1	837	4	6291	1.8787542066398744	0.4647749093800094	0.03810986288785512	19.01493552341655	0.5988445947780892
PTCH1	4	834	0	6295	Inf	1.892948090786979e-4	4.970358070341893	Inf	0.0014091946898080845
PTPN11	1	837	5	6290	1.5028790850556935	0.5276983978676011	0.031739775243347985	13.45421760618735	0.6428325937659868
RAD50	4	834	9	6286	3.34875439098225	0.05681727012132039	0.7519416232520227	12.032989306782287	0.2239268881252039
RAD51D	4	834	4	6291	7.539206949787633	0.008967668310127979	1.4014964461001227	40.570638229713914	0.06008337767785746
RECQL4	5	833	23	6272	1.6366842808248574	0.36891673872398634	0.48473332277616193	4.417492582170107	0.5380231624737505
RMRP	2	836	NA	NA	0	0	0	0	0
SDHA	2	836	2	6293	7.5235717116864915	0.07036197010642671	0.5446879558231963	103.94551488483673	0.2619028887294772
SLX4	2	836	6	6289	2.5069676683362214	0.24015598228593876	0.24708544070146576	14.047107929499367	0.5190468004244483
SMARCB1	2	836	1	6294	15.046277272896583	0.03812979011799322	0.7825039042884844	882.9098655217881	0.19651507214658048
SMARCE1	2	836	0	6295	Inf	0.013787512465463687	1.4116947427591102	Inf	0.08397848501691518
SOS1	1	837	3	6292	2.505172671456141	0.39347962628677274	0.047675064071599806	31.227088751096808	0.5380231624737505
SOS2	1	837	1	6294	7.51578197034556	0.22117673820045525	0.09568286234023898	587.3728608672147	0.4948002016300227
SUFU	2	836	9	6286	1.6707669255293205	0.3768066219016192	0.17536376420064007	8.091359087363948	0.5380231624737505
TERT	2	836	3	6292	5.015716466040744	0.10829849391382611	0.41835608313505074	43.87109988195267	0.3577864726049222
TP53	9	829	4	6291	17.061172694706745	1.886538656562117e-6	4.749163042479272	75.9720957555366	2.1066348331610305e-5
TSC1	5	833	0	6295	Inf	2.2145023253139915e-5	6.907738174963094	Inf	2.1195950828005347e-4
TSC2	8	830	0	6295	Inf	3.5231020595083294e-8	12.912061888983686	Inf	4.7209567597411614e-7
VHL	1	837	3	6292	2.505172671456141	0.39347962628677274	0.047675064071599806	31.227088751096808	0.5380231624737505
WRN	1	837	16	6279	0.4688998024873866	0.7116939072890811	0.01117054120699652	3.0257953571245033	0.8081947760740413
XPC	2	836	9	6286	1.6707669255293205	0.3768066219016192	0.17536376420064007	8.091359087363948	0.5380231624737505
