pathway_id	pathway_name	genes	control_cohort	count_with_plp_case	count_without_plp_case	count_with_plp_control	count_without_plp_control	p	OR	ci.int1	ci.int2	FDR	database
path:hsa00513	Various types of N-glycan biosynthesis	ALG3,MAN1A2,MAN1B1,MGAT4B,MGAT4A,MGAT4D,DAD1,DDOST,ALG14,STT3B,FUT8,MGAT4C,B4GALT1,B4GALNT3,HEXD,HEXA,HEXB,B4GALNT4,STT3A,MAN1A1,MAN2A2,MAN2A1,MGAT1,MGAT2,ALG11,ALG1,MAN1C1,RPN1,RPN2,CHST8,ST3GAL3,ALG12,ALG9,ALG13,TUSC3,CHST9,ALG2,B4GALT3,B4GALT2	PMBB_noCancer	11	827	98	7971	0.741903318	1.081889993	0.520747476	2.032607461	1	KEGG
path:hsa00513	Various types of N-glycan biosynthesis	ALG3,MAN1A2,MAN1B1,MGAT4B,MGAT4A,MGAT4D,DAD1,DDOST,ALG14,STT3B,FUT8,MGAT4C,B4GALT1,B4GALNT3,HEXD,HEXA,HEXB,B4GALNT4,STT3A,MAN1A1,MAN2A2,MAN2A1,MGAT1,MGAT2,ALG11,ALG1,MAN1C1,RPN1,RPN2,CHST8,ST3GAL3,ALG12,ALG9,ALG13,TUSC3,CHST9,ALG2,B4GALT3,B4GALT2	PMBB_noTumor	11	827	82	6213	1	1.00780001	0.482145102	1.909343539	1	KEGG
path:hsa00514	Other types of O-glycan biosynthesis	POC1B-GALNT4,POMT1,GALNT6,GALNT5,GALNT13,GALNT15,B3GLCT,XXYLT1,GALNTL5,COLGALT2,POFUT2,POFUT1,GALNT1,GALNT2,GALNT3,GALNT8,B4GALT1,GXYLT1,EOGT,C1GALT1C1,POMT2,GALNT18,LFNG,MFNG,GALNTL6,GALNT9,GALNT7,GALNT10,C1GALT1,POGLUT1,GALNT16,RFNG,GALNT11,GALNT17,ST6GAL1,ST3GAL3,GXYLT2,C1GALT1C1L,GALNT14,GALNT12,COLGALT1,ST6GAL2,OGT,GALNT4,B4GALT3,B4GALT2,PLOD3	gnomAD	39	799	424	73599	3.3700000000000003e-22	8.474041227	5.895928389	11.879472700000001	NA	KEGG
path:hsa00514	Other types of O-glycan biosynthesis	POC1B-GALNT4,POMT1,GALNT6,GALNT5,GALNT13,GALNT15,B3GLCT,XXYLT1,GALNTL5,COLGALT2,POFUT2,POFUT1,GALNT1,GALNT2,GALNT3,GALNT8,B4GALT1,GXYLT1,EOGT,C1GALT1C1,POMT2,GALNT18,LFNG,MFNG,GALNTL6,GALNT9,GALNT7,GALNT10,C1GALT1,POGLUT1,GALNT16,RFNG,GALNT11,GALNT17,ST6GAL1,ST3GAL3,GXYLT2,C1GALT1C1L,GALNT14,GALNT12,COLGALT1,ST6GAL2,OGT,GALNT4,B4GALT3,B4GALT2,PLOD3	PMBB_noCancer	39	799	200	7869	6.50901e-4	1.920353329	1.315817206	2.741131875	NA	KEGG
path:hsa00514	Other types of O-glycan biosynthesis	POC1B-GALNT4,POMT1,GALNT6,GALNT5,GALNT13,GALNT15,B3GLCT,XXYLT1,GALNTL5,COLGALT2,POFUT2,POFUT1,GALNT1,GALNT2,GALNT3,GALNT8,B4GALT1,GXYLT1,EOGT,C1GALT1C1,POMT2,GALNT18,LFNG,MFNG,GALNTL6,GALNT9,GALNT7,GALNT10,C1GALT1,POGLUT1,GALNT16,RFNG,GALNT11,GALNT17,ST6GAL1,ST3GAL3,GXYLT2,C1GALT1C1L,GALNT14,GALNT12,COLGALT1,ST6GAL2,OGT,GALNT4,B4GALT3,B4GALT2,PLOD3	PMBB_noTumor	39	799	137	6158	7.09e-5	2.193684646	1.484370897	3.17827745	NA	KEGG
path:hsa00515	Mannose type O-glycan biosynthesis	RXYLT1,POMT1,FUT9,B4GAT1,LARGE2,B3GAT2,MGAT5B,B3GALNT2,FKTN,FUT4,B4GALT1,B3GAT1,POMT2,POMGNT1,ST3GAL3,CRPPA,FKRP,POMK,POMGNT2,B4GALT3,B4GALT2,LARGE1,CHST10	gnomAD	11	827	348	73675	0.002686783	2.815860761	1.387294214	5.127764927	0.902759009	KEGG
path:hsa00515	Mannose type O-glycan biosynthesis	RXYLT1,POMT1,FUT9,B4GAT1,LARGE2,B3GAT2,MGAT5B,B3GALNT2,FKTN,FUT4,B4GALT1,B3GAT1,POMT2,POMGNT1,ST3GAL3,CRPPA,FKRP,POMK,POMGNT2,B4GALT3,B4GALT2,LARGE1,CHST10	PMBB_noCancer	11	827	92	7977	0.610733332	1.153268319	0.554020732	2.172590708	1	KEGG
path:hsa00515	Mannose type O-glycan biosynthesis	RXYLT1,POMT1,FUT9,B4GAT1,LARGE2,B3GAT2,MGAT5B,B3GALNT2,FKTN,FUT4,B4GALT1,B3GAT1,POMT2,POMGNT1,ST3GAL3,CRPPA,FKRP,POMK,POMGNT2,B4GALT3,B4GALT2,LARGE1,CHST10	PMBB_noTumor	11	827	66	6229	0.47553452	1.255296198	0.595267885	2.407298353	1	KEGG
path:hsa05217	Basal cell carcinoma	CDKN1A,APC2,GADD45G,FZD10,CTNNB1,DDB2,GADD45A,DVL1,DVL2,DVL3,FZD2,GLI1,GLI2,GLI3,GSK3B,APC,KIF7,GADD45B,LEF1,WNT16,POLK,SUFU,WNT4,PTCH1,BAK1,BAX,HHIP,SHH,BMP2,BMP4,SMO,TCF7,TCF7L2,TP53,WNT1,WNT2,WNT3,WNT5A,WNT6,WNT7A,WNT7B,WNT8A,WNT8B,WNT10B,WNT11,WNT2B,WNT9A,WNT9B,FZD5,FZD3,WNT10A,WNT5B,AXIN1,AXIN2,FZD1,FZD4,FZD6,FZD7,FZD8,FZD9,TCF7L1,PTCH2,WNT3A	PMBB_noTumor	34	804	57	6238	1.93e-10	4.626538124	2.913498758	7.248019	6.47e-8	KEGG
path:hsa00520	Amino sugar and nucleotide sugar metabolism	GNPDA1,GNE,CHIT1,GNPDA2,NANP,CYB5R3,FCSK,GALE,GALK1,GALK2,GALT,GCK,GFPT1,CHIA,GMDS,GPI,GMPPB,GMPPA,HEXA,HEXB,HK1,HK2,HK3,MPI,AMDHD2,CYB5R4,CYB5R2,CYB5R1,PGM1,PGM3,PMM1,PMM2,NANS,PGM2,NAGK,CMAS,RENBP,CYB5RL,GNPNAT1,UAP1,GFUS,UGDH,UGP2,UXS1,HKDC1,NPL,FPGT,UAP1L1,GFPT2	PMBB_noCancer	30	808	221	7848	0.15492118	1.318440489	0.862884891	1.951686374	1	KEGG
path:hsa00520	Amino sugar and nucleotide sugar metabolism	GNPDA1,GNE,CHIT1,GNPDA2,NANP,CYB5R3,FCSK,GALE,GALK1,GALK2,GALT,GCK,GFPT1,CHIA,GMDS,GPI,GMPPB,GMPPA,HEXA,HEXB,HK1,HK2,HK3,MPI,AMDHD2,CYB5R4,CYB5R2,CYB5R1,PGM1,PGM3,PMM1,PMM2,NANS,PGM2,NAGK,CMAS,RENBP,CYB5RL,GNPNAT1,UAP1,GFUS,UGDH,UGP2,UXS1,HKDC1,NPL,FPGT,UAP1L1,GFPT2	PMBB_noTumor	30	808	186	6109	0.333305617	1.219416874	0.794583078	1.8146486	1	KEGG
path:hsa00524	Neomycin, kanamycin and gentamicin biosynthesis	GCK,HK1,HK2,HK3,HKDC1	gnomAD	5	833	128	73895	0.017304403	3.465091861	1.103377256	8.330503788	1	KEGG
path:hsa00524	Neomycin, kanamycin and gentamicin biosynthesis	GCK,HK1,HK2,HK3,HKDC1	PMBB_noCancer	5	833	24	8045	0.187920754	2.01186963	0.597943255	5.398053773	1	KEGG
path:hsa00524	Neomycin, kanamycin and gentamicin biosynthesis	GCK,HK1,HK2,HK3,HKDC1	PMBB_noTumor	5	833	19	6276	0.192495807	1.982498527	0.576970418	5.507322285	1	KEGG
path:hsa00531	Glycosaminoglycan degradation	HPSE,HGSNAT,HYAL4,GALNS,GLB1,GNS,GUSB,HEXA,HEXB,HYAL1,IDS,IDUA,ARSB,NAGLU,HPSE2,SGSH,SPAM1,HYAL3,HYAL2	gnomAD	15	823	745	73278	0.03493268	1.792628097	0.993665701	2.993558136	1	KEGG
path:hsa00531	Glycosaminoglycan degradation	HPSE,HGSNAT,HYAL4,GALNS,GLB1,GNS,GUSB,HEXA,HEXB,HYAL1,IDS,IDUA,ARSB,NAGLU,HPSE2,SGSH,SPAM1,HYAL3,HYAL2	PMBB_noCancer	15	823	128	7941	0.663764946	1.130692733	0.611870504	1.94747135	1	KEGG
path:hsa00531	Glycosaminoglycan degradation	HPSE,HGSNAT,HYAL4,GALNS,GLB1,GNS,GUSB,HEXA,HEXB,HYAL1,IDS,IDUA,ARSB,NAGLU,HPSE2,SGSH,SPAM1,HYAL3,HYAL2	PMBB_noTumor	15	823	96	6199	0.551657823	1.176868524	0.630972895	2.051707663	1	KEGG
path:hsa00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	UST,B4GALT7,CHST14,B3GALT6,CHST13,CHSY1,B3GAT3,DSE,CHSY3,CHST11,CHST15,CHPF2,CSGALNACT2,CHST12,CSGALNACT1,CHST7,XYLT1,XYLT2,CHPF,DSEL,CHST3	gnomAD	3	835	214	73809	0.525273022	1.239161953	0.253025233	3.682646934	1	KEGG
path:hsa00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	UST,B4GALT7,CHST14,B3GALT6,CHST13,CHSY1,B3GAT3,DSE,CHSY3,CHST11,CHST15,CHPF2,CSGALNACT2,CHST12,CSGALNACT1,CHST7,XYLT1,XYLT2,CHPF,DSEL,CHST3	PMBB_noCancer	3	835	29	8040	1	0.996077237	0.19375862	3.224027151	1	KEGG
path:hsa00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	UST,B4GALT7,CHST14,B3GALT6,CHST13,CHSY1,B3GAT3,DSE,CHSY3,CHST11,CHST15,CHPF2,CSGALNACT2,CHST12,CSGALNACT1,CHST7,XYLT1,XYLT2,CHPF,DSEL,CHST3	PMBB_noTumor	3	835	25	6270	1	0.901076395	0.173758308	2.962953874	1	KEGG
path:hsa00533	Glycosaminoglycan biosynthesis - keratan sulfate	CHST4,B3GNT2,FUT8,B4GALT1,CHST6,ST3GAL1,ST3GAL2,ST3GAL3,CHST1,B4GALT4,B4GALT3,B4GALT2,B3GNT7,CHST2	gnomAD	2	836	75	73948	0.213309855	2.358673792	0.280044072	8.847790298	1	KEGG
path:hsa00533	Glycosaminoglycan biosynthesis - keratan sulfate	CHST4,B3GNT2,FUT8,B4GALT1,CHST6,ST3GAL1,ST3GAL2,ST3GAL3,CHST1,B4GALT4,B4GALT3,B4GALT2,B3GNT7,CHST2	PMBB_noCancer	2	836	17	8052	0.698034297	1.133100443	0.126744166	4.78689462	1	KEGG
path:hsa00533	Glycosaminoglycan biosynthesis - keratan sulfate	CHST4,B3GNT2,FUT8,B4GALT1,CHST6,ST3GAL1,ST3GAL2,ST3GAL3,CHST1,B4GALT4,B4GALT3,B4GALT2,B3GNT7,CHST2	PMBB_noTumor	2	836	15	6280	1	1.001594689	0.110944422	4.319088419	1	KEGG
path:hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	B4GALT7,B3GALT6,EXT1,EXT2,EXTL1,EXTL2,EXTL3,HS3ST5,GLCE,B3GAT3,HS6ST3,NDST1,XYLT1,XYLT2,NDST4,NDST2,HS6ST2,NDST3,HS6ST1,HS2ST1,HS3ST3B1,HS3ST3A1,HS3ST2,HS3ST1	gnomAD	4	834	200	73823	0.29660169	1.7703156	0.476602515	4.621244668	1	KEGG
path:hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	B4GALT7,B3GALT6,EXT1,EXT2,EXTL1,EXTL2,EXTL3,HS3ST5,GLCE,B3GAT3,HS6ST3,NDST1,XYLT1,XYLT2,NDST4,NDST2,HS6ST2,NDST3,HS6ST1,HS2ST1,HS3ST3B1,HS3ST3A1,HS3ST2,HS3ST1	PMBB_noCancer	4	834	54	8015	0.65456499	0.711916483	0.186770148	1.937709935	1	KEGG
path:hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	B4GALT7,B3GALT6,EXT1,EXT2,EXTL1,EXTL2,EXTL3,HS3ST5,GLCE,B3GAT3,HS6ST3,NDST1,XYLT1,XYLT2,NDST4,NDST2,HS6ST2,NDST3,HS6ST1,HS2ST1,HS3ST3B1,HS3ST3A1,HS3ST2,HS3ST1	PMBB_noTumor	4	834	38	6257	0.81263665	0.789758462	0.204220342	2.201663738	1	KEGG
path:hsa03022	Basal transcription factors	CDK7,TAF6L,GTF2A1L,TAF8,TAF1L,ERCC2,ERCC3,TAF5L,GTF2A1,GTF2A2,GTF2B,GTF2E1,GTF2E2,GTF2F1,GTF2F2,GTF2H1,GTF2H2,GTF2H3,GTF2H4,GTF2I,TBPL2,GTF2H5,MNAT1,TAF9B,TAF7L,TAF1,TAF2,TAF4,TAF4B,TAF5,TAF6,TAF7,TAF9,TAF10,TAF11,TAF12,TAF13,TBP,GTF2H2C,GTF2H2C_2,TAF15,TAF3,CCNH,TBPL1,GTF2IRD1	gnomAD	20	818	401	73622	9.23e-8	4.488867519	2.698037291	7.072147089	3.1e-5	KEGG
path:hsa00561	Glycerolipid metabolism	AKR1A1,AGPAT1,AGPAT2,CEL,MGLL,MOGAT1,PNLIPRP3,MBOAT2,GLYCTK,GPAT4,DGKK,GPAT2,MBOAT1,DGKA,DGKB,DGKG,DGKH,DGKQ,PLPP4,ALDH2,ALDH1B1,ALDH9A1,ALDH3A2,AKR1B1,LPIN1,LCLAT1,TKFC,GK,GK2,GLA,MOGAT3,LIPC,LPL,ALDH7A1,PNLIP,PNLIPRP1,PNLIPRP2,AGPAT5,AGK,AGPAT3,AGPAT4,AKR1B10,PNPLA2,GPAM,LPIN3,ABHD16A,MOGAT2,PNPLA3,PLPP5,DGAT2,GPAT3,LIPF,DGKZ,DGKE,DGKD,PLPP1,PLPP2,PLPP3,DGAT1,DGKI,LIPG,LPIN2	PMBB_noCancer	24	814	161	7908	0.097681713	1.448119493	0.896007092	2.248488867	1	KEGG
path:hsa00561	Glycerolipid metabolism	AKR1A1,AGPAT1,AGPAT2,CEL,MGLL,MOGAT1,PNLIPRP3,MBOAT2,GLYCTK,GPAT4,DGKK,GPAT2,MBOAT1,DGKA,DGKB,DGKG,DGKH,DGKQ,PLPP4,ALDH2,ALDH1B1,ALDH9A1,ALDH3A2,AKR1B1,LPIN1,LCLAT1,TKFC,GK,GK2,GLA,MOGAT3,LIPC,LPL,ALDH7A1,PNLIP,PNLIPRP1,PNLIPRP2,AGPAT5,AGK,AGPAT3,AGPAT4,AKR1B10,PNPLA2,GPAM,LPIN3,ABHD16A,MOGAT2,PNPLA3,PLPP5,DGAT2,GPAT3,LIPF,DGKZ,DGKE,DGKD,PLPP1,PLPP2,PLPP3,DGAT1,DGKI,LIPG,LPIN2	PMBB_noTumor	24	814	122	6173	0.089752448	1.491740639	0.914868564	2.341569009	1	KEGG
path:hsa03410	Base excision repair	PARP2,PARP3,POLD3,PARP1,PARP4,FEN1,SMUG1,NEIL2,APEX2,POLL,HMGB1,APEX1,LIG1,LIG3,MPG,MUTYH,NTHL1,OGG1,PCNA,POLE3,POLB,POLD1,POLD2,POLE,POLE2,NEIL3,POLE4,POLD4,TDG,UNG,XRCC1,NEIL1,MBD4	gnomAD	15	823	367	73656	3.41e-5	3.658046102	2.017114983	6.148340633	0.011470179	KEGG
path:hsa00562	Inositol phosphate metabolism	CDIPT,PLCD3,PIP5KL1,PIKFYVE,INPP5F,SACM1L,PLCH1,PLCB1,PIP5K1C,IPMK,INPP5J,IMPA1,IMPA2,INPP1,INPP4A,INPP5A,INPP5B,INPP5D,INPPL1,ITPK1,ITPKA,ITPKB,ALDH6A1,MTM1,OCRL,PLCE1,ISYNA1,INPP5K,PIK3C2A,PIK3C2B,PIK3C2G,PIK3C3,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PI4KA,PI4KB,PIP4K2A,PLCB2,PLCB3,PLCB4,PLCD1,PLCG1,PLCG2,PI4K2B,PI4K2A,MIOX,MTMR8,INPP5E,PTEN,MTMR14,IPPK,TPI1,PIP4K2C,ITPKC,PIP5K1A,PIP5K1B,PIP4K2B,PLCD4,MTMR1,INPP4B,SYNJ1,SYNJ2,MTMR3,MTMR2,PLCZ1,MTMR6,MTMR7,MTMR4,MINPP1,PLCH2,FIG4	PMBB_noCancer	27	811	219	7850	0.375938088	1.193325602	0.76380223	1.798230628	1	KEGG
path:hsa00562	Inositol phosphate metabolism	CDIPT,PLCD3,PIP5KL1,PIKFYVE,INPP5F,SACM1L,PLCH1,PLCB1,PIP5K1C,IPMK,INPP5J,IMPA1,IMPA2,INPP1,INPP4A,INPP5A,INPP5B,INPP5D,INPPL1,ITPK1,ITPKA,ITPKB,ALDH6A1,MTM1,OCRL,PLCE1,ISYNA1,INPP5K,PIK3C2A,PIK3C2B,PIK3C2G,PIK3C3,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PI4KA,PI4KB,PIP4K2A,PLCB2,PLCB3,PLCB4,PLCD1,PLCG1,PLCG2,PI4K2B,PI4K2A,MIOX,MTMR8,INPP5E,PTEN,MTMR14,IPPK,TPI1,PIP4K2C,ITPKC,PIP5K1A,PIP5K1B,PIP4K2B,PLCD4,MTMR1,INPP4B,SYNJ1,SYNJ2,MTMR3,MTMR2,PLCZ1,MTMR6,MTMR7,MTMR4,MINPP1,PLCH2,FIG4	PMBB_noTumor	27	811	174	6121	0.436915249	1.171117449	0.745321355	1.777089379	1	KEGG
path:hsa00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	PIGK,PIGU,PIGN,GPLD1,PIGW,PIGP,PIGT,PIGA,PIGC,PIGF,PIGH,PIGG,PIGX,PIGV,MPPE1,PGAP1,PIGZ,PIGO,PIGY,GPAA1,DPM2,PIGQ,PIGM,PIGS,PIGL,PIGB	gnomAD	9	829	454	73569	0.112552765	1.759227558	0.796436701	3.385640907	1	KEGG
path:hsa00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	PIGK,PIGU,PIGN,GPLD1,PIGW,PIGP,PIGT,PIGA,PIGC,PIGF,PIGH,PIGG,PIGX,PIGV,MPPE1,PGAP1,PIGZ,PIGO,PIGY,GPAA1,DPM2,PIGQ,PIGM,PIGS,PIGL,PIGB	PMBB_noCancer	9	829	121	7948	0.447247017	0.713150744	0.317205114	1.406294346	1	KEGG
path:hsa00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	PIGK,PIGU,PIGN,GPLD1,PIGW,PIGP,PIGT,PIGA,PIGC,PIGF,PIGH,PIGG,PIGX,PIGV,MPPE1,PGAP1,PIGZ,PIGO,PIGY,GPAA1,DPM2,PIGQ,PIGM,PIGS,PIGL,PIGB	PMBB_noTumor	9	829	101	6194	0.296057244	0.665823924	0.294782618	1.32159115	1	KEGG
path:hsa04976	Bile secretion	ABCC4,SLCO1B1,ADCY1,UGT2B11,ADCY2,CFTR,SLC22A7,ADCY3,UGT2A1,SLC27A5,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,SLC51B,ABCC2,CYP3A4,CYP7A1,ADCY4,SLC51A,EPHX1,ATP1B4,GNAS,SLCO1B3,HMGCR,AQP8,AQP1,AQP4,AQP9,KCNN2,LDLR,ATP1A1,ATP1A2,ATP1A3,ATP1A4,ATP1B1,ATP1B2,ATP1B3,FXYD2,ABCB1,ABCB4,UGT2B28,UGT1A10,UGT1A8,UGT1A7,UGT1A6,UGT1A5,UGT1A9,UGT1A4,UGT1A1,UGT1A3,PRKACA,PRKACB,PRKACG,BAAT,UGT2A2,NCEH1,SLC4A5,RXRA,SCT,SCTR,ABCG5,ABCG8,SLC2A1,SLC4A2,SLC5A1,SLC9A1,SLC9A3,SLC10A1,SLC10A2,SLCO1A2,SLC22A1,SULT2A1,UGT2B4,UGT2B7,UGT2B10,UGT2B15,UGT2B17,CA2,UGT2A3,NR0B2,ABCB11,SLC4A4,ABCC3,SLC22A8,ABCG2,SCARB1,NR1H4	gnomAD	59	779	1834	72189	3.42e-12	2.981060566	2.238777825	3.904525407	1.15e-9	KEGG
path:hsa00564	Glycerophospholipid metabolism	PLA2G4B,LPCAT3,CEPT1,CDS1,PEMT,CDIPT,LYPLA1,AGPAT1,AGPAT2,PNPLA6,CHAT,PLAAT3,CHKA,CHKB,LYPLA2,PLD4,PLA2G4E,MBOAT2,GPAT4,DGKK,GPAT2,PLB1,MBOAT1,DGKA,DGKB,DGKG,DGKH,DGKQ,PHOSPHO1,PLPP4,GPD1L,LPIN1,PLD3,PLA2G15,PISD,LCLAT1,LPCAT4,PLA2G4F,PLA2G2D,GPD1,GPD2,PLA2G4D,PLA2G2E,PNPLA7,PLA2G2C,LCAT,ACHE,PLA2G3,PCYT1A,PLA1A,PLA2G1B,PLA2G2A,PLA2G4A,PLA2G5,PLD1,PLD2,CRLS1,LPCAT2,PLAAT2,ETNK2,AGPAT5,ETNK1,GPCPD1,AGPAT3,AGPAT4,ADPRM,CHPT1,GPAM,PCYT2,PLA2G2F,ETNPPL,LPIN3,TAFAZZIN,MBOAT7,LPCAT1,PTDSS2,PLA2G12A,PLA2G6,PLA2G10,GNPAT,PLPP5,PLA2G12B,GPAT3,DGKZ,DGKE,DGKD,SELENOI,PLA2G4C,PLPP1,PLPP2,PLPP3,JMJD7-PLA2G4B,CDS2,DGKI,PCYT1B,PGS1,LPIN2,PTDSS1,LPGAT1	PMBB_noCancer	28	810	201	7868	0.136513318	1.353079419	0.871087563	2.03121075	1	KEGG
path:hsa00564	Glycerophospholipid metabolism	PLA2G4B,LPCAT3,CEPT1,CDS1,PEMT,CDIPT,LYPLA1,AGPAT1,AGPAT2,PNPLA6,CHAT,PLAAT3,CHKA,CHKB,LYPLA2,PLD4,PLA2G4E,MBOAT2,GPAT4,DGKK,GPAT2,PLB1,MBOAT1,DGKA,DGKB,DGKG,DGKH,DGKQ,PHOSPHO1,PLPP4,GPD1L,LPIN1,PLD3,PLA2G15,PISD,LCLAT1,LPCAT4,PLA2G4F,PLA2G2D,GPD1,GPD2,PLA2G4D,PLA2G2E,PNPLA7,PLA2G2C,LCAT,ACHE,PLA2G3,PCYT1A,PLA1A,PLA2G1B,PLA2G2A,PLA2G4A,PLA2G5,PLD1,PLD2,CRLS1,LPCAT2,PLAAT2,ETNK2,AGPAT5,ETNK1,GPCPD1,AGPAT3,AGPAT4,ADPRM,CHPT1,GPAM,PCYT2,PLA2G2F,ETNPPL,LPIN3,TAFAZZIN,MBOAT7,LPCAT1,PTDSS2,PLA2G12A,PLA2G6,PLA2G10,GNPAT,PLPP5,PLA2G12B,GPAT3,DGKZ,DGKE,DGKD,SELENOI,PLA2G4C,PLPP1,PLPP2,PLPP3,JMJD7-PLA2G4B,CDS2,DGKI,PCYT1B,PGS1,LPIN2,PTDSS1,LPGAT1	PMBB_noTumor	28	810	152	6143	0.126002222	1.396965581	0.892403893	2.116933614	1	KEGG
path:hsa01230	Biosynthesis of amino acids	ABHD14A-ACY1,CBSL,SDS,SDSL,CPS1,GOT1L1,CS,CTH,NAGS,ENO1,ENO2,ENO3,PRPS1L1,ALDOA,ALDOB,RPIA,ALDOC,GAPDH,PHGDH,MAT2B,GLUL,GOT1,GOT2,GPT,PYCR2,PSAT1,IDH1,IDH2,IDH3A,IDH3B,IDH3G,ARG1,ARG2,ENO4,MAT1A,MAT2A,ASL,ASNS,PGAM4,ASS1,MTR,ACO1,ACO2,OTC,PAH,PC,PFKL,PFKM,PFKP,PGAM1,PGAM2,PGK1,PGK2,PKLR,PKM,PRPS1,PRPS2,PSPH,PYCR1,ALDH18A1,BCAT1,BCAT2,RPE,SHMT1,SHMT2,PYCR3,TALDO1,TKT,TPI1,RPEL1,TKTL1,TKTL2,GPT2,CBS,ACY1	gnomAD	59	779	1719	72304	2.66e-13	3.185546464	2.391735565	4.174402655	8.94e-11	KEGG
path:hsa00565	Ether lipid metabolism	PLA2G4B,CEPT1,PLAAT3,PLD4,PLA2G4E,ENPP6,PLB1,PLD3,LPCAT4,TMEM86B,PLA2G4F,PLA2G2D,PLA2G4D,GDPD1,PLA2G2E,PEDS1,PEDS1-UBE2V1,PLA2G2C,PAFAH1B1,PLA2G3,PAFAH1B2,PAFAH1B3,PAFAH2,ENPP2,PLA2G1B,PLA2G2A,PLA2G4A,PLA2G5,PLD1,PLD2,LPCAT2,PLAAT2,CHPT1,PLA2G2F,UGT8,GDPD3,PLA2G7,LPCAT1,PLA2G12A,PLA2G6,PLA2G10,PLA2G12B,AGPS,SELENOI,PLA2G4C,PLPP1,PLPP2,PLPP3,JMJD7-PLA2G4B,GAL3ST1	PMBB_noCancer	16	822	115	7954	0.288670992	1.346226308	0.740843567	2.294810012	1	KEGG
path:hsa00565	Ether lipid metabolism	PLA2G4B,CEPT1,PLAAT3,PLD4,PLA2G4E,ENPP6,PLB1,PLD3,LPCAT4,TMEM86B,PLA2G4F,PLA2G2D,PLA2G4D,GDPD1,PLA2G2E,PEDS1,PEDS1-UBE2V1,PLA2G2C,PAFAH1B1,PLA2G3,PAFAH1B2,PAFAH1B3,PAFAH2,ENPP2,PLA2G1B,PLA2G2A,PLA2G4A,PLA2G5,PLD1,PLD2,LPCAT2,PLAAT2,CHPT1,PLA2G2F,UGT8,GDPD3,PLA2G7,LPCAT1,PLA2G12A,PLA2G6,PLA2G10,PLA2G12B,AGPS,SELENOI,PLA2G4C,PLPP1,PLPP2,PLPP3,JMJD7-PLA2G4B,GAL3ST1	PMBB_noTumor	16	822	94	6201	0.368957978	1.283999192	0.701579806	2.208959846	1	KEGG
path:hsa00590	Arachidonic acid metabolism	PLA2G4B,PTGES3,PLAAT3,CYP4F8,CYP2U1,PLA2G4E,PRXL2B,PTGR2,PLB1,CYP2B6,CYP2C19,CYP2C8,CYP2C9,CYP2E1,CYP2J2,EPHX2,PTGR1,ALOX12,ALOX5,ALOX12B,ALOX15,ALOX15B,PLA2G4F,PLA2G2D,GGT1,GGT5,HPGDS,PLA2G4D,ZADH2,GPX4,PLA2G2E,HPGD,PLA2G2C,LTA4H,CYP4F3,LTC4S,PLA2G3,PLA2G1B,PLA2G2A,PLA2G4A,PLA2G5,PLAAT2,PTGDS,PTGIS,PTGS1,PTGS2,ALOXE3,PLA2G2F,TBXAS1,PTGES2,PLA2G12A,PLA2G6,PLA2G10,PLA2G12B,CYP4F2,PLA2G4C,AKR1C3,JMJD7-PLA2G4B,CBR1,CBR3,PTGES	gnomAD	17	821	624	73399	0.001092177	2.435684926	1.402755668	3.955735042	0.366971364	KEGG
path:hsa00590	Arachidonic acid metabolism	PLA2G4B,PTGES3,PLAAT3,CYP4F8,CYP2U1,PLA2G4E,PRXL2B,PTGR2,PLB1,CYP2B6,CYP2C19,CYP2C8,CYP2C9,CYP2E1,CYP2J2,EPHX2,PTGR1,ALOX12,ALOX5,ALOX12B,ALOX15,ALOX15B,PLA2G4F,PLA2G2D,GGT1,GGT5,HPGDS,PLA2G4D,ZADH2,GPX4,PLA2G2E,HPGD,PLA2G2C,LTA4H,CYP4F3,LTC4S,PLA2G3,PLA2G1B,PLA2G2A,PLA2G4A,PLA2G5,PLAAT2,PTGDS,PTGIS,PTGS1,PTGS2,ALOXE3,PLA2G2F,TBXAS1,PTGES2,PLA2G12A,PLA2G6,PLA2G10,PLA2G12B,CYP4F2,PLA2G4C,AKR1C3,JMJD7-PLA2G4B,CBR1,CBR3,PTGES	PMBB_noCancer	17	821	137	7932	0.48504385	1.198831395	0.67516368	2.003320557	1	KEGG
