plot_group	Hugo_symbol	n	hist_n	n_without	count_with_plp_PMBB_noTumor	count_without_plp_PMBB_noTumor	oddsRatio	pvalue	CI_lower	CI_upper	adjusted_p
Low-grade glioma	FANCD2	1	223	222	9	6286	3.145148288483336	0.29415805721067495	0.07146088493896745	22.882186898304102	1
Low-grade glioma	FANCI	1	223	222	12	6283	2.358006998046371	0.36426873591632747	0.05492769371625871	16.06377790496986	1
Low-grade glioma	GBA	2	223	221	9	6286	6.316403365682463	0.05229764964764591	0.6603907122689765	30.78113905744425	1
Low-grade glioma	GJB2	2	223	221	32	6263	1.7710043387378365	0.3251821064885925	0.2043641490245821	7.017640235386668	1
Low-grade glioma	HMBS	1	223	222	3	6292	9.438046005229431	0.13001583896216093	0.17916128994413413	117.97343198889003	1
Low-grade glioma	MPL	1	223	222	17	6278	1.6633110737841752	0.4660470199646043	0.03962775140199058	10.70663263209758	1
Low-grade glioma	MUTYH	1	223	222	18	6277	1.5706631984289843	0.4843657145104339	0.037534715490778206	10.03416089898285	1
Low-grade glioma	NF1	4	223	219	6	6289	19.11335701233546	2.3810940768938376e-4	3.9379418944501543	81.09934027788343	0.031192332407309273
Low-grade glioma	NF2	1	223	222	0	6295	Inf	0.0342129487572875	0.7238111623663891	Inf	1
Low-grade glioma	POLH	1	223	222	4	6291	7.078471319539216	0.15979883986965834	0.1432159122132667	71.9114830842775	1
Low-grade glioma	RAD51D	1	223	222	4	6291	7.078471319539216	0.15979883986965834	0.1432159122132667	71.9114830842775	1
Low-grade glioma	RECQL4	2	223	221	23	6272	2.4672412659921443	0.21012300555531374	0.2802531669511393	10.087704809683833	1
Low-grade glioma	SDHA	1	223	222	2	6293	14.153750431840244	0.09918200744413197	0.23917099253073526	272.24974588542887	1
Low-grade glioma	SOS1	1	223	222	3	6292	9.438046005229431	0.13001583896216093	0.17916128994413413	117.97343198889003	1
Low-grade glioma	TERT	1	223	222	3	6292	9.438046005229431	0.13001583896216093	0.17916128994413413	117.97343198889003	1
Low-grade glioma	TSC1	3	223	220	0	6295	Inf	3.95281927318494e-5	11.731779044257342	Inf	0.0051781932478722715
Low-grade glioma	TSC2	7	223	216	0	6295	Inf	5.005325638095938e-11	41.522847063455465	Inf	6.556976585905678e-9
Medulloblastoma	APC	1	97	96	1	6294	65.21823891920391	0.03012248920914873	0.8266683406625452	4890.583115231356	1
Medulloblastoma	COL7A1	2	97	95	33	6262	3.9931391711481012	0.0982373604166536	0.4577802173073484	16.004235765830344	1
Medulloblastoma	EDNRB	1	97	96	3	6292	21.779772386797944	0.0593466888473034	0.4119089796255958	273.95577131074486	1
Medulloblastoma	ERCC2	1	97	96	25	6270	2.6118083427326884	0.32858351506527567	0.0629818301893764	16.29104758527349	1
Medulloblastoma	EZH2	1	97	96	7	6288	9.346103435663691	0.11520551385215912	0.20550129987893365	73.88495776318587	1
Medulloblastoma	FAH	1	97	96	9	6286	7.270480785563205	0.1418908718777561	0.1642972696512665	53.289977390585825	1
Medulloblastoma	FANCA	2	97	95	21	6274	6.2849056947724655	0.046899436704767095	0.7046692636049228	26.320392832460797	1
Medulloblastoma	FANCC	1	97	96	9	6286	7.270480785563205	0.1418908718777561	0.1642972696512665	53.289977390585825	1
Medulloblastoma	GJB2	2	97	95	32	6263	4.1186637646128466	0.0935156015740258	0.4715841692895946	16.546119557366644	1
Medulloblastoma	MUTYH	1	97	96	18	6277	3.6314751509739174	0.25244867033248225	0.086297205123969975	23.47868392389969	1
Medulloblastoma	PTCH1	3	97	94	0	6295	Inf	3.3889107431952284e-6	27.17338835460282	Inf	4.4394730735857494e-4
Medulloblastoma	RAD50	1	97	96	9	6286	7.270480785563205	0.1418908718777561	0.1642972696512665	53.289977390585825	1
Medulloblastoma	RAD51D	1	97	96	4	6291	16.352938198671588	0.07363024726649746	0.3292683357118772	167.49141256487215	1
Medulloblastoma	SUFU	2	97	95	9	6286	14.682765178473407	0.011466889696844878	1.5237015413743225	72.25356176193779	1
Meningioma	BAP1	1	25	24	1	6294	254.98734177215235	0.007896368396697924	3.2080258980353737	16383.999999940395	1
Meningioma	BRCA1	1	25	24	18	6277	14.503316472843228	0.07264138922918877	0.33495234188409195	99.4473823768751	1
Meningioma	BRCA2	1	25	24	19	6276	13.741479942003819	0.07632079968296925	0.31814386043576404	93.9005097496453	1
Meningioma	NF2	2	25	23	0	6295	Inf	1.5024008365367876e-5	48.38627316243405	Inf	0.0019681450958631917
Meningioma	SMARCE1	2	25	23	0	6295	Inf	1.5024008365367876e-5	48.38627316243405	Inf	0.0019681450958631917
Mesenchymal tumor	BUB1B	1	20	19	3	6292	109.20381402157881	0.01261117713746079	1.9985093342337086	1501.0660842844186	1
Mesenchymal tumor	FH	1	20	19	5	6290	65.66818597139634	0.018859963465003918	1.3305789908414885	641.3569625094061	1
Mesenchymal tumor	MUTYH	1	20	19	18	6277	18.308838978667296	0.058570559952679714	0.4187406145022446	128.49454829510387	1
Mesenchymal tumor	POLE	1	20	19	5	6290	65.66818597139634	0.018859963465003918	1.3305789908414885	641.3569625094061	1
Mesenchymal tumor	VHL	1	20	19	3	6292	109.20381402157881	0.01261117713746079	1.9985093342337086	1501.0660842844186	1
Mixed neuronal-glial tumor	BRCA1	1	79	78	18	6277	4.468583701507851	0.21124281591417146	0.10596284478498415	29.018686673236626	1
Mixed neuronal-glial tumor	CHEK2	1	79	78	16	6279	5.027859645615084	0.19126546714437423	0.11847596512703693	33.186142717986975	1
Mixed neuronal-glial tumor	ERCC2	2	79	77	25	6270	6.509030881566208	0.043593167551691896	0.734594269572975	26.902876525663117	1
Mixed neuronal-glial tumor	FANCD2	1	79	78	9	6286	8.94197509627813	0.11733026402367829	0.20173748353240317	65.93466645752302	1
Mixed neuronal-glial tumor	GJB2	1	79	78	32	6263	2.50863218683509	0.3380758051299152	0.06085584936974225	15.418291882845061	1
Mixed neuronal-glial tumor	NF1	2	79	77	6	6289	27.139364691379765	0.004046635902625583	2.6395391568799798	154.60789480386327	0.5301093032439513
Mixed neuronal-glial tumor	PMS2	1	79	78	19	6276	4.232751226760585	0.2210479799649629	0.10064535489283558	27.300875074677567	1
Mixed neuronal-glial tumor	PTCH1	1	79	78	0	6295	Inf	0.012394101035456528	2.043281987941295	Inf	1
Mixed neuronal-glial tumor	RECQL4	1	79	78	23	6272	3.494728244974503	0.25907948207327486	0.08380894350445245	22.072494721791355	1
Mixed neuronal-glial tumor	RMRP	1	79	78	NA	NA	0	0	0	0	0
Neurofibroma plexiform	NF1	9	14	5	6	6289	1719.4210763351	2.2993396674883006e-22	407.5469806525547	8191.999999985097	3.012134964409674e-20
Neurofibroma plexiform	PMS2	1	14	13	19	6276	25.3331681976182	0.04352198315960717	0.5683275377453912	186.06459140307572	1
Neurofibroma plexiform	SLX4	1	14	13	6	6289	79.93365603188765	0.015437632069569829	1.6289186025661488	735.2842183199442	1
Non-neoplastic tumor	ABCB11	1	26	25	15	6280	16.704930855467204	0.06389406910686761	0.38267928496747056	117.36067331091964	1
Non-neoplastic tumor	ATM	1	26	25	30	6265	8.343763054283396	0.12021635409322129	0.19696763453512517	54.54145844211604	1
Non-neoplastic tumor	CDKN2A	1	26	25	2	6293	124.47240697426697	0.012291068868916314	2.0519371912774313	2498.408780649825	1
Non-neoplastic tumor	NF1	1	26	25	6	6289	41.70497151057183	0.028453379537102422	0.8768060930757403	362.4462346781264	1
Non-neoplastic tumor	PMS2	1	26	25	19	6276	13.184370762353197	0.07924337269457185	0.3059019015442242	89.82004868927443	1
Non-neoplastic tumor	TSC1	2	26	24	0	6295	Inf	1.6270859241547652e-5	46.459656673838175	Inf	0.0021314825606427424
Non-neoplastic tumor	TSC2	1	26	25	0	6295	Inf	0.0041132732162632475	6.207950073129478	Inf	0.5388387913304854
Other high-grade glioma	ATM	1	76	75	30	6265	2.7836484425277725	0.31127144935288104	0.06736278216592759	17.208810273497964	1
Other high-grade glioma	BRCA2	2	76	74	19	6276	8.919528950409534	0.025473401707156163	0.9898154750137712	38.055708325948615	1
Other high-grade glioma	BRIP1	1	76	75	15	6280	5.579093422272682	0.17489133196308343	0.1308773174609411	37.1649987501029	1
Other high-grade glioma	CHEK2	1	76	75	16	6279	5.229213998304091	0.18475887858319426	0.12315338085721038	34.53927902438371	1
Other high-grade glioma	FANCA	1	76	75	21	6274	3.9817124059131888	0.232376425520967	0.09507231660576966	25.420948804090944	1
Other high-grade glioma	FANCG	1	76	75	6	6289	13.956859748061339	0.08061034889472164	0.29987780064824804	116.76101842091974	1
Other high-grade glioma	GJB2	1	76	75	32	6263	2.6088967772815184	0.3276858717684526	0.06325844247436725	16.052500061330708	1
Other high-grade glioma	MSH6	1	76	75	4	6291	20.91601099979888	0.05825697345154029	0.42026246933884254	214.44255438376996	1
Other high-grade glioma	MUTYH	1	76	75	18	6277	4.646545130659862	0.20414591112606428	0.11014624858710514	30.21881965094363	1
Other high-grade glioma	PMS2	1	76	75	19	6276	4.4020109657854	0.21366809480906496	0.10461882646255106	28.423383669615966	1
Other high-grade glioma	RAD50	2	76	74	9	6286	18.82654029561106	0.007204472124853056	1.9481714055225794	93.26314832715248	0.9437858483557503
Other high-grade glioma	RECQL4	1	76	75	23	6272	3.634816076631281	0.2506453683933045	0.08711771952947557	23.004202503639533	1
Other high-grade glioma	RMRP	1	76	75	NA	NA	0	0	0	0	0
Other high-grade glioma	TP53	5	76	71	4	6291	109.61119434388003	2.5677837349267006e-8	23.14197736347874	571.0427757816883	3.3637966927539776e-6
Other high-grade glioma	WRN	1	76	75	16	6279	5.229213998304091	0.18475887858319426	0.12315338085721038	34.53927902438371	1
Other high-grade glioma	XPC	1	76	75	9	6286	9.300419879376985	0.11316214677519877	0.20970199764348843	68.7267861384266	1
Other tumor	ATM	3	33	30	30	6265	20.81923586309956	6.338017802639413e-4	3.861329189112832	72.90524283637633	0.0830280332145763
Other tumor	CREBBP	1	33	32	0	6295	Inf	0.0052149178255373	4.8906028157487595	Inf	0.6831542351453863
Other tumor	ERCC3	1	33	32	25	6270	7.82956120179545	0.12734291571202505	0.1851734668675853	50.98322378890902	1
Other tumor	GJB2	1	33	32	32	6263	6.111400269291442	0.1588468174945811	0.14571677674957784	39.06969627785099	1
Other tumor	RECQL4	1	33	32	23	6272	8.51212986416393	0.11813361460346611	0.20067647064948513	55.813716381122134	1
Schwannoma	FAH	1	13	12	9	6286	57.772720469729464	0.020433118925203903	1.226837662670078	479.3301817720693	1
Schwannoma	FGFR1	1	13	12	NA	NA	0	0	0	0	0
Schwannoma	LZTR1	1	13	12	10	6285	52.03852613627593	0.0224550893053202	1.115012440402001	422.3335878642541	1
Schwannoma	NF2	1	13	12	0	6295	Inf	0.002060875079264427	12.415894401993794	Inf	0.2699746353836399
Schwannoma	RAD51D	1	13	12	4	6291	129.0550560213582	0.010265232545526462	2.4585008458158137	1526.899679509465	1
