plot_group	Hugo_symbol	count_with_plp_PBTA	plot_group_n	count_without_plp_PBTA	count_with_plp_gnomAD	count_without_plp_gnomAD	oddsRatio_gnomad	pvalue_gnomad	CI_lower_gnomad	CI_upper_gnomad	adjusted_p_gnomad	count_with_plp_PMBB_noTumor	count_without_plp_PMBB_noTumor	oddsRatio_pmbb	pvalue_pmbb	CI_lower_pmbb	CI_upper_pmbb	adjusted_p_pmbb
Low-grade glioma	BUB1B	1	223	222	19	74004	17.54115421535761	0.05839430967995965	0.42038269207898116	111.31487922730301	1	3	6292	9.438046005229431	0.13001583896216093	0.1791612899441341	117.97343198889003	1
Low-grade glioma	CHEK2	2	223	221	88	73935	7.6027981687777695	0.03025532709027454	0.9009928131235825	28.635763108981273	1	16	6279	3.550185888357076	0.12465051441154967	0.39365643335797057	15.247968182357788	1
Low-grade glioma	CTNNA1	1	223	222	5	74018	66.63786982408972	0.017886993544029846	1.4035739977951682	591.5751775955853	1	0	6295	Inf	0.0342129487572875	0.7238111623663891	Inf	1
Low-grade glioma	EGFR	1	223	222	37	73986	9.007389413072705	0.10804034348845654	0.22113421321550503	53.866178103653084	1	2	6293	14.15375043184025	0.09918200744413197	0.23917099253073526	272.2497458854287	1
Low-grade glioma	ERCC2	1	223	222	100	73923	3.329738971412511	0.2621524046976944	0.08311096704378	19.172125050502288	1	25	6270	1.1297064248953907	0.596218259807011	0.027393723375705194	6.965733910119374	1
Low-grade glioma	EZH2	1	223	222	32	73991	10.41567034754153	0.09451722926246774	0.25466940305032576	62.9226419192092	1	7	6288	4.044693873279178	0.2431934455865171	0.08938269401590039	31.705422856204095	1
Low-grade glioma	FAH	1	223	222	62	73961	5.373969944095407	0.1726987165180672	0.13331992257924927	31.367192113817627	1	9	6286	3.1451482884833366	0.294158057210675	0.07146088493896743	22.8821868983041	1
Low-grade glioma	FANCA	1	223	222	124	73899	2.6843895358791188	0.3136179419425266	0.06713024847465751	15.392889183631967	1	21	6274	1.3457020200139784	0.5356517048455548	0.03239791690570934	8.44455941302544	1
Low-grade glioma	FANCD2	1	223	222	56	73967	5.9491916127824656	0.15761957322944145	0.14736865615787734	34.835584172800765	1	9	6286	3.1451482884833366	0.294158057210675	0.07146088493896743	22.8821868983041	1
Low-grade glioma	FANCI	1	223	222	69	73954	4.827116923849007	0.1899517321978177	0.11997417354635041	28.088712339780795	1	12	6283	2.358006998046373	0.3642687359163276	0.05492769371625868	16.06377790496986	1
Low-grade glioma	GBA	2	223	221	78	73945	8.578498104782863	0.024341105025418506	1.0146397047640339	32.40482392763236	1	9	6286	6.316403365682461	0.052297649647645904	0.6603907122689766	30.781139057444243	1
Low-grade glioma	GJB2	2	223	221	188	73835	3.5544487571365138	0.11195338971985651	0.42464630269880066	13.171927517156142	1	32	6263	1.7710043387378358	0.3251821064885925	0.20436414902458208	7.017640235386666	1
Low-grade glioma	HMBS	1	223	222	22	74001	15.149519327651005	0.06685565749250437	0.36550530269319037	94.61741386773652	1	3	6292	9.438046005229431	0.13001583896216093	0.1791612899441341	117.97343198889003	1
Low-grade glioma	KIF1B	1	223	222	10	74013	33.331341219216895	0.03254925493617092	0.7648191674156382	236.2953843780871	1	1	6294	28.29674632034294	0.06726044184108754	0.3595691349785752	2179.7293568317696	1
Low-grade glioma	MPL	1	223	222	68	73955	4.899182993092612	0.1875091224171448	0.1217148931486814	28.522598177561097	1	17	6278	1.6633110737841754	0.46604701996460435	0.0396277514019906	10.70663263209758	1
Low-grade glioma	MUTYH	1	223	222	73	73950	4.562874555468106	0.19964928438452842	0.11348183999141882	26.498440508295587	1	18	6277	1.5706631984289838	0.4843657145104341	0.03753471549077819	10.034160898982853	1
Low-grade glioma	NF1	4	223	219	23	74000	58.744017323961216	1.3167875195974138e-6	14.637956363819765	173.6433749830544	1.8961740282202758e-4	6	6289	19.113357012335456	2.3810940768938376e-4	3.9379418944501543	81.09934027788343	0.03428775470727126
Low-grade glioma	NF2	1	223	222	1	74022	333.2928897261922	0.005998076766740423	4.228797611405993	16383.999999940395	0.8637230544106209	0	6295	Inf	0.0342129487572875	0.7238111623663891	Inf	1
Low-grade glioma	POLH	1	223	222	26	73997	12.816168871220677	0.07801982120240764	0.3113142647788344	78.58355889397485	1	4	6291	7.078471319539217	0.15979883986965834	0.14321591221326666	71.9114830842775	1
Low-grade glioma	PTCH2	1	223	222	14	74009	23.81211423822715	0.04412199873391282	0.5606647960217813	157.15162087488707	1	4	6291	7.078471319539217	0.15979883986965834	0.14321591221326666	71.9114830842775	1
Low-grade glioma	RAD51D	1	223	222	19	74004	17.54115421535761	0.05839430967995965	0.42038269207898116	111.31487922730301	1	4	6291	7.078471319539217	0.15979883986965834	0.14321591221326666	71.9114830842775	1
Low-grade glioma	RECQL4	2	223	221	114	73909	5.866680796015646	0.04791212670049515	0.6976883518677028	21.933179180311164	1	23	6272	2.4672412659921443	0.21012300555531377	0.2802531669511392	10.087704809683835	1
Low-grade glioma	SDHA	1	223	222	49	73974	6.798972896654391	0.13968110470977654	0.16802136843565538	40.11086996406544	1	2	6293	14.15375043184025	0.09918200744413197	0.23917099253073526	272.2497458854287	1
Low-grade glioma	SOS1	1	223	222	5	74018	66.63786982408972	0.017886993544029846	1.4035739977951682	591.5751775955853	1	3	6292	9.438046005229431	0.13001583896216093	0.1791612899441341	117.97343198889003	1
Low-grade glioma	TERT	1	223	222	12	74011	27.78270513875016	0.0383529573397221	0.6470226858333952	189.6005326269952	1	3	6292	9.438046005229431	0.13001583896216093	0.1791612899441341	117.97343198889003	1
Low-grade glioma	TSC1	3	223	220	1	74022	1021.6802649246533	1.0669454209195156e-7	80.50581367832541	4503599627370496	1.5364014061241026e-5	0	6295	Inf	3.95281927318494e-5	11.731779044257348	Inf	0.005692059753386314
Low-grade glioma	TSC2	7	223	216	2	74021	1201.0824075702185	7.183448451762605e-17	225.3042066664853	16383.999999940395	1.0344165770538151e-14	0	6295	Inf	5.0053256380959366e-11	41.522847063455465	Inf	7.207668918858149e-9
Medulloblastoma	APC	1	97	96	11	74012	70.28265478186003	0.015592867826722314	1.611683944523234	494.4960906286567	1	1	6294	65.21823891920391	0.030122489209148735	0.8266683406625452	4890.583115231356	1
Medulloblastoma	COL7A1	2	97	95	132	73891	11.782942011476639	0.013502435400451653	1.3922583886219886	44.56612904520125	1	33	6262	3.9931391711481004	0.09823736041665357	0.45778021730734847	16.00423576583035	1
Medulloblastoma	EDNRB	1	97	96	13	74010	59.267568527651406	0.018168180705702298	1.3812157705758825	400.1825109588761	1	3	6292	21.779772386797955	0.0593466888473034	0.41190897962559586	273.95577131074486	1
Medulloblastoma	ERCC2	1	97	96	100	73923	7.6996545966939145	0.12396871685001959	0.1910835012598855	44.90631234654539	1	25	6270	2.611808342732689	0.32858351506527556	0.06298183018937636	16.29104758527349	1
Medulloblastoma	EZH2	1	97	96	32	73991	24.077901847772793	0.042303488839904715	0.5855180618192624	146.75696133690727	1	7	6288	9.346103435663691	0.11520551385215914	0.20550129987893379	73.88495776318587	1
Medulloblastoma	FAH	1	97	96	62	73961	12.424120718880692	0.07922164279048721	0.3065206228828579	73.49703394893712	1	9	6286	7.270480785563205	0.14189087187775618	0.1642972696512666	53.289977390585825	1
Medulloblastoma	FANCA	2	97	95	124	73899	12.543640461895729	0.012013487194018074	1.4812492124594023	47.54090960770872	1	21	6274	6.284905694772467	0.0468994367047671	0.7046692636049227	26.320392832460804	1
Medulloblastoma	FANCC	1	97	96	82	73941	9.391559209870472	0.10304761478675188	0.23258617225290987	55.01546429902266	1	9	6286	7.270480785563205	0.14189087187775618	0.1642972696512666	53.289977390585825	1
Medulloblastoma	GJB2	2	97	95	188	73835	8.265711047704382	0.025954202721511225	0.979812965219978	31.108530392008106	1	32	6263	4.1186637646128466	0.09351560157402579	0.4715841692895946	16.546119557366648	1
Medulloblastoma	MUTYH	1	97	96	73	73950	10.55246982177805	0.09240239531102981	0.2609102226027198	62.05042849553841	1	18	6277	3.6314751509739196	0.2524486703324822	0.086297205123969975	23.47868392389969	1
Medulloblastoma	PTCH1	3	97	94	3	74020	777.6757664703821	4.332794475985403e-8	103.38128105662834	8191.999999985097	6.239224045418981e-6	0	6295	Inf	3.3889107431952284e-6	27.17338835460282	Inf	4.8800314702011286e-4
Medulloblastoma	RAD50	1	97	96	86	73937	8.956178933274765	0.10773906919921776	0.22187901152557798	52.398434907033156	1	9	6286	7.270480785563205	0.14189087187775618	0.1642972696512666	53.289977390585825	1
Medulloblastoma	RAD51D	1	97	96	19	74004	40.54742765220627	0.025854179561015652	0.9665144669057693	258.42319902465465	1	4	6291	16.3529381986716	0.07363024726649747	0.32926833571187714	167.49141256487223	1
Medulloblastoma	SUFU	2	97	95	1	74022	1496.5089008653797	5.080752034688151e-6	79.9888869528701	4503599627370496	7.316282929950937e-4	9	6286	14.682765178473408	0.011466889696844878	1.5237015413743222	72.2535617619378	1
Meningioma	BAP1	1	25	24	7	74016	440.13653439639705	0.002697888639391625	9.388438753238496	3545.1453265579175	0.388495964072394	1	6294	254.98734177215235	0.007896368396697924	3.208025898035374	16383.999999940395	1
Meningioma	BRCA1	1	25	24	49	73974	62.93621320675893	0.016747556070743304	1.499370620315792	398.89420850071986	1	18	6277	14.503316472843228	0.07264138922918878	0.3349523418840919	99.4473823768751	1
Meningioma	BRCA2	1	25	24	108	73915	28.51130177667506	0.036163437500042125	0.6871638398160836	178.15825865158632	1	19	6276	13.74147994200383	0.07632079968296923	0.31814386043576387	93.9005097496453	1
Meningioma	NF2	2	25	23	1	74022	6299.077184290622	3.282175217484358e-7	316.02925291664195	4503599627370496	4.7263323131774754e-5	0	6295	Inf	1.5024008365367876e-5	48.38627316243405	Inf	0.0021634572046129743
Meningioma	SMARCE1	2	25	23	1	74022	6299.077184290622	3.282175217484358e-7	316.02925291664195	4503599627370496	4.7263323131774754e-5	0	6295	Inf	1.5024008365367876e-5	48.38627316243405	Inf	0.0021634572046129743
Mesenchymal tumor	BUB1B	1	20	19	19	74004	204.60071944465145	0.005389115767167082	4.689737669417363	1433.607461476804	0.7760326704720598	3	6292	109.20381402157871	0.012611177137460789	1.9985093342337086	1501.0660842844188	1
Mesenchymal tumor	FH	1	20	19	23	74000	168.18229652148815	0.006463622880429056	3.9075996793251577	1134.5815947785165	0.930761694781784	5	6290	65.66818597139631	0.018859963465003925	1.330578990841489	641.3569625094061	1
Mesenchymal tumor	MUTYH	1	20	19	73	73950	53.30606080718065	0.01980225570457036	1.2660392828752742	343.1614305333748	1	18	6277	18.308838978667293	0.05857055995267972	0.4187406145022443	128.49454829510387	1
Mesenchymal tumor	POLE	1	20	19	17	74006	228.5247345252058	0.004851448310198057	5.210597249362727	1576.3666878983686	0.6986085566685202	5	6290	65.66818597139631	0.018859963465003925	1.330578990841489	641.3569625094061	1
Mesenchymal tumor	VHL	1	20	19	10	74013	391.3704578792748	0.0029674369427223376	8.5322303571626	3357.5156670435117	0.4273109197520166	3	6292	109.20381402157871	0.012611177137460789	1.9985093342337086	1501.0660842844188	1
Mixed neuronal-glial tumor	ABCB11	1	80	79	54	73969	17.335804898017837	0.05769903135916055	0.4257853007828069	103.65248854015141	1	15	6280	5.296203618057081	0.18314557837599715	0.12433248125497459	35.262514858118465	1
Mixed neuronal-glial tumor	BRCA1	1	80	79	49	73974	19.104406623005968	0.05259248213978977	0.46840613558860134	113.92508313410985	1	18	6277	4.411999017316325	0.21359362163928974	0.10463811068756686	28.63964824756459	1
Mixed neuronal-glial tumor	CHEK2	1	80	79	88	73935	10.635265726791847	0.09170997387066175	0.2629819678649631	62.52513393970242	1	16	6279	4.964420715339392	0.1934220925653225	0.11699479507557298	32.757317427682665	1
Mixed neuronal-glial tumor	ERCC2	2	80	78	100	73923	18.94318107938254	0.005528074162617448	2.22494125931735	72.6000873016866	0.7960426794169125	25	6270	6.4256472240294045	0.044583415627339966	0.7253385437638411	26.522552101321725	1
Mixed neuronal-glial tumor	FANCD2	1	80	79	56	73967	16.720715616361034	0.059734032013708874	0.41083108097866394	99.84718194749057	1	9	6286	8.831016594257784	0.11871484400168032	0.19921540627335887	65.07123446878678	1
Mixed neuronal-glial tumor	GJB2	1	80	79	188	73835	4.971532261401044	0.1848719704890662	0.12366138201602805	28.868398634749802	1	32	6263	2.476891195306444	0.3415022362563015	0.06009503435390194	15.217922433743322	1
Mixed neuronal-glial tumor	NF1	2	80	78	23	74000	82.5087572089391	3.397555679801035e-4	9.264303780750938	344.9519671805068	0.04892480178913491	6	6289	26.793265527983422	0.004146513442754048	2.606286977479695	152.5079630645369	0.5970979357565829
Mixed neuronal-glial tumor	PMS2	1	80	79	53	73970	17.663752725147347	0.05667990067615448	0.433677901824816	105.66255323530906	1	19	6276	4.179128379422337	0.22349175100821006	0.09938709883925341	26.949191617654698	1
Mixed neuronal-glial tumor	PTCH1	1	80	79	3	74020	310.2683406192678	0.004311412924303946	5.8754503258758755	3604.615688670999	0.6208434610997682	0	6295	Inf	0.012549019607843142	2.017599167713832	Inf	1
Mixed neuronal-glial tumor	RECQL4	1	80	79	114	73909	8.204179616652343	0.11689774579814392	0.20344714284848023	47.99845691447494	1	23	6272	3.450553442274804	0.26186882990546967	0.08276117278193793	21.788210173858122	1
Mixed neuronal-glial tumor	RMRP	1	80	79	110	73913	8.50474141433526	0.11306808876755978	0.21079080460877106	49.80083590760784	1	NA	NA	0	0	0	0	0
Neurofibroma plexiform	ERCC5	1	14	13	82	73941	69.30171781201291	0.015582357881475642	1.612701694474921	475.4393401976848	1	11	6284	43.6774890120761	0.026328702043847227	0.9487933476322935	344.57886124558325	1
Neurofibroma plexiform	NF1	9	14	5	23	74000	6665.077086851285	3.0458321484662663e-28	1552.773521130127	4503599627370496	4.3859982937914233e-26	6	6289	1719.4210763350984	2.2993396674883006e-22	407.5469806525547	8191.999999985097	3.311049121183153e-20
Neurofibroma plexiform	PMS2	1	14	13	53	73970	107.26897247432981	0.010163730152385756	2.4799712345876124	750.9541062178348	1	19	6276	25.333168197618207	0.043521983159607175	0.5683275377453914	186.06459140307572	1
Neurofibroma plexiform	SLX4	1	14	13	38	73985	149.88796718765417	0.007350136597523061	3.4347797287157538	1016.224972663953	1	6	6289	79.933656031887665	0.015437632069569824	1.6289186025661477	735.2842183199441	1
Non-neoplastic tumor	ATM	1	25	24	127	73896	24.23636548661847	0.04233727343331366	0.585002339798214	151.64534980535063	1	30	6265	8.691477261504014	0.11588037745997642	0.20485019945881888	57.01311062097776	1
Non-neoplastic tumor	CDKN2A	1	25	24	14	74009	219.75328039791714	0.005052808086763249	5.003229271365557	1574.543949359443	0.7276043644939079	2	6293	129.67323384544216	0.011822071275786654	2.134059895973349	2612.7254314847933	1
Non-neoplastic tumor	MSH3	1	25	24	64	73959	48.05252285233915	0.02171909132544018	1.1530929768721503	305.16995784093416	1	10	6285	26.10977846784716	0.0426952995940245	0.5795597612275698	197.6395932129102	1
Non-neoplastic tumor	NF1	1	25	24	23	74000	133.52012325734302	0.008072718627177995	3.1256263312646015	889.2049789402378	1	6	6289	43.44683977486255	0.027376276853662392	0.9118935719288428	378.6101328297265	1
Non-neoplastic tumor	NTHL1	1	25	24	38	73985	80.8842224320865	0.01308635812185625	1.9227486722379727	529.9963768587362	1	6	6289	43.44683977486255	0.027376276853662392	0.9118935719288428	378.6101328297265	1
Non-neoplastic tumor	PMS2	1	25	24	53	73970	58.11657819138011	0.018075665188053033	1.3882157962258714	368.3152652540727	1	19	6276	13.74147994200383	0.07632079968296923	0.31814386043576387	93.9005097496453	1
Non-neoplastic tumor	TSC1	2	25	23	1	74022	6299.077184290622	3.282175217484358e-7	316.02925291664195	4503599627370496	4.7263323131774754e-5	0	6295	Inf	1.5024008365367876e-5	48.38627316243405	Inf	0.0021634572046129743
Non-neoplastic tumor	TSC2	1	25	24	2	74021	1535.4814174589706	0.0010125282739847944	25.082674263313262	4503599627370496	0.1458040714538104	0	6295	Inf	0.003955696202531645	6.456322025276793	Inf	0.5696202531645569
Other high-grade glioma	ATM	1	74	73	127	73896	7.968142288474776	0.12015198523950084	0.1975704874778845	46.563636812533865	1	30	6265	2.859871906746265	0.3045192489829198	0.06918369958601171	17.694118239005675	1
Other high-grade glioma	BRCA2	2	74	72	108	73915	18.99990291219965	0.0055013542650879195	2.2305841630384244	72.90128846200979	0.7921950141726604	19	6276	9.164254325929551	0.02425111703521788	1.0167780114915685	39.12415475456397	1
Other high-grade glioma	BRIP1	1	74	73	69	73954	14.680187240950314	0.06758370701404515	0.3615845323874337	87.21075223406835	1	15	6280	5.731099599754921	0.17073101750750916	0.13441510926478104	38.215118301911566	1
Other high-grade glioma	CHEK2	1	74	73	88	73935	11.507340396044462	0.08513684205395185	0.2843084366430503	67.83582988352585	1	16	6279	5.373050581247082	0.180390376031741	0.12648238629693292	35.5026512466211	1
Other high-grade glioma	FANCA	1	74	73	124	73899	8.162517086596269	0.11750611432319372	0.20232086631480034	47.78321419121295	1	21	6274	4.091210486114357	0.2270469839296221	0.0976422582802936	26.150670470643526	1
Other high-grade glioma	FANCG	1	74	73	29	73994	34.93731618988062	0.029536579319800995	0.8443542959046999	215.48406337302745	1	6	6289	14.337446324994575	0.07858653579705553	0.30798379236551965	120.11510458739194	1
Other high-grade glioma	GJB2	1	74	73	188	73835	5.380445762518778	0.17228550462360162	0.1336896872036837	31.289564472375993	1	32	6263	2.6803110303881743	0.32066602807915384	0.06496841404971392	16.505202084517304	1
Other high-grade glioma	MSH3	1	74	73	64	73959	15.83356597364755	0.06290950724322929	0.3894303978524214	94.31185108459535	1	10	6285	8.599376260566464	0.12072402824917677	0.19573798266369177	61.891391261699674	1
Other high-grade glioma	MSH6	1	74	73	41	73982	24.69278614375143	0.041108738260999964	0.6029399833272314	150.50642711623817	1	4	6291	21.483900783618314	0.05677694376884595	0.4316224650034922	220.3562414604513	1
Other high-grade glioma	MUTYH	1	74	73	73	73950	13.877177171487542	0.07130650048790602	0.342017624583391	82.18672485994827	1	18	6277	4.774283242285	0.1993773226827036	0.1131236565728532	31.073608429030635	1
Other high-grade glioma	PMS2	1	74	73	53	73970	19.113158308672073	0.052544749345814025	0.4688468778040493	113.91718866339657	1	19	6276	4.522722510064802	0.20870741372545643	0.10744682176938761	29.229015927928355	1
Other high-grade glioma	RAD50	2	74	72	86	73937	23.873979717072924	0.003562879432190436	2.793109000009764	92.12411389106593	0.5130546382354227	9	6286	19.37399421318076	0.006844849091631737	2.001238412509745	95.90998669719548	0.9856582691949701
