pathway_name	n_plp	n_no_plp	OR	p	ci.int1	ci.int2	padj	cohort	perc_plp	fraction
Human papillomavirus infection	6987	67036	1.55200800938966	5.21682684080366e-5	1.25521463234577	1.90395975782449	0.0179980526007726	gnomAD	9.43895816165246	6987/74023
Human cytomegalovirus infection	162	6133	2.11899329597789	5.62040282249636e-5	1.47025184888957	3.00069476180034	0.0193903897376124	PMBB	2.573471008737093	162/6295
Pathways in cancer	7997	66026	1.50787763129764	6.90661467241192e-5	1.23118853052873	1.83414427777213	0.0238278206198211	gnomAD	10.803398943571594	7997/74023
Measles	72	6223	2.68365373207	8.98702378398087e-5	1.62101518288478	4.31165533653168	0.031005232054734	PMBB	1.1437648927720412	72/6295
Non-small cell lung cancer	67	6228	2.76733464556591	9.02022487274856e-5	1.65005938286463	4.50043756793758	0.0311197758109825	PMBB	1.0643367752184274	67/6295
Metabolic pathways	41233	32790	0.755974904286233	9.91049399873017e-5	0.655291522237341	0.871955277457801	0.0341912042956191	gnomAD	55.702957188981806	41233/74023
Hepatocellular carcinoma	146	6149	2.13218616403415	1.0382824820309e-4	1.4520776996765	3.06999049075817	0.0358207456300685	PMBB	2.319301032565528	146/6295
Thyroid hormone signaling pathway	1795	72228	2.03318822018947	1.0650280514913e-4	1.42263319754892	2.827988775581	0.0367434677764527	gnomAD	2.4249219837077667	1795/74023
Hepatocellular carcinoma	1799	72224	2.02873780066206	1.0949475165568e-4	1.41949556430527	2.82151758239834	0.037775689321212703	gnomAD	2.430325709576753	1799/74023
Human cytomegalovirus infection	1920	72103	2.00283559263831	1.1004825392268e-4	1.41464984428973	2.76356400163094	0.0379666476033276	gnomAD	2.5937884171136	1920/74023
Chronic myeloid leukemia	69	6226	2.68627908584844	1.2295557331582e-4	1.60445982316808	4.35817875547672	0.0424196727939594	PMBB	1.096108022239873	69/6295
Colorectal cancer	1062	72961	2.33793924921312	1.3635748690516e-4	1.51023998505357	3.4723141783381	0.047043332982283	gnomAD	1.43468921821596	1062/74023
Hedgehog signaling pathway	998	73025	2.39108364335537	1.3924627088086e-4	1.53011694369725	3.57817975755604	0.048039963453898	gnomAD	1.3482296043121733	998/74023
Human T-cell leukemia virus 1 infection	2305	71718	1.87940010470632	1.8616548838247e-4	1.35504745731938	2.54853171265259	0.064227093491955	gnomAD	3.113897032003566	2305/74023
Mitophagy	676	73347	2.67369015978145	1.9463575830138e-4	1.5908916209292	4.23769350298297	0.0671493366139772	gnomAD	0.9132296718587465	676/74023
Neurotrophin signaling pathway	733	73290	2.59693981689005	1.948147576315e-4	1.5679974805055	4.06892634825006	0.0672110913828677	gnomAD	0.9902327654918066	733/74023
Endometrial cancer	82	6213	2.44971891368559	2.2734672945938e-4	1.50269239337277	3.87637937770389	0.0784346216634885	PMBB	1.3026211278792692	82/6295
Herpes simplex virus 1 infection	2128	71895	1.89704069940331	2.4184323364521e-4	1.3517367072966	2.59841029480102	0.0834359156075987	gnomAD	2.874782162300906	2128/74023
mTOR signaling pathway	127	6168	2.13787206319672	2.6178483495535e-4	1.41607908313737	3.15528990791162	0.0903157680595957	PMBB	2.0174741858617953	127/6295
Epstein-Barr virus infection	101	6194	2.29938131698982	2.6184677002159e-4	1.46624479900851	3.51261529001952	0.0903371356574493	PMBB	1.6044479745830023	101/6295
Prostate cancer	78	6217	2.47476025966287	2.7516211804124e-4	1.50158789754525	3.95402274688581	0.0949309307242299	PMBB	1.239078633836378	78/6295
Herpes simplex virus 1 infection	180	6115	1.94728215804464	2.8097325151965e-4	1.36048059991943	2.73814136280829	0.0969357717742813	PMBB	2.8594122319301034	180/6295
Breast cancer	1939	72084	1.93055924117731	2.9723489664494e-4	1.35748719993601	2.6738825090023	0.102546039342507	gnomAD	2.6194561149912863	1939/74023
Thyroid cancer	43	6252	3.03957424137001	3.4021698131382e-4	1.61722729002507	5.47185939895925	0.117374858553268	PMBB	0.6830818109610802	43/6295
Melanoma	55	6240	2.80076812710338	3.4656926713602e-4	1.58138076845766	4.77734613185773	0.119566397161927	PMBB	0.8737092930897538	55/6295
PI3K-Akt signaling pathway	604	5691	1.50008100636493	3.5816212540397e-4	1.19917715001534	1.86461270539722	0.12356593326437	PMBB	9.59491660047657	604/6295
AMPK signaling pathway	3560	70463	1.65617848727668	4.2453706405331e-4	1.25113164660138	2.15774559949921	0.146465287098394	gnomAD	4.809316023398133	3560/74023
Non-small cell lung cancer	896	73127	2.33785143261024	4.4853002187574e-4	1.44897640523895	3.5876681649494	0.154742857547131	gnomAD	1.2104345946530133	896/74023
Prostate cancer	967	73056	2.26544569451301	4.7530198381767e-4	1.42052130673881	3.44513306960066	0.163979184417098	gnomAD	1.3063507288275265	967/74023
Thermogenesis	222	6073	1.79076737658625	4.9554264427561e-4	1.28219374088996	2.46219410863725	0.170962212275088	PMBB	3.5266084193804605	222/6295
PI3K-Akt signaling pathway	7317	66706	1.4591709826646	4.9983422497882e-4	1.17919490923553	1.79131536671497	0.172442807617694	gnomAD	9.88476554584386	7317/74023
Viral carcinogenesis	1199	72824	2.14927306596651	5.5064910640745e-4	1.40106132456988	3.16814846417579	0.189973941710571	gnomAD	1.6197668292287533	1199/74023
Human papillomavirus infection	606	5689	1.47943170763978	5.7536741023556e-4	1.18183788692974	1.84008650818067	0.198501756531271	PMBB	9.626687847498014	606/6295
Gastric cancer	1561	72462	1.95967220054226	6.8527213477851e-4	1.32599509367149	2.80212254171885	0.236418886498587	gnomAD	2.108804020372047	1561/74023
Kaposi sarcoma-associated herpesvirus infection	119	6176	2.08090285500179	7.140912351325e-4	1.35272275157927	3.12121449469281	0.246361476120716	PMBB	1.8903891977760126	119/6295
Pathways in cancer	703	5592	1.43692818414505	8.1740517298693e-4	1.16143987843163	1.7678251990031	0.282004784680493	PMBB	11.167593328038125	703/6295
Mitophagy	65	6230	2.48738763120711	9.4593978887104e-4	1.4362205683906	4.14852023291381	0.32634922716051	PMBB	1.0325655281969817	65/6295
Platinum drug resistance	1926	72097	1.83942787590554	0.00102242686441107	1.28093283007871	2.56794959148233	0.35273726822182	gnomAD	2.60189400591708	1926/74023
Platinum drug resistance	161	6134	1.87817149842838	0.00106489133631798	1.27825428889958	2.70289632098229	0.367387511029704	PMBB	2.55758538522637	161/6295
Cell adhesion molecules	1021	73002	2.14406896187189	0.00108931382530334	1.34470706765994	3.2593602302426	0.375813269729653	gnomAD	1.3793010280588465	1021/74023
African trypanosomiasis	547	73476	2.5997463994546	0.00111808035325078	1.43805412516737	4.35340311486831	0.38573772187152	gnomAD	0.7389595125839266	547/74023
Sulfur metabolism	12	6283	5.09379121169466	0.00114199082219367	1.80046173306717	13.6026834715178	0.393986833656818	PMBB	0.19062748212867356	12/6295
Mismatch repair	442	73581	2.78515607351298	0.00128429867760583	1.46466745260667	4.84126625196819	0.443083043774013	gnomAD	0.5971117085230266	442/74023
Malaria	1614	72409	1.89395975975054	0.00130305876361056	1.28165774084447	2.70792517287184	0.449555273445643	gnomAD	2.18040338813612	1614/74023
Viral carcinogenesis	113	6182	2.05129984098918	0.00133567409124989	1.3144575992293701	3.11499181185859	0.460807561481211	PMBB	1.795075456711676	113/6295
Huntington disease	378	5917	1.55485868585215	0.0014114343811972	1.18330627935764	2.02189777231608	0.486944861513033	PMBB	6.004765687053217	378/6295
Transcriptional misregulation in cancer	1769	72254	1.83698831235811	0.00144030308935736	1.25852546631332	2.59975079939936	0.49690456582829	gnomAD	2.389797765559353	1769/74023
Epstein-Barr virus infection	1309	72714	1.96567863804292	0.0016105555487261	1.28183383153138	2.8963250883738	0.555641664310503	gnomAD	1.7683692906258863	1309/74023
Melanoma	740	73283	2.30895306018241	0.00172028078077992	1.35352977851435	3.69947827636086	0.593496869369072	gnomAD	0.9996892857625332	740/74023
Measles	1002	73021	2.08754384944819	0.00180979064927021	1.29453189214063	3.20182463925068	0.624377773998223	gnomAD	1.3536333301811598	1002/74023
Pancreatic cancer	74	6221	2.28860785189188	0.00185634735482585	1.3457107580055	3.75054307896885	0.64043983741491906	PMBB	1.175536139793487	74/6295
Ferroptosis	582	73441	2.44234140842579	0.00200441960920141	1.35146979026482	4.08679471145637	0.691524765174485	gnomAD	0.7862421139375599	582/74023
Ferroptosis	47	6248	2.61250107960733	0.00222603771285413	1.37602340777715	4.71786227445653	0.767983010934674	PMBB	0.7466243050039714	47/6295
Homologous recombination	2244	71779	1.70595582620672	0.00234786801586797	1.20548885496835	2.35292731011919	0.810014465474449	gnomAD	3.0314902125015197	2244/74023
Hippo signaling pathway	1686	72337	1.81117509018522	0.00251803921084903	1.22589171164678	2.58898877245142	0.868723527742915	gnomAD	2.27767045377788	1686/74023
Thyroid hormone signaling pathway	182	6113	1.74521060641442	0.00277525400785722	1.20216438281559	2.48299948495321	0.957462632710742	PMBB	2.891183478951549	182/6295
Amyotrophic lateral sclerosis	512	5783	1.44247182097323	0.00282691924270672	1.13010434566187	1.82633241712505	0.975287138733818	PMBB	8.133439237490071	512/6295
Colorectal cancer	111	6184	1.9448859021305	0.00309424810610764	1.22841903684346	2.98786448652774	1	PMBB	1.7633042096902303	111/6295
Sphingolipid signaling pathway	1242	72781	1.91501669113137	0.00319198465521324	1.22657313766089	2.86242717821449	1	gnomAD	1.67785688232036	1242/74023
Human T-cell leukemia virus 1 infection	219	6076	1.66521871499962	0.0032779444386293	1.17782895548921	2.31328279187717	1	PMBB	3.478951548848292	219/6295
Tuberculosis	1797	72226	1.75209861863661	0.00346232655185732	1.19345876279415	2.49118153634573	1	gnomAD	2.4276238466422595	1797/74023
MAPK signaling pathway	395	5900	1.48368151158304	0.00364344902300006	1.1301175316242	1.92744021850372	1	PMBB	6.274821286735505	395/6295
Insulin signaling pathway	2294	71729	1.66760777543426	0.00367299000522044	1.17842891811459	2.29967958007262	1	gnomAD	3.099036785863853	2294/74023
Small cell lung cancer	2394	71629	1.63779632967114	0.00445006394013947	1.16254430601094	2.2502631413998	1	gnomAD	3.2341299325885196	2394/74023
Hepatitis B	1615	72408	1.76976985136242	0.00456724879127561	1.1817988618872	2.55775536035283	1	gnomAD	2.1817543196033666	1615/74023
Parkinson disease	206	6089	1.6545153341525	0.00471227029347079	1.15666093813656	2.32227075463977	1	PMBB	3.2724384432088955	206/6295
Thyroid cancer	621	73402	2.28768348570107	0.0047490525528811	1.26643936004842	3.82652338518109	1	gnomAD	0.83892844116018	621/74023
Sphingolipid signaling pathway	113	6182	1.90988102913908	0.004820295664131	1.20717337328939	2.93160382184183	1	PMBB	1.795075456711676	113/6295
Neurotrophin signaling pathway	83	6212	2.03757560934018	0.00529222259006455	1.20512099356411	3.31405145888639	1	PMBB	1.3185067513899922	83/6295
Thermogenesis	3054	70969	1.53662389910386	0.00533322522572576	1.1239316570152	2.05836081952677	1	gnomAD	4.12574470097132	3054/74023
AMPK signaling pathway	324	5971	1.51361989142584	0.00541945929438873	1.12487855152651	2.01080927955025	1	PMBB	5.146942017474186	324/6295
Sulfur metabolism	193	73830	3.41976533422213	0.00566021895183617	1.35230662955377	7.21536011117582	1	gnomAD	0.2607297731786066	193/74023
Mismatch repair	38	6257	2.61951687589271	0.00637613114336248	1.27483001910219	5.05199268903303	1	PMBB	0.6036536934074662	38/6295
MicroRNAs in cancer	321	5974	1.5023144187644	0.00668429366263868	1.11401620895006	1.99974882604413	1	PMBB	5.099285146942018	321/6295
Pancreatic cancer	970	73053	1.95614281663705	0.00674122295610356	1.18277305315689	3.05943965505663	1	gnomAD	1.3104035232292666	970/74023
Phospholipase D signaling pathway	1797	72226	1.69676081279483	0.00714494612318305	1.1486280433159	2.4248404968705	1	gnomAD	2.4276238466422595	1797/74023
Rheumatoid arthritis	783	73240	2.05707453756021	0.00759038183886519	1.18598387107472	3.33715261244681	1	gnomAD	1.0577793388541399	783/74023
Kaposi sarcoma-associated herpesvirus infection	1525	72498	1.74684437774607	0.00770113657646468	1.14901990544181	2.55561364174243	1	gnomAD	2.0601704875511664	1525/74023
Insulin signaling pathway	202	6093	1.60755805902537	0.00811771742331524	1.11501060014942	2.27172262641095	1	PMBB	3.2088959491660045	202/6295
Axon guidance	1417	72606	1.74372343852772	0.00876843358341121	1.12768341391543	2.58600168379763	1	gnomAD	1.9142698890885264	1417/74023
Small cell lung cancer	208	6087	1.59881368401211	0.00885739046829052	1.11400325868301	2.25023614323807	1	PMBB	3.304209690230341	208/6295
Endocrine resistance	1281	72742	1.77914049396484	0.00893061791962942	1.12860929073242	2.67957541461142	1	gnomAD	1.7305432095429798	1281/74023
Proteoglycans in cancer	2893	71130	1.52012252733652	0.00954062657253465	1.10060400496856	2.05391973968647	1	gnomAD	3.9082447347446063	2893/74023
Breast cancer	197	6098	1.60839151130421	0.00978421237665879	1.110487389318	2.28209857832955	1	PMBB	3.129467831612391	197/6295
Shigellosis	185	6110	1.62824769684857	0.0105871216896764	1.11294293119356	2.33086304512163	1	PMBB	2.938840349483717	185/6295
Cocaine addiction	392	73631	2.40825920903009	0.011241277385911	1.14119096922276	4.49969132661212	1	gnomAD	0.5295651351606933	392/74023
Central carbon metabolism in cancer	104	6191	1.84847412345116	0.0117002984708528	1.13698180985461	2.90332354625956	1	PMBB	1.6521048451151705	104/6295
Hedgehog signaling pathway	106	6189	1.81306503361877	0.0124579543730667	1.1160510769337	2.84488548314428	1	PMBB	1.6838760921366165	106/6295
Shigellosis	2265	71758	1.5566794004979	0.0124966815825022	1.08461955766964	2.17222435964887	1	gnomAD	3.0598597733136996	2265/74023
Endocrine resistance	119	6176	1.74488276196457	0.012910795491381	1.09695117106304	2.68790874929295	1	PMBB	1.8903891977760126	119/6295
Hepatitis B	154	6141	1.65095709124754	0.014609464970097	1.0895506440602	2.43708619481232	1	PMBB	2.4463860206513104	154/6295
Renal cell carcinoma	596	73427	2.06122721431369	0.015479087534847	1.08609659948937	3.57299863368532	1	gnomAD	0.8051551544790132	596/74023
Apoptosis	157	6138	1.61862389983267	0.0159989456064872	1.06888118969565	2.38763689805951	1	PMBB	2.494042891183479	157/6295
Insulin resistance	2454	71569	1.51448440309193	0.0162476564508732	1.06562531470885	2.09604941296462	1	gnomAD	3.3151858206233196	2454/74023
NF-kappa B signaling pathway	982	73041	1.83302066052899	0.0176425843681086	1.09273150214516	2.89770157535425	1	gnomAD	1.3266147008362266	982/74023
Huntington disease	4936	69087	1.36076123479884	0.0179064498879329	1.04723615735575	1.74427187876533	1	gnomAD	6.6681977223295466	4936/74023
Tight junction	2998	71025	1.4647232778619	0.0180199283669508	1.060572628595	1.97884078177206	1	gnomAD	4.050092538805507	2998/74023
Viral life cycle	246	73777	2.68102645076965	0.0187544116379857	1.06321922018268	5.6330782270279	1	gnomAD	0.33232914094267996	246/74023
Amyotrophic lateral sclerosis	6507	67516	1.3173303019338	0.0193448656564066	1.04292235962231	1.64701929319559	1	gnomAD	8.79051105737406	6507/74023
Polycomb repressive complex	463	73560	2.2434069374664	0.0194540527681131	1.10747521019817	4.07425696757617	1	gnomAD	0.6254812693352066	463/74023
Transcriptional misregulation in cancer	170	6125	1.58607070425719	0.0196908750824458	1.06131615721797	2.31248064771163	1	PMBB	2.7005559968228754	170/6295
Proteoglycans in cancer	250	6045	1.48409499233768	0.020591670382813	1.05660879977834	2.04831220278616	1	PMBB	3.971405877680699	250/6295
Wnt signaling pathway	1651	72372	1.61071496129233	0.0206529742010183	1.05973126525893	2.35566734690562	1	gnomAD	2.2303878524242466	1651/74023
Tuberculosis	158	6137	1.60811896634568	0.0213739391568463	1.06215745817895	2.37152535540227	1	PMBB	2.509928514694202	158/6295
Alcoholism	680	73343	1.94585838407362	0.0223070778565951	1.05312675446241	3.30736642475859	1	gnomAD	0.9186333977277333	680/74023
Phospholipase D signaling pathway	161	6134	1.57738700317115	0.0228774746133949	1.04253158858757	2.32456210393391	1	PMBB	2.55758538522637	161/6295
Glycosaminoglycan biosynthesis	63	6232	0.238966848070767	0.0300734619173799	0.0282694113048959	0.902797259868069	1	PMBB	1.0007942811755361	63/6295
Viral myocarditis	1334	72689	1.63394784263466	0.0302973727799716	1.02587255279495	2.48078262105238	1	gnomAD	1.8021425773070532	1334/74023
Homologous recombination	209	6086	1.47431362202923	0.0340733306520993	1.01547132319179	2.09487490302085	1	PMBB	3.3200953137410645	209/6295
Relaxin signaling pathway	1591	72432	1.54927982686172	0.0354975371462719	1.00233034312166	2.29669438191393	1	gnomAD	2.1493319643894466	1591/74023
Bladder cancer	66	6229	1.85486047468141	0.0357285909143114	0.997507459708434	3.25829311510762	1	PMBB	1.0484511517077044	66/6295
GnRH secretion	1604	72419	1.53644542340139	0.0367907676990177	0.994081956164968	2.27760360714608	1	gnomAD	2.1668940734636535	1604/74023
ATP-dependent chromatin remodeling	67	6228	1.82692884891357	0.0376289699907004	0.983236123056157	3.20566566772116	1	PMBB	1.0643367752184274	67/6295
Central carbon metabolism in cancer	1280	72743	1.62792858520482	0.0381769218587978	1.01051962606932	2.49379882186095	1	gnomAD	1.7291922780757332	1280/74023
Cell adhesion molecules	108	6187	1.63257422330713	0.0389394772902822	0.986948754642031	2.59694776681254	1	PMBB	1.715647339158062	108/6295
Aminoacyl-tRNA biosynthesis	244	6051	0.612361904941175	0.0393487659606827	0.365342936739093	0.973696478198923	1	PMBB	3.8760921366163625	244/6295
Estrogen signaling pathway	2680	71343	0.620684161381846	0.0434538287905197	0.365308894799526	0.989548413983254	1	gnomAD	3.620496332221067	2680/74023
Collecting duct acid secretion	614	73409	1.84412975105554	0.0459667692116507	0.943496632057696	3.26318887339962	1	gnomAD	0.8294719208894532	614/74023
Adherens junction	616	73407	1.83809980454741	0.0465260077986192	0.940422527078658	3.2524321230088	1	gnomAD	0.8321737838239467	616/74023
Regulation of actin cytoskeleton	3030	70993	1.38191041267201	0.0466065500221244	0.993336681049592	1.87840029702455	1	gnomAD	4.0933223457574	3030/74023
Bladder cancer	753	73270	1.75546669776608	0.0477176704399761	0.950579234590392	2.98180712084571	1	gnomAD	1.0172513948367399	753/74023
Insulin resistance	220	6075	1.43484206387467	0.0484691764184354	0.993628740463118	2.02877826692408	1	PMBB	3.494837172359015	220/6295
Mucin type O-glycan biosynthesis	13	6282	2.92803420922845	0.0498797452095917	0.815176338032581	8.77952812624143	1	PMBB	0.20651310563939632	13/6295
Mucin type O-glycan biosynthesis	184	73839	2.55596234264046	0.0510905725166369	0.817920145489453	6.09856188971118	1	gnomAD	0.24857138997338665	184/74023
Dilated cardiomyopathy	459	5836	0.72889275065769	0.0515145186339572	0.519547153765285	1.00149720754802	1	PMBB	7.291501191421763	459/6295
Metabolic pathways	2829	3466	1.1562797529558	0.0537316834163362	0.997531242143778	1.34012151353725	1	PMBB	44.94042891183479	2829/6295
Estrogen signaling pathway	225	6070	0.632067224729249	0.0539777974148957	0.371405600172714	1.01745598091468	1	PMBB	3.5742652899126295	225/6295
Parkinson disease	2926	71097	1.36432622210737	0.0541833522360925	0.972946501826401	1.86695024616953	1	gnomAD	3.9528254731637467	2926/74023
Influenza A	110	6185	1.60237730455399	0.0543734203808103	0.96938009498298106	2.54652502313066	1	PMBB	1.7474185861795075	110/6295
AGE-RAGE signaling pathway in diabetic complications	1497	72526	1.51789734623875	0.0555055360966892	0.96341811393785	2.28461681407811	1	gnomAD	2.02234440646826	1497/74023
T cell receptor signaling pathway	836	73187	1.69438295869033	0.0597136648110029	0.939466140158939	2.82850735970552	1	gnomAD	1.1293787066182133	836/74023
Hippo signaling pathway	174	6121	1.45646806065146	0.0606572616649048	0.9648603477247	2.14040035932554	1	PMBB	2.7640984908657664	174/6295
Fluid shear stress and atherosclerosis	1210	72813	1.56297783461723	0.064812751692132	0.945882290596994	2.44187740745048	1	gnomAD	1.6346270753684666	1210/74023
Gastric cancer	181	6114	1.44273230596665	0.065427522214586	0.962108468828102	2.10792746907634	1	PMBB	2.875297855440826	181/6295
TGF-beta signaling pathway	224	6071	0.634993234670741	0.0661922599804846	0.37310277260695	1.02230472809097	1	PMBB	3.5583796664019065	224/6295
PD-L1 expression and PD-1 checkpoint pathway in cancer	874	73149	1.61986499411202	0.0686493041793795	0.898334898331197	2.70347343328651	1	gnomAD	1.1807141023735865	874/74023
D-Amino acid metabolism	6	74017	15.6344701060639	0.0716195592842683	0.339487733471238	129.061693635902	1	gnomAD	0.00810558880348	6/74023
Motor proteins	6347	67676	1.23493770504089	0.0739253811822384	0.96884700666858	1.55641699979187	1	gnomAD	8.574362022614594	6347/74023
Linoleic acid metabolism	271	73752	2.0827340658194	0.0751252727243064	0.75530989509258	4.61252185592332	1	gnomAD	0.36610242762384665	271/74023
Vibrio cholerae infection	1722	72301	1.42883228833137	0.0757687614211074	0.924621814293995	2.11740696603407	1	gnomAD	2.32630398659876	1722/74023
Pathways of neurodegeneration	675	5620	1.21895289738065	0.076436310332629	0.969691947747849	1.52125290073726	1	PMBB	10.722795869737887	675/6295
Protein digestion and absorption	3173	70850	1.31698626610891	0.0779510382940664	0.946746444555055	1.78999246674778	1	gnomAD	4.286505545573673	3173/74023
Adherens junction	52	6243	1.76106191140093	0.0790736842264998	0.851910452656347	3.36048350625875	1	PMBB	0.8260524225575853	52/6295
FoxO signaling pathway	1786	72237	1.4312240038103	0.079349466861035	0.934261606538878	2.10634471692569	1	gnomAD	2.4127636005025463	1786/74023
Phosphatidylinositol signaling system	1565	72458	1.45058696566499	0.0810313659555799	0.920813525023135	2.1829701206032	1	gnomAD	2.114207746241033	1565/74023
Axon guidance	136	6159	1.46440162048031	0.0825830285664267	0.917573474478621	2.25686808730755	1	PMBB	2.1604447974583003	136/6295
Cell cycle	291	6004	1.32252434091067	0.0831395540778082	0.950507763490431	1.80884302805921	1	PMBB	4.622716441620334	291/6295
Natural killer cell mediated cytotoxicity	815	73208	1.62053929462437	0.0842087456143365	0.877830280423774	2.75140349100135	1	gnomAD	1.1010091458060332	815/74023
Malaria	161	6134	1.42864057739958	0.085496431567847	0.927067125226737	2.13658260743932	1	PMBB	2.55758538522637	161/6295
Epithelial cell signaling in Helicobacter pylori infection	671	73352	1.68610742969883	0.0858929470102371	0.86308085981353	2.98222111741441	1	gnomAD	0.9064750145225132	671/74023
Legionellosis	405	73618	1.85959092590726	0.0862940246733972	0.794556836269111	3.71716817860712	1	gnomAD	0.5471272442349	405/74023
Apoptosis	2142	71881	1.37058865814115	0.0881443282391166	0.922264337757059	1.96802538718034	1	gnomAD	2.89369520284236	2142/74023
Chemokine signaling pathway	1417	72606	1.46775245365815	0.0883187931382037	0.911411966701755	2.24734786437961	1	gnomAD	1.9142698890885264	1417/74023
Human immunodeficiency virus 1 infection	1895	72128	1.3985855417945	0.0888772597336688	0.920558319702555	2.04446662215085	1	gnomAD	2.5600151304324332	1895/74023
Arrhythmogenic right ventricular cardiomyopathy	261	6034	0.688432628583348	0.0895372085667113	0.430441647088732	1.0552580935086	1	PMBB	4.14614773629865	261/6295
Motor proteins	539	5756	1.23436512781631	0.089551527610712	0.959209317700559	1.57381986780644	1	PMBB	8.562351072279586	539/6295
Biosynthesis of amino acids	3503	70520	1.30228848425436	0.0915714049434189	0.949694567112395	1.7486270200084	1	gnomAD	4.732312929765073	3503/74023
Tight junction	275	6020	1.31395644070025	0.0917008154975204	0.934604314115397	1.81360732230134	1	PMBB	4.368546465448769	275/6295
Glycolysis / Gluconeogenesis	2515	71508	0.662935728210282	0.0918642787740005	0.390134687590621	1.05707254003118	1	gnomAD	3.3975926401253664	2515/74023
Hypertrophic cardiomyopathy	441	5854	0.760979118799306	0.0921495603273088	0.542131658273828	1.04623518379723	1	PMBB	7.005559968228753	441/6295
Prolactin signaling pathway	1042	72981	1.54028215722345	0.0926249700671435	0.889162678559487	2.49478154756262	1	gnomAD	1.4076705888710266	1042/74023
Salmonella infection	2538	71485	1.34478212099149	0.0940677651471074	0.932428493923483	1.88385731085055	1	gnomAD	3.4286640638720396	2538/74023
