gene_symbol_vep	plot_group	n_plp	n_no_plp	OR	p	ci.int1	ci.int2	padj	cohort	perc_plp	fraction	hist_gene
NF2	Meningioma	2	74021	2968.1850714806587	6.562991120666626e-7	220.29509411675647	4503599627370496	1.3125982241333252e-6	gnomAD	0.002701862934493333	2/74023	Meningioma: NF2
SMARCE1	Meningioma	2	74021	2968.1850714806587	6.562991120666626e-7	220.29509411675647	4503599627370496	1.3125982241333252e-6	gnomAD	0.002701862934493333	2/74023	Meningioma: SMARCE1
TSC1	Non-neoplastic tumor	2	74021	2717.8987742162562	8.268252194916743e-7	196.278216419584	4503599627370496	1.6536504389833486e-6	gnomAD	0.002701862934493333	2/74023	Non-neoplastic tumor: TSC1
TSC2	Non-neoplastic tumor	4	74019	1345.0921785549308	2.066095495209972e-6	122.1800719737619	16383.999999940395	4.132190990419944e-6	gnomAD	0.005403725868986666	4/74023	Non-neoplastic tumor: TSC2
NF1	Low-grade glioma	5	6290	29.033104774798513	9.409032702862453e-6	6.635031310600248	127.0353602150068	6.586322892003717e-5	PMBB	0.07942811755361398	5/6295	Low-grade glioma: NF1
SUFU	Medulloblastoma	2	74021	777.6639718524946	9.94393254234696e-6	56.303228752323335	16383.999999940395	5.966359525408176e-5	gnomAD	0.002701862934493333	2/74023	Medulloblastoma: SUFU
PTCH1	Medulloblastoma	1	6294	200.98987308668714	1.2999062084681905e-5	16.00598583925348	9749.70254908975	7.799437250809143e-5	PMBB	0.015885623510722795	1/6295	Medulloblastoma: PTCH1
NF2	Meningioma	0	6295	Inf	1.5024008365367876e-5	48.38627316243405	Inf	3.0048016730735752e-5	PMBB	0	0/6295	Meningioma: NF2
SMARCE1	Meningioma	0	6295	Inf	1.5024008365367876e-5	48.38627316243405	Inf	3.0048016730735752e-5	PMBB	0	0/6295	Meningioma: SMARCE1
SMARCB1	Atypical Teratoid Rhabdoid Tumor	0	6295	Inf	1.7566968813525414e-5	44.79777488498321	Inf	1.7566968813525414e-5	PMBB	0	0/6295	Atypical Teratoid Rhabdoid Tumor: SMARCB1
TSC2	Non-neoplastic tumor	0	6295	Inf	1.8912290151755115e-5	43.139039451260764	Inf	3.782458030351023e-5	PMBB	0	0/6295	Non-neoplastic tumor: TSC2
TSC1	Non-neoplastic tumor	0	6295	Inf	1.8912290151755115e-5	43.139039451260764	Inf	3.782458030351023e-5	PMBB	0	0/6295	Non-neoplastic tumor: TSC1
TSC1	Low-grade glioma	0	6295	Inf	3.85048840055031e-5	11.838569186020237	Inf	2.695341880385217e-4	PMBB	0	0/6295	Low-grade glioma: TSC1
TP53	Choroid plexus tumor	44	73979	209.02249837100948	5.7407728926524095e-5	22.729822877855575	929.3705345675519	5.7407728926524095e-5	gnomAD	0.05944098455885333	44/74023	Choroid plexus tumor: TP53
TP53	Choroid plexus tumor	4	6291	193.716197222341	1.1441203362196452e-4	16.366361999920755	1438.725325102384	1.1441203362196452e-4	PMBB	0.06354249404289118	4/6295	Choroid plexus tumor: TP53
ATM	Pineoblastoma	261	73762	187.43754684657503	1.2485492595399445e-4	15.649128127166389	1574.7162337660868	1.2485492595399445e-4	gnomAD	0.35259311295137996	261/74023	Pineoblastoma: ATM
ATM	Pineoblastoma	32	6263	128.81162488925608	2.798731795377164e-4	10.44313917376703	1126.6710818593554	2.798731795377164e-4	PMBB	0.5083399523431295	32/6295	Pineoblastoma: ATM
NF1	Mixed neuronal-glial tumor	48	73975	39.999130245464194	0.0013297914550764595	4.630018708485405	157.6152289125474	0.003989374365229378	gnomAD	0.06484471042784	48/74023	Mixed neuronal-glial tumor: NF1
NF1	Mixed neuronal-glial tumor	5	6290	32.56629443698427	0.0030595134103995965	3.0562320207867226	203.40122971417006	0.00917854023119879	PMBB	0.07942811755361398	5/6295	Mixed neuronal-glial tumor: NF1
RAD50	Other high-grade glioma	15	6280	11.296588637584023	0.017010586041306702	1.2324654494353473	50.00698792023662	0.05103175812392011	PMBB	0.23828435266084197	15/6295	Other high-grade glioma: RAD50
CHEK2	Mixed neuronal-glial tumor	186	73837	10.311267312168262	0.017356380326138707	1.2177070378674173	39.04448759344799	0.052069140978416126	gnomAD	0.25127325290788	186/74023	Mixed neuronal-glial tumor: CHEK2
BRCA2	Other high-grade glioma	234	73789	8.521820393152817	0.024666538766560792	1.0073334802883809	32.22813743853562	0.07399961629968238	gnomAD	0.31611796333571995	234/74023	Other high-grade glioma: BRCA2
RAD50	Other high-grade glioma	236	73787	8.449366986168693	0.025054475696262055	0.998815916173462	31.95135275145433	0.07516342708878616	gnomAD	0.3188198262702133	236/74023	Other high-grade glioma: RAD50
BRCA2	Other high-grade glioma	19	6276	8.919528950409534	0.025473401707156163	0.9898154750137712	38.055708325948615	0.07642020512146849	PMBB	0.3018268467037331	19/6295	Other high-grade glioma: BRCA2
GJB2	Medulloblastoma	489	73534	4.85029494902583	0.026372913630667624	0.979137271372281	14.701853046695316	0.15823748178400573	gnomAD	0.6606054874836199	489/74023	Medulloblastoma: GJB2
CHEK2	Mixed neuronal-glial tumor	19	6276	8.568243375319236	0.02735201023638904	0.9519021593444809	36.53524328136549	0.08205603070916712	PMBB	0.3018268467037331	19/6295	Mixed neuronal-glial tumor: CHEK2
APC	Medulloblastoma	199	73824	7.89237361648714	0.028244717766963533	0.935596421606871	29.684753217598093	0.1694683066017812	gnomAD	0.2688353619820867	199/74023	Medulloblastoma: APC
SUFU	Medulloblastoma	18	6277	7.413992600037429	0.03559367784306911	0.8227607368105672	31.668316056073987	0.21356206705841468	PMBB	0.2859412231930103	18/6295	Medulloblastoma: SUFU
ERCC2	Mixed neuronal-glial tumor	277	73746	6.913232862015417	0.03599290649648281	0.8186527276195822	26.07223181875462	0.10797871948944843	gnomAD	0.37420801642732665	277/74023	Mixed neuronal-glial tumor: ERCC2
GJB2	Medulloblastoma	50	6245	4.027247606684212	0.04484494168702915	0.7893894493230248	12.831111475395115	0.2690696501221749	PMBB	0.7942811755361397	50/6295	Medulloblastoma: GJB2
FANCA	Medulloblastoma	261	73762	6.012505299230995	0.04599450069591794	0.713904146473591	22.54731304452242	0.2759670041755077	gnomAD	0.35259311295137996	261/74023	Medulloblastoma: FANCA
COL7A1	Medulloblastoma	297	73726	5.2820942943485285	0.05773982225557134	0.6274727347992661	19.780833395018888	0.34643893353342803	gnomAD	0.40122664577225997	297/74023	Medulloblastoma: COL7A1
FANCA	Medulloblastoma	26	6269	5.126581835538763	0.06557186162162747	0.581519868490475	20.98251880732914	0.3934311697297648	PMBB	0.41302621127879263	26/6295	Medulloblastoma: FANCA
ERCC2	Mixed neuronal-glial tumor	32	6263	5.080018621192176	0.06593633564145732	0.5798615447524715	20.5289397020378	0.19780900692437195	PMBB	0.5083399523431295	32/6295	Mixed neuronal-glial tumor: ERCC2
MUTYH	Low-grade glioma	185	73838	3.64502513234265	0.1074484091136428	0.43541515276840237	13.513061537453705	0.7521388637954995	gnomAD	0.2499223214406333	185/74023	Low-grade glioma: MUTYH
COL7A1	Medulloblastoma	38	6257	3.5019910076628014	0.12073946277658783	0.40350429229052354	13.901432779234348	0.724436776659527	PMBB	0.6036536934074662	38/6295	Medulloblastoma: COL7A1
APC	Low-grade glioma	199	73824	3.3877759611463887	0.12096715952761092	0.4049164818110256	12.546868447836241	0.8467701166932764	gnomAD	0.2688353619820867	199/74023	Low-grade glioma: APC
APC	Medulloblastoma	40	6255	3.325947909001681	0.13079347904439248	0.38387562109405976	13.158545093204584	0.7847608742663549	PMBB	0.6354249404289118	40/6295	Medulloblastoma: APC
GBA	Low-grade glioma	211	73812	3.1945658303484468	0.13286671934225572	0.38197489737200235	11.822165968467413	0.93006703539579	gnomAD	0.2850465395890467	211/74023	Low-grade glioma: GBA
GBA	Low-grade glioma	19	6276	3.015683152669701	0.15809090964430494	0.3385501059773608	12.627355371689246	1	PMBB	0.3018268467037331	19/6295	Low-grade glioma: GBA
MUTYH	Low-grade glioma	22	6273	2.6033783827126302	0.19488692550208345	0.29493939811443337	10.697728971599524	1	PMBB	0.34948371723590155	22/6295	Low-grade glioma: MUTYH
RECQL4	Low-grade glioma	311	73712	2.1645888153463715	0.2390408464389738	0.2593411635765452	7.978478831651479	1	gnomAD	0.42013968631371335	311/74023	Low-grade glioma: RECQL4
RECQL4	Low-grade glioma	27	6268	2.1197104963929383	0.2580155423117915	0.24276529245992937	8.525240879327605	1	PMBB	0.4289118347895155	27/6295	Low-grade glioma: RECQL4
APC	Low-grade glioma	40	6255	1.427968037309144	0.6532025105730099	0.16611076640941022	5.56840302030987	1	PMBB	0.6354249404289118	40/6295	Low-grade glioma: APC
NF1	Low-grade glioma	5	216	NA	NA	NA	NA	NA	PBTA	2.262443438914027	5/221	Low-grade glioma: NF1
NF1	Mixed neuronal-glial tumor	2	77	NA	NA	NA	NA	NA	PBTA	2.5316455696202533	2/79	Mixed neuronal-glial tumor: NF1
NF1	Neurofibroma plexiform	9	6	NA	NA	NA	NA	NA	PBTA	60	9/15	Neurofibroma plexiform: NF1
TSC2	Low-grade glioma	6	215	NA	NA	NA	NA	NA	PBTA	2.7149321266968327	6/221	Low-grade glioma: TSC2
TSC2	Non-neoplastic tumor	2	26	NA	NA	NA	NA	NA	PBTA	7.142857142857142	2/28	Non-neoplastic tumor: TSC2
TP53	Choroid plexus tumor	2	16	NA	NA	NA	NA	NA	PBTA	11.11111111111111	2/18	Choroid plexus tumor: TP53
TP53	Other high-grade glioma	5	71	NA	NA	NA	NA	NA	PBTA	6.578947368421052	5/76	Other high-grade glioma: TP53
TSC1	Low-grade glioma	3	218	NA	NA	NA	NA	NA	PBTA	1.3574660633484164	3/221	Low-grade glioma: TSC1
TSC1	Non-neoplastic tumor	2	26	NA	NA	NA	NA	NA	PBTA	7.142857142857142	2/28	Non-neoplastic tumor: TSC1
NF2	Meningioma	2	23	NA	NA	NA	NA	NA	PBTA	8	2/25	Meningioma: NF2
PTCH1	Medulloblastoma	3	93	NA	NA	NA	NA	NA	PBTA	3.125	3/96	Medulloblastoma: PTCH1
SMARCB1	Atypical Teratoid Rhabdoid Tumor	2	25	NA	NA	NA	NA	NA	PBTA	7.4074074074074066	2/27	Atypical Teratoid Rhabdoid Tumor: SMARCB1
SMARCE1	Meningioma	2	23	NA	NA	NA	NA	NA	PBTA	8	2/25	Meningioma: SMARCE1
APC	Low-grade glioma	2	219	NA	NA	NA	NA	NA	PBTA	0.904977375565611	2/221	Low-grade glioma: APC
APC	Medulloblastoma	2	94	NA	NA	NA	NA	NA	PBTA	2.083333333333333	2/96	Medulloblastoma: APC
ATM	Pineoblastoma	2	3	NA	NA	NA	NA	NA	PBTA	40	2/5	Pineoblastoma: ATM
BRCA2	Other high-grade glioma	2	74	NA	NA	NA	NA	NA	PBTA	2.631578947368421	2/76	Other high-grade glioma: BRCA2
CHEK2	Mixed neuronal-glial tumor	2	77	NA	NA	NA	NA	NA	PBTA	2.5316455696202533	2/79	Mixed neuronal-glial tumor: CHEK2
COL7A1	Medulloblastoma	2	94	NA	NA	NA	NA	NA	PBTA	2.083333333333333	2/96	Medulloblastoma: COL7A1
ERCC2	Mixed neuronal-glial tumor	2	77	NA	NA	NA	NA	NA	PBTA	2.5316455696202533	2/79	Mixed neuronal-glial tumor: ERCC2
FANCA	Medulloblastoma	2	94	NA	NA	NA	NA	NA	PBTA	2.083333333333333	2/96	Medulloblastoma: FANCA
GBA	Low-grade glioma	2	219	NA	NA	NA	NA	NA	PBTA	0.904977375565611	2/221	Low-grade glioma: GBA
GJB2	Medulloblastoma	3	93	NA	NA	NA	NA	NA	PBTA	3.125	3/96	Medulloblastoma: GJB2
MUTYH	Low-grade glioma	2	219	NA	NA	NA	NA	NA	PBTA	0.904977375565611	2/221	Low-grade glioma: MUTYH
RAD50	Other high-grade glioma	2	74	NA	NA	NA	NA	NA	PBTA	2.631578947368421	2/76	Other high-grade glioma: RAD50
RECQL4	Low-grade glioma	2	219	NA	NA	NA	NA	NA	PBTA	0.904977375565611	2/221	Low-grade glioma: RECQL4
SUFU	Medulloblastoma	2	94	NA	NA	NA	NA	NA	PBTA	2.083333333333333	2/96	Medulloblastoma: SUFU
