plot_group	Hugo_symbol	n	hist_n	n_without	count_with_plp_PMBB_noTumor	count_without_plp_PMBB_noTumor	oddsRatio	pvalue	CI_lower	CI_upper	fdr
Ependymoma	GJB2	2	71	69	32	6263	5.669080990418515	0.054715155213110586	0.6457743797068987	22.988145802925427	0.12358078160202564
Ependymoma	MUTYH	1	71	70	18	6277	4.978456757330235	0.1921679671547485	0.11790433654662613	32.44424535983129	0.23975241616449575
Ependymoma	NF1	1	71	70	6	6289	14.948972058621887	0.07554126235718046	0.3209991772788964	125.56888096538717	0.14489890954302853
Ependymoma	RAD50	1	71	70	9	6286	9.967437055558717	0.10616708840201493	0.22447211088595767	73.60411980565046	0.17170232815634515
Ependymoma	SDHA	1	71	70	2	6293	44.685646556287	0.03309236065618642	0.7512591895269433	861.8473210617143	0.09031456762417543
Ependymoma	SLX4	1	71	70	6	6289	14.948972058621887	0.07554126235718046	0.3209991772788964	125.56888096538717	0.14489890954302853
Ependymoma	TP53	1	71	70	4	6291	22.416415124038046	0.054551662194433845	0.44986262876313954	229.85749110373038	0.12358078160202564
Germ cell tumor	ATM	1	13	12	30	6265	17.361418502165375	0.062094213427149346	0.39412087829169806	124.3318548277732	0.13119906385413813
Germ cell tumor	EPCAM	1	13	12	1	6294	510.9448319594181	0.004117829038986892	6.170655124075184	4503599627370496	0.02697178020536414
Germ cell tumor	FANCA	1	13	12	21	6274	24.824956182512782	0.04444392760326915	0.556234370804474	183.00898463875316	0.10985197200053319
Low-grade glioma	ASXL1	1	223	222	24	6271	1.176956228596382	0.5818572824444852	0.028494570437008447	7.284765094852228	0.5863331076940581
Low-grade glioma	ATM	3	223	220	30	6265	2.846954063148114	0.10185057410619087	0.551850430894368	9.264720416963963	0.17105673343475647
Low-grade glioma	BLM	1	223	222	14	6281	2.0206089203838564	0.4071122711473864	0.0475826936674672	13.389654425672042	0.426653660162461
Low-grade glioma	BRIP1	1	223	222	15	6280	1.8856853123565331	0.4274434972790385	0.04459932942665374	12.358875378196183	0.44440554082185757
Low-grade glioma	BUB1B	1	223	222	3	6292	9.438046005229431	0.13001583896216093	0.1791612899441341	117.97343198889003	0.18314059036605465
Low-grade glioma	CHEK2	2	223	221	16	6279	3.550185888357076	0.12465051441154967	0.39365643335797057	15.247968182357788	0.18314059036605465
Low-grade glioma	EGFR	1	223	222	2	6293	14.15375043184025	0.09918200744413197	0.23917099253073526	272.2497458854287	0.16873822045689985
Low-grade glioma	ERCC2	1	223	222	25	6270	1.1297064248953907	0.596218259807011	0.027393723375705194	6.965733910119374	0.596218259807011
Low-grade glioma	EZH2	1	223	222	7	6288	4.044693873279178	0.2431934455865171	0.08938269401590039	31.705422856204095	0.2844494765342298
Low-grade glioma	FAH	1	223	222	9	6286	3.1451482884833366	0.294158057210675	0.07146088493896743	22.8821868983041	0.32656530080168156
Low-grade glioma	FANCA	1	223	222	21	6274	1.3457020200139784	0.5356517048455548	0.03239791690570934	8.44455941302544	0.5439563824400595
Low-grade glioma	FANCD2	1	223	222	9	6286	3.1451482884833366	0.294158057210675	0.07146088493896743	22.8821868983041	0.32656530080168156
Low-grade glioma	FANCI	1	223	222	12	6283	2.358006998046373	0.3642687359163276	0.05492769371625868	16.06377790496986	0.3848322935890235
Low-grade glioma	GBA	2	223	221	9	6286	6.316403365682461	0.052297649647645904	0.6603907122689766	30.781139057444243	0.12358078160202564
Low-grade glioma	GJB2	2	223	221	32	6263	1.7710043387378358	0.3251821064885925	0.20436414902458208	7.017640235386666	0.35282328257009093
Low-grade glioma	HMBS	1	223	222	3	6292	9.438046005229431	0.13001583896216093	0.1791612899441341	117.97343198889003	0.18314059036605465
Low-grade glioma	MPL	1	223	222	17	6278	1.6633110737841754	0.46604701996460435	0.0396277514019906	10.70663263209758	0.4807256662627021
Low-grade glioma	MUTYH	1	223	222	18	6277	1.5706631984289838	0.4843657145104341	0.03753471549077819	10.034160898982853	0.4957180359442724
Low-grade glioma	NF1	4	223	219	6	6289	19.113357012335456	2.3810940768938376e-4	3.9379418944501543	81.09934027788343	0.0020794888271539512
Low-grade glioma	NF2	1	223	222	0	6295	Inf	0.0342129487572875	0.7238111623663891	Inf	0.09146727116744209
Low-grade glioma	POLH	1	223	222	4	6291	7.078471319539217	0.15979883986965834	0.14321591221326666	71.9114830842775	0.20933648022925244
Low-grade glioma	RAD51D	1	223	222	4	6291	7.078471319539217	0.15979883986965834	0.14321591221326666	71.9114830842775	0.20933648022925244
Low-grade glioma	RECQL4	2	223	221	23	6272	2.4672412659921443	0.21012300555531377	0.2802531669511392	10.087704809683835	0.2562297118958931
Low-grade glioma	SDHA	1	223	222	2	6293	14.15375043184025	0.09918200744413197	0.23917099253073526	272.2497458854287	0.16873822045689985
Low-grade glioma	SOS1	1	223	222	3	6292	9.438046005229431	0.13001583896216093	0.1791612899441341	117.97343198889003	0.18314059036605465
Low-grade glioma	TERT	1	223	222	3	6292	9.438046005229431	0.13001583896216093	0.1791612899441341	117.97343198889003	0.18314059036605465
Low-grade glioma	TSC1	3	223	220	0	6295	Inf	3.95281927318494e-5	11.731779044257348	Inf	4.315161039893559e-4
Low-grade glioma	TSC2	7	223	216	0	6295	Inf	5.0053256380959366e-11	41.522847063455465	Inf	1.0928294309842794e-9
Medulloblastoma	APC	1	97	96	1	6294	65.21823891920391	0.030122489209148735	0.8266683406625452	4890.583115231356	0.08395842737018051
Medulloblastoma	COL7A1	2	97	95	33	6262	3.9931391711481004	0.09823736041665357	0.45778021730734847	16.00423576583035	0.16873822045689985
Medulloblastoma	EDNRB	1	97	96	3	6292	21.779772386797955	0.0593466888473034	0.41190897962559586	273.95577131074486	0.12744944654093027
Medulloblastoma	ERCC2	1	97	96	25	6270	2.611808342732689	0.32858351506527556	0.06298183018937636	16.29104758527349	0.35282328257009093
Medulloblastoma	EZH2	1	97	96	7	6288	9.346103435663691	0.11520551385215914	0.20550129987893379	73.88495776318587	0.1818303893329259
Medulloblastoma	FAH	1	97	96	9	6286	7.270480785563205	0.14189087187775618	0.1642972696512666	53.289977390585825	0.19362191891652145
Medulloblastoma	FANCA	2	97	95	21	6274	6.284905694772467	0.0468994367047671	0.7046692636049227	26.320392832460804	0.11377455941341649
Medulloblastoma	FANCC	1	97	96	9	6286	7.270480785563205	0.14189087187775618	0.1642972696512666	53.289977390585825	0.19362191891652145
Medulloblastoma	GJB2	2	97	95	32	6263	4.1186637646128466	0.09351560157402579	0.4715841692895946	16.546119557366648	0.16554788927293754
Medulloblastoma	MUTYH	1	97	96	18	6277	3.6314751509739196	0.2524486703324822	0.086297205123969975	23.47868392389969	0.2886206494461335
Medulloblastoma	PTCH1	3	97	94	0	6295	Inf	3.3889107431952284e-6	27.17338835460282	Inf	5.549341341982187e-5
Medulloblastoma	RAD50	1	97	96	9	6286	7.270480785563205	0.14189087187775618	0.1642972696512666	53.289977390585825	0.19362191891652145
Medulloblastoma	RAD51D	1	97	96	4	6291	16.3529381986716	0.07363024726649747	0.32926833571187714	167.49141256487223	0.14489890954302853
Medulloblastoma	SUFU	2	97	95	9	6286	14.682765178473408	0.011466889696844878	1.5237015413743222	72.2535617619378	0.04916264216429724
Meningioma	BAP1	1	25	24	1	6294	254.98734177215235	0.007896368396697924	3.208025898035374	16383.999999940395	0.04293051835512847
Meningioma	BRCA1	1	25	24	18	6277	14.503316472843228	0.07264138922918878	0.3349523418840919	99.4473823768751	0.14489890954302853
Meningioma	BRCA2	1	25	24	19	6276	13.74147994200383	0.07632079968296923	0.31814386043576387	93.9005097496453	0.14489890954302853
Meningioma	NF2	2	25	23	0	6295	Inf	1.5024008365367876e-5	48.38627316243405	Inf	1.9377114187661297e-4
Meningioma	SMARCE1	2	25	23	0	6295	Inf	1.5024008365367876e-5	48.38627316243405	Inf	1.9377114187661297e-4
Mesenchymal tumor	BUB1B	1	20	19	3	6292	109.20381402157871	0.012611177137460789	1.9985093342337086	1501.0660842844188	0.04916264216429724
Mesenchymal tumor	FH	1	20	19	5	6290	65.66818597139631	0.018859963465003925	1.330578990841489	641.3569625094061	0.0650172424714609
Mesenchymal tumor	MUTYH	1	20	19	18	6277	18.308838978667293	0.05857055995267972	0.4187406145022443	128.49454829510387	0.12744944654093027
Mesenchymal tumor	POLE	1	20	19	5	6290	65.66818597139631	0.018859963465003925	1.330578990841489	641.3569625094061	0.0650172424714609
Mesenchymal tumor	VHL	1	20	19	3	6292	109.20381402157871	0.012611177137460789	1.9985093342337086	1501.0660842844188	0.04916264216429724
Mixed neuronal-glial tumor	BRCA1	1	79	78	18	6277	4.468583701507851	0.2112428159141714	0.10596284478498413	29.018686673236626	0.2562297118958931
Mixed neuronal-glial tumor	CHEK2	1	79	78	16	6279	5.027859645615088	0.1912654671443743	0.11847596512703695	33.18614271798697	0.23975241616449575
Mixed neuronal-glial tumor	ERCC2	2	79	77	25	6270	6.509030881566207	0.04359316755169191	0.734594269572975	26.902876525663114	0.10985197200053319
Mixed neuronal-glial tumor	FANCD2	1	79	78	9	6286	8.941975096278128	0.11733026402367827	0.20173748353240317	65.93466645752301	0.18206474721240068
Mixed neuronal-glial tumor	GJB2	1	79	78	32	6263	2.50863218683509	0.33807580512991525	0.060855849369742275	15.418291882845065	0.36006447538226743
Mixed neuronal-glial tumor	NF1	2	79	77	6	6289	27.139364691379765	0.004046635902625584	2.6395391568799793	154.60789480386322	0.02697178020536414
Mixed neuronal-glial tumor	PMS2	1	79	78	19	6276	4.232751226760584	0.2210479799649629	0.1006453548928356	27.30087507467756	0.2632480488673649
Mixed neuronal-glial tumor	PTCH1	1	79	78	0	6295	Inf	0.012394101035456528	2.043281987941295	Inf	0.04916264216429724
Mixed neuronal-glial tumor	RECQL4	1	79	78	23	6272	3.4947282449745023	0.2590794820732749	0.08380894350445244	22.07249472179135	0.29258113923792256
Mixed neuronal-glial tumor	RMRP	1	79	78	NA	NA	0	0	0	0	0
Neurofibroma plexiform	NF1	9	14	5	6	6289	1719.4210763350984	2.2993396674883006e-22	407.5469806525547	8191.999999985097	6.0242699288193474e-21
Neurofibroma plexiform	PMS2	1	14	13	19	6276	25.333168197618207	0.043521983159607175	0.5683275377453914	186.06459140307572	0.10985197200053319
Neurofibroma plexiform	SLX4	1	14	13	6	6289	79.933656031887665	0.015437632069569824	1.6289186025661477	735.2842183199441	0.057780851460389915
Non-neoplastic tumor	ABCB11	1	26	25	15	6280	16.704930855467193	0.0638940691068676	0.3826792849674705	117.36067331091962	0.1328590960793596
Non-neoplastic tumor	ATM	1	26	25	30	6265	8.343763054283396	0.1202163540932213	0.19696763453512514	54.54145844211604	0.1831202603047906
Non-neoplastic tumor	CDKN2A	1	26	25	2	6293	124.47240697426695	0.012291068868916316	2.0519371912774313	2498.408780649825	0.04916264216429724
Non-neoplastic tumor	NF1	1	26	25	6	6289	41.704971510571845	0.02845337953710242	0.8768060930757404	362.44623467812636	0.08103027650783516
Non-neoplastic tumor	PMS2	1	26	25	19	6276	13.184370762353199	0.07924337269457185	0.30590190154422425	89.82004868927447	0.1462096031406889
Non-neoplastic tumor	TSC1	2	26	24	0	6295	Inf	1.6270859241547655e-5	46.459656673838175	Inf	1.9377114187661297e-4
Non-neoplastic tumor	TSC2	1	26	25	0	6295	Inf	0.0041132732162632475	6.207950073129478	Inf	0.02697178020536414
Other high-grade glioma	ATM	1	76	75	30	6265	2.7836484425277725	0.311271449352881	0.06736278216592753	17.20881027349796	0.34266016693468415
Other high-grade glioma	BRCA2	2	76	74	19	6276	8.919528950409537	0.025473401707156174	0.9898154750137712	38.055708325948615	0.07415590274749909
Other high-grade glioma	BRIP1	1	76	75	15	6280	5.579093422272681	0.1748913319630834	0.13087731746094117	37.16499875010291	0.2268392523481577
Other high-grade glioma	CHEK2	1	76	75	16	6279	5.2292139983040915	0.18475887858319429	0.12315338085721039	34.53927902438371	0.23498459314949954
Other high-grade glioma	FANCA	1	76	75	21	6274	3.9817124059131896	0.23237642552096702	0.09507231660576966	25.420948804090937	0.27424605174096106
Other high-grade glioma	FANCG	1	76	75	6	6289	13.956859748061339	0.08061034889472164	0.29987780064824804	116.76101842091974	0.14666605146122966
Other high-grade glioma	GJB2	1	76	75	32	6263	2.608896777281518	0.32768587176845265	0.06325844247436725	16.052500061330708	0.35282328257009093
Other high-grade glioma	MSH6	1	76	75	4	6291	20.916010999798885	0.05825697345154029	0.4202624693388426	214.4425543837698	0.12744944654093027
Other high-grade glioma	MUTYH	1	76	75	18	6277	4.646545130659863	0.20414591112606426	0.11014624858710514	30.21881965094363	0.25229353167466434
Other high-grade glioma	PMS2	1	76	75	19	6276	4.402010965785401	0.2136680948090649	0.10461882646255109	28.423383669615966	0.25679376532098624
Other high-grade glioma	RAD50	2	76	74	9	6286	18.826540295611064	0.007204472124853053	1.9481714055225794	93.26314832715245	0.04103416731981522
Other high-grade glioma	RECQL4	1	76	75	23	6272	3.634816076631283	0.2506453683933045	0.08711771952947558	23.004202503639533	0.2886206494461335
Other high-grade glioma	RMRP	1	76	75	NA	NA	0	0	0	0	0
Other high-grade glioma	TP53	5	76	71	4	6291	109.61119434388003	2.5677837349267006e-8	23.141977363478745	571.0427757816883	4.805423846791397e-7
Other high-grade glioma	WRN	1	76	75	16	6279	5.2292139983040915	0.18475887858319429	0.12315338085721039	34.53927902438371	0.23498459314949954
Other high-grade glioma	XPC	1	76	75	9	6286	9.30041987937698	0.11316214677519876	0.20970199764348843	68.72678613842659	0.18078342960428095
Other tumor	ATM	3	33	30	30	6265	20.81923586309957	6.338017802639413e-4	3.861329189112831	72.90524283637635	0.005189252075911019
Other tumor	CREBBP	1	33	32	0	6295	Inf	0.0052149178255373	4.8906028157487595	Inf	0.032531154054542204
Other tumor	ERCC3	1	33	32	25	6270	7.829561201795448	0.12734291571202502	0.1851734668675853	50.983223788909015	0.18314059036605465
Other tumor	GJB2	1	33	32	32	6263	6.111400269291442	0.15884681749458113	0.14571677674957784	39.06969627785099	0.20933648022925244
Other tumor	RECQL4	1	33	32	23	6272	8.512129864163931	0.11813361460346608	0.20067647064948504	55.813716381122134	0.18206474721240068
Schwannoma	FAH	1	13	12	9	6286	57.772720469729485	0.020433118925203893	1.2268376626700779	479.3301817720692	0.06766957019827337
Schwannoma	FGFR1	1	13	12	NA	NA	0	0	0	0	0
Schwannoma	LZTR1	1	13	12	10	6285	52.038526136275955	0.0224550893053202	1.1150124404020012	422.33358786425424	0.06840969067434759
Schwannoma	NF2	1	13	12	0	6295	Inf	0.002060875079264427	12.415894401993794	Inf	0.015880860904919997
Schwannoma	RAD51D	1	13	12	4	6291	129.05505602135818	0.010265232545526458	2.4585008458158146	1526.899679509465	0.04916264216429724
