plot_group	Hugo_symbol	n	hist_n	n_without	count_with_plp_gnomAD	count_without_plp_gnomAD	oddsRatio	pvalue	CI_lower	CI_upper	adjusted_p
Low-grade glioma	BUB1B	1	223	222	19	74004	17.54115421535761	0.05839430967995965	0.42038269207898116	111.31487922730301	1
Low-grade glioma	CHEK2	2	223	221	88	73935	7.6027981687777695	0.03025532709027454	0.9009928131235825	28.635763108981273	1
Low-grade glioma	CTNNA1	1	223	222	5	74018	66.63786982408972	0.017886993544029846	1.4035739977951682	591.5751775955853	1
Low-grade glioma	EGFR	1	223	222	37	73986	9.007389413072705	0.10804034348845654	0.22113421321550503	53.866178103653084	1
Low-grade glioma	ERCC2	1	223	222	100	73923	3.329738971412511	0.2621524046976944	0.08311096704378	19.172125050502288	1
Low-grade glioma	EZH2	1	223	222	32	73991	10.41567034754153	0.09451722926246774	0.25466940305032576	62.9226419192092	1
Low-grade glioma	FAH	1	223	222	62	73961	5.373969944095407	0.1726987165180672	0.13331992257924927	31.367192113817627	1
Low-grade glioma	FANCA	1	223	222	124	73899	2.6843895358791188	0.3136179419425266	0.06713024847465751	15.392889183631967	1
Low-grade glioma	FANCD2	1	223	222	56	73967	5.9491916127824656	0.15761957322944145	0.14736865615787734	34.835584172800765	1
Low-grade glioma	FANCI	1	223	222	69	73954	4.827116923849007	0.1899517321978177	0.11997417354635041	28.088712339780795	1
Low-grade glioma	GBA	2	223	221	78	73945	8.578498104782863	0.024341105025418506	1.0146397047640339	32.40482392763236	1
Low-grade glioma	GJB2	2	223	221	188	73835	3.5544487571365138	0.11195338971985651	0.42464630269880066	13.171927517156142	1
Low-grade glioma	HMBS	1	223	222	22	74001	15.149519327651005	0.06685565749250437	0.36550530269319037	94.61741386773652	1
Low-grade glioma	KIF1B	1	223	222	10	74013	33.331341219216895	0.03254925493617092	0.7648191674156382	236.2953843780871	1
Low-grade glioma	MPL	1	223	222	68	73955	4.899182993092612	0.1875091224171448	0.1217148931486814	28.522598177561097	1
Low-grade glioma	MUTYH	1	223	222	73	73950	4.562874555468106	0.19964928438452842	0.11348183999141882	26.498440508295587	1
Low-grade glioma	NF1	4	223	219	23	74000	58.744017323961216	1.3167875195974138e-6	14.637956363819765	173.6433749830544	1.8961740282202758e-4
Low-grade glioma	NF2	1	223	222	1	74022	333.2928897261922	0.005998076766740423	4.228797611405993	16383.999999940395	0.8637230544106209
Low-grade glioma	POLH	1	223	222	26	73997	12.816168871220677	0.07801982120240764	0.3113142647788344	78.58355889397485	1
Low-grade glioma	PTCH2	1	223	222	14	74009	23.81211423822715	0.04412199873391282	0.5606647960217813	157.15162087488707	1
Low-grade glioma	RAD51D	1	223	222	19	74004	17.54115421535761	0.05839430967995965	0.42038269207898116	111.31487922730301	1
Low-grade glioma	RECQL4	2	223	221	114	73909	5.866680796015646	0.04791212670049515	0.6976883518677028	21.933179180311164	1
Low-grade glioma	SDHA	1	223	222	49	73974	6.798972896654391	0.13968110470977654	0.16802136843565538	40.11086996406544	1
Low-grade glioma	SOS1	1	223	222	5	74018	66.63786982408972	0.017886993544029846	1.4035739977951682	591.5751775955853	1
Low-grade glioma	TERT	1	223	222	12	74011	27.78270513875016	0.0383529573397221	0.6470226858333952	189.6005326269952	1
Low-grade glioma	TSC1	3	223	220	1	74022	1021.6802649246533	1.0669454209195156e-7	80.50581367832541	4503599627370496	1.5364014061241026e-5
Low-grade glioma	TSC2	7	223	216	2	74021	1201.0824075702185	7.183448451762605e-17	225.3042066664853	16383.999999940395	1.0344165770538151e-14
Medulloblastoma	APC	1	97	96	11	74012	70.28265478186003	0.015592867826722314	1.611683944523234	494.4960906286567	1
Medulloblastoma	COL7A1	2	97	95	132	73891	11.782942011476639	0.013502435400451653	1.3922583886219886	44.56612904520125	1
Medulloblastoma	EDNRB	1	97	96	13	74010	59.267568527651406	0.018168180705702298	1.3812157705758825	400.1825109588761	1
Medulloblastoma	ERCC2	1	97	96	100	73923	7.6996545966939145	0.12396871685001959	0.1910835012598855	44.90631234654539	1
Medulloblastoma	EZH2	1	97	96	32	73991	24.077901847772793	0.042303488839904715	0.5855180618192624	146.75696133690727	1
Medulloblastoma	FAH	1	97	96	62	73961	12.424120718880692	0.07922164279048721	0.3065206228828579	73.49703394893712	1
Medulloblastoma	FANCA	2	97	95	124	73899	12.543640461895729	0.012013487194018074	1.4812492124594023	47.54090960770872	1
Medulloblastoma	FANCC	1	97	96	82	73941	9.391559209870472	0.10304761478675188	0.23258617225290987	55.01546429902266	1
Medulloblastoma	GJB2	2	97	95	188	73835	8.265711047704382	0.025954202721511225	0.979812965219978	31.108530392008106	1
Medulloblastoma	MUTYH	1	97	96	73	73950	10.55246982177805	0.09240239531102981	0.2609102226027198	62.05042849553841	1
Medulloblastoma	PTCH1	3	97	94	3	74020	777.6757664703821	4.332794475985403e-8	103.38128105662834	8191.999999985097	6.239224045418981e-6
Medulloblastoma	RAD50	1	97	96	86	73937	8.956178933274765	0.10773906919921776	0.22187901152557798	52.398434907033156	1
Medulloblastoma	RAD51D	1	97	96	19	74004	40.54742765220627	0.025854179561015652	0.9665144669057693	258.42319902465465	1
Medulloblastoma	SUFU	2	97	95	1	74022	1496.5089008653797	5.080752034688151e-6	79.9888869528701	4503599627370496	7.316282929950937e-4
Meningioma	BAP1	1	25	24	7	74016	440.13653439639705	0.002697888639391625	9.388438753238496	3545.1453265579175	0.388495964072394
Meningioma	BRCA1	1	25	24	49	73974	62.93621320675893	0.016747556070743304	1.499370620315792	398.89420850071986	1
Meningioma	BRCA2	1	25	24	108	73915	28.51130177667506	0.036163437500042125	0.6871638398160836	178.15825865158632	1
Meningioma	NF2	2	25	23	1	74022	6299.077184290622	3.282175217484358e-7	316.02925291664195	4503599627370496	4.7263323131774754e-5
Meningioma	SMARCE1	2	25	23	1	74022	6299.077184290622	3.282175217484358e-7	316.02925291664195	4503599627370496	4.7263323131774754e-5
Mesenchymal tumor	BUB1B	1	20	19	19	74004	204.60071944465145	0.005389115767167082	4.689737669417363	1433.607461476804	0.7760326704720598
Mesenchymal tumor	FH	1	20	19	23	74000	168.18229652148815	0.006463622880429056	3.9075996793251577	1134.5815947785165	0.930761694781784
Mesenchymal tumor	MUTYH	1	20	19	73	73950	53.30606080718065	0.01980225570457036	1.2660392828752742	343.1614305333748	1
Mesenchymal tumor	POLE	1	20	19	17	74006	228.5247345252058	0.004851448310198057	5.210597249362727	1576.3666878983686	0.6986085566685202
Mesenchymal tumor	VHL	1	20	19	10	74013	391.3704578792748	0.0029674369427223376	8.5322303571626	3357.5156670435117	0.4273109197520166
Mixed neuronal-glial tumor	ABCB11	1	80	79	54	73969	17.335804898017837	0.05769903135916055	0.4257853007828069	103.65248854015141	1
Mixed neuronal-glial tumor	BRCA1	1	80	79	49	73974	19.104406623005968	0.05259248213978977	0.46840613558860134	113.92508313410985	1
Mixed neuronal-glial tumor	CHEK2	1	80	79	88	73935	10.635265726791847	0.09170997387066175	0.2629819678649631	62.52513393970242	1
Mixed neuronal-glial tumor	ERCC2	2	80	78	100	73923	18.94318107938254	0.005528074162617448	2.22494125931735	72.6000873016866	0.7960426794169125
Mixed neuronal-glial tumor	FANCD2	1	80	79	56	73967	16.720715616361034	0.059734032013708874	0.41083108097866394	99.84718194749057	1
Mixed neuronal-glial tumor	GJB2	1	80	79	188	73835	4.971532261401044	0.1848719704890662	0.12366138201602805	28.868398634749802	1
Mixed neuronal-glial tumor	NF1	2	80	78	23	74000	82.5087572089391	3.397555679801035e-4	9.264303780750938	344.9519671805068	0.04892480178913491
Mixed neuronal-glial tumor	PMS2	1	80	79	53	73970	17.663752725147347	0.05667990067615448	0.433677901824816	105.66255323530906	1
Mixed neuronal-glial tumor	PTCH1	1	80	79	3	74020	310.2683406192678	0.004311412924303946	5.8754503258758755	3604.615688670999	0.6208434610997682
Mixed neuronal-glial tumor	RECQL4	1	80	79	114	73909	8.204179616652343	0.11689774579814392	0.20344714284848023	47.99845691447494	1
Mixed neuronal-glial tumor	RMRP	1	80	79	110	73913	8.50474141433526	0.11306808876755978	0.21079080460877106	49.80083590760784	1
Neurofibroma plexiform	ERCC5	1	14	13	82	73941	69.30171781201291	0.015582357881475642	1.612701694474921	475.4393401976848	1
Neurofibroma plexiform	NF1	9	14	5	23	74000	6665.077086851285	3.0458321484662663e-28	1552.773521130127	4503599627370496	4.3859982937914233e-26
Neurofibroma plexiform	PMS2	1	14	13	53	73970	107.26897247432981	0.010163730152385756	2.4799712345876124	750.9541062178348	1
Neurofibroma plexiform	SLX4	1	14	13	38	73985	149.88796718765417	0.007350136597523061	3.4347797287157538	1016.224972663953	1
Non-neoplastic tumor	ATM	1	25	24	127	73896	24.23636548661847	0.04233727343331366	0.585002339798214	151.64534980535063	1
Non-neoplastic tumor	CDKN2A	1	25	24	14	74009	219.75328039791714	0.005052808086763249	5.003229271365557	1574.543949359443	0.7276043644939079
Non-neoplastic tumor	MSH3	1	25	24	64	73959	48.05252285233915	0.02171909132544018	1.1530929768721503	305.16995784093416	1
Non-neoplastic tumor	NF1	1	25	24	23	74000	133.52012325734302	0.008072718627177995	3.1256263312646015	889.2049789402378	1
Non-neoplastic tumor	NTHL1	1	25	24	38	73985	80.8842224320865	0.01308635812185625	1.9227486722379727	529.9963768587362	1
Non-neoplastic tumor	PMS2	1	25	24	53	73970	58.11657819138011	0.018075665188053033	1.3882157962258714	368.3152652540727	1
Non-neoplastic tumor	TSC1	2	25	23	1	74022	6299.077184290622	3.282175217484358e-7	316.02925291664195	4503599627370496	4.7263323131774754e-5
Non-neoplastic tumor	TSC2	1	25	24	2	74021	1535.4814174589706	0.0010125282739847944	25.082674263313262	4503599627370496	0.1458040714538104
Other high-grade glioma	ATM	1	74	73	127	73896	7.968142288474776	0.12015198523950084	0.1975704874778845	46.563636812533865	1
Other high-grade glioma	BRCA2	2	74	72	108	73915	18.99990291219965	0.0055013542650879195	2.2305841630384244	72.90128846200979	0.7921950141726604
Other high-grade glioma	BRIP1	1	74	73	69	73954	14.680187240950314	0.06758370701404515	0.3615845323874337	87.21075223406835	1
Other high-grade glioma	CHEK2	1	74	73	88	73935	11.507340396044462	0.08513684205395185	0.2843084366430503	67.83582988352585	1
Other high-grade glioma	FANCA	1	74	73	124	73899	8.162517086596269	0.11750611432319372	0.20232086631480034	47.78321419121295	1
Other high-grade glioma	FANCG	1	74	73	29	73994	34.93731618988062	0.029536579319800995	0.8443542959046999	215.48406337302745	1
Other high-grade glioma	GJB2	1	74	73	188	73835	5.380445762518778	0.17228550462360162	0.1336896872036837	31.289564472375993	1
Other high-grade glioma	MSH3	1	74	73	64	73959	15.83356597364755	0.06290950724322929	0.3894303978524214	94.31185108459535	1
Other high-grade glioma	MSH6	1	74	73	41	73982	24.69278614375143	0.041108738260999964	0.6029399833272314	150.50642711623817	1
Other high-grade glioma	MUTYH	1	74	73	73	73950	13.877177171487542	0.07130650048790602	0.342017624583391	82.18672485994827	1
Other high-grade glioma	PMS2	1	74	73	53	73970	19.113158308672073	0.052544749345814025	0.4688468778040493	113.91718866339657	1
Other high-grade glioma	RAD50	2	74	72	86	73937	23.873979717072924	0.003562879432190436	2.793109000009764	92.12411389106593	0.5130546382354227
Other high-grade glioma	RECQL4	1	74	73	114	73909	8.881197420486691	0.10862972972601938	0.21994565458031878	52.016876042886985	1
Other high-grade glioma	RMRP	1	74	73	110	73913	9.20296021677671	0.1050545663560209	0.2278848484016762	53.939625300066766	1
Other high-grade glioma	TP53	5	74	69	22	74001	243.184403910351	6.869371245327976e-11	69.9177527053717	687.6778332903685	9.891894593272285e-9
Other high-grade glioma	WRN	1	74	73	50	73973	20.263501947114612	0.0496984237132805	0.49645149660829324	121.94542842087314	1
Other high-grade glioma	XPC	1	74	73	47	73976	21.558237217381215	0.04684366310235421	0.5275095272036152	129.87822049612268	1
Other tumor	ATM	3	34	31	127	73896	56.28906001058894	3.0391051044589617e-5	10.87071224330288	184.86911969051982	0.004376311350420905
Other tumor	CREBBP	1	34	33	3	74020	739.4119749733917	0.0018351961597659456	13.830707100638737	8191.999999985097	0.26426824700629614
Other tumor	ERCC3	1	34	33	54	73969	41.49283008143412	0.024949323351092952	1.0020583973098953	259.5825327355373	1
Other tumor	ERCC5	1	34	33	82	73941	27.32367957793707	0.0374176472197101	0.6637126973540017	168.03121976318482	1
Other tumor	GJB2	1	34	33	188	73835	11.89924489395719	0.08323242488390352	0.2910299333368226	71.76519011102339	1
Other tumor	RECQL4	1	34	33	114	73909	19.63958281426482	0.05147771094880409	0.4788007615124936	119.62064946707342	1
Schwannoma	FAH	1	13	12	62	73961	99.1742638684567	0.011006769931150212	2.2889973909691563	683.2493350477861	1
Schwannoma	FGFR1	1	13	12	20	74003	309.8281202588446	0.003681424208791067	6.8725160688179345	2392.0550069616233	0.5301250860659137
Schwannoma	LZTR1	1	13	12	93	73930	66.09394399468586	0.016381647480056112	1.5333529184300008	453.48714018235336	1
Schwannoma	NF2	1	13	12	1	74022	7491.996687672456	3.5115204614645127e-4	72.584694873786	4503599627370496	0.05056589464508898
Schwannoma	RAD51D	1	13	12	19	74004	323.5327214145769	0.0035064023652808555	7.218207057320337	2474.9970794815767	0.5049219406004432
