pathway_name	plot_group	n_plp	n_no_plp	OR	p	ci.int1	ci.int2	padj	cohort	perc_plp	fraction	hist_pathway
MEDICUS: AMPLIFIED MDM2 TO P21 CELL CYCLE G1 S	Other high-grade glioma	56	73967	92.85442397860149	5.646652350577716e-9	28.20154631638773	241.12443961977033	6.041918015118156e-7	gnomAD	0.07565216216581333	56/74023	Other high-grade glioma: MEDICUS: AMPLIFIED MDM2 TO P21 CELL CYCLE G1 S
MEDICUS: IGF IGF1R PI3K SIGNALING PATHWAY	Non-neoplastic tumor	52	73971	236.53148218602314	5.922419635726188e-9	57.609770844838394	717.6494767623893	1.7767258907178564e-7	gnomAD	0.07024843629682666	52/74023	Non-neoplastic tumor: MEDICUS: IGF IGF1R PI3K SIGNALING PATHWAY
MTOR SIGNALING PATHWAY	Low-grade glioma	323	73700	11.950147578633286	6.690385491313104e-9	5.817682299298177	22.117823333730087	1.605692517915145e-6	gnomAD	0.4363508639206733	323/74023	Low-grade glioma: MTOR SIGNALING PATHWAY
MEDICUS: IGF IGF1R PI3K SIGNALING PATHWAY	Non-neoplastic tumor	4	6291	258.89366102963044	2.1279736195663295e-8	45.22072717441973	1454.9455071371306	6.383920858698989e-7	PMBB	0.06354249404289118	4/6295	Non-neoplastic tumor: MEDICUS: IGF IGF1R PI3K SIGNALING PATHWAY
MEDICUS: AMPLIFIED MDM2 TO P21 CELL CYCLE G1 S	Other high-grade glioma	4	6291	109.61119434388003	2.5677837349267006e-8	23.14197736347874	571.0427757816889	2.7475285963715696e-6	PMBB	0.06354249404289118	4/6295	Other high-grade glioma: MEDICUS: AMPLIFIED MDM2 TO P21 CELL CYCLE G1 S
MEDICUS: AMPLIFIED MYCN TO TRANSCRIPTIONAL ACTIVATION	Other high-grade glioma	4	6291	109.61119434388003	2.5677837349267006e-8	23.14197736347874	571.0427757816889	2.7475285963715696e-6	PMBB	0.06354249404289118	4/6295	Other high-grade glioma: MEDICUS: AMPLIFIED MYCN TO TRANSCRIPTIONAL ACTIVATION
MEDICUS: RELN VLDLR PI3K SIGNALING PATHWAY	Non-neoplastic tumor	5	6290	205.66330404276908	3.8187139451564326e-8	38.48580712287895	1000.9364642425521	1.1456141835469298e-6	PMBB	0.07942811755361398	5/6295	Non-neoplastic tumor: MEDICUS: RELN VLDLR PI3K SIGNALING PATHWAY
MEDICUS: TSC1 2 MTORC1 SIGNALING PATHWAY	Low-grade glioma	15	6280	17.746638367410295	4.238758251705581e-8	6.766032135921564	43.82474923827118	1.0173019804093396e-5	PMBB	0.23828435266084197	15/6295	Low-grade glioma: MEDICUS: TSC1 2 MTORC1 SIGNALING PATHWAY
MEDICUS: RELN VLDLR PI3K SIGNALING PATHWAY	Non-neoplastic tumor	90	73933	136.16050613841918	4.868991113384891e-8	33.79689355149871	411.37210345505196	1.4606973340154674e-6	gnomAD	0.1215838320522	90/74023	Non-neoplastic tumor: MEDICUS: RELN VLDLR PI3K SIGNALING PATHWAY
MTOR SIGNALING PATHWAY	Low-grade glioma	29	6266	11.304491569338511	5.18094245519456e-8	5.024862365518261	23.68540473808287	1.2434261892466945e-5	PMBB	0.46068308181096107	29/6295	Low-grade glioma: MTOR SIGNALING PATHWAY
MEDICUS: STRAD STK11 TSC SIGNALING PATHWAY	Non-neoplastic tumor	6	6289	172.59416776781816	6.345184482366218e-8	33.55950126593131	777.7402914476116	1.9035553447098654e-6	PMBB	0.09531374106433678	6/6295	Non-neoplastic tumor: MEDICUS: STRAD STK11 TSC SIGNALING PATHWAY
MEDICUS: MUTATION INACTIVATED TP53 TO TRANSCRIPTION	Other high-grade glioma	6	6289	73.28696244872391	9.241112488174247e-8	17.28646564768262	294.9782390045019	9.887990362346445e-6	PMBB	0.09531374106433678	6/6295	Other high-grade glioma: MEDICUS: MUTATION INACTIVATED TP53 TO TRANSCRIPTION
MEDICUS: MUTATION INACTIVATED TP53 TO TRANSCRIPTION	Other high-grade glioma	113	73910	45.99684305855714	1.5868185046180422e-7	14.236303709185645	115.47326274070934	1.697895799941305e-5	gnomAD	0.15265525579887332	113/74023	Other high-grade glioma: MEDICUS: MUTATION INACTIVATED TP53 TO TRANSCRIPTION
MEDICUS: TSC1 2 MTORC1 SIGNALING PATHWAY	Non-neoplastic tumor	148	73875	83.12191663690896	3.361742759929983e-7	20.703572581258733	246.65565990969705	1.0085228279789949e-5	gnomAD	0.19993785715250664	148/74023	Non-neoplastic tumor: MEDICUS: TSC1 2 MTORC1 SIGNALING PATHWAY
MEDICUS: TSC1 2 MTORC1 SIGNALING PATHWAY	Non-neoplastic tumor	15	6280	69.24862696459775	1.1394988519963013e-6	15.602459880434665	239.6803698901227	3.418496555988904e-5	PMBB	0.23828435266084197	15/6295	Non-neoplastic tumor: MEDICUS: TSC1 2 MTORC1 SIGNALING PATHWAY
BASAL CELL CARCINOMA	Medulloblastoma	665	73358	10.02700659587604	2.9136953882753056e-6	4.181433087355727	20.74820356619524	3.4964344659303665e-4	gnomAD	0.8983694257190332	665/74023	Medulloblastoma: BASAL CELL CARCINOMA
MEDICUS: ATR P21 CELL CYCLE G2 M	Other high-grade glioma	389	73634	16.221961239320382	3.525323970350112e-6	5.7233483425954566	37.3900307184651	3.77209664827462e-4	gnomAD	0.5255123407589533	389/74023	Other high-grade glioma: MEDICUS: ATR P21 CELL CYCLE G2 M
MEDICUS: P300 P21 CELL CYCLE G1 S	Other high-grade glioma	392	73631	16.09723692544947	3.681181554953644e-6	5.679597397329539	37.16970851209646	3.938864263800399e-4	gnomAD	0.5295651351606933	392/74023	Other high-grade glioma: MEDICUS: P300 P21 CELL CYCLE G1 S
MEDICUS: MUTATION ACTIVATED SMO TO HEDGEHOG SIGNALING PATHWAY	Medulloblastoma	320	73703	15.352614576486115	4.595504430708074e-6	5.449108249372529	35.096769908006614	5.514605316849689e-4	gnomAD	0.4322980695189333	320/74023	Medulloblastoma: MEDICUS: MUTATION ACTIVATED SMO TO HEDGEHOG SIGNALING PATHWAY
MEDICUS: MUTATION INACTIVATED PTCH1 TO HEDGEHOG SIGNALING PATHWAY	Medulloblastoma	320	73703	15.352614576486115	4.595504430708074e-6	5.449108249372529	35.096769908006614	5.514605316849689e-4	gnomAD	0.4322980695189333	320/74023	Medulloblastoma: MEDICUS: MUTATION INACTIVATED PTCH1 TO HEDGEHOG SIGNALING PATHWAY
COLORECTAL CANCER	Other high-grade glioma	910	73113	9.45139314866893	4.82856980654892e-6	3.9110950684811647	19.77378646826905	5.166569693007345e-4	gnomAD	1.2293476351944665	910/74023	Other high-grade glioma: COLORECTAL CANCER
MEDICUS: REGULATION OF GF RTK RAS ERK SIGNALING SPRED AND NF1	Low-grade glioma	80	73943	21.39213570920791	6.034979059525655e-6	6.695240744767716	52.777583061156484	0.0014483949742861574	gnomAD	0.10807451737973332	80/74023	Low-grade glioma: MEDICUS: REGULATION OF GF RTK RAS ERK SIGNALING SPRED AND NF1
BASAL CELL CARCINOMA	Other high-grade glioma	665	73358	11.19096991755675	6.2197993401667536e-6	4.320774865422901	24.439739545347955	6.655185293978427e-4	gnomAD	0.8983694257190332	665/74023	Other high-grade glioma: BASAL CELL CARCINOMA
MTOR SIGNALING PATHWAY	Non-neoplastic tumor	323	73700	38.000015272253144	7.029901932988838e-6	9.531305222282512	111.31441740515363	2.1089705798966514e-4	gnomAD	0.4363508639206733	323/74023	Non-neoplastic tumor: MTOR SIGNALING PATHWAY
PANCREATIC CANCER	Other high-grade glioma	81	6214	9.017845989335026	9.16665050685665e-6	3.622539425654797	19.622852364576158	9.808316042336615e-4	PMBB	1.2867355043685464	81/6295	Other high-grade glioma: PANCREATIC CANCER
PANCREATIC CANCER	Other high-grade glioma	999	73024	8.599330774412298	9.438690274050911e-6	3.5591963765255774	17.98451454861405	0.0010099398593234475	gnomAD	1.34958053577942	999/74023	Other high-grade glioma: PANCREATIC CANCER
MEDICUS: HEDGEHOG SIGNALING PATHWAY	Medulloblastoma	568	73455	10.169780421158109	1.0707223637462508e-5	3.956577268000108	21.970393901611395	0.0012848668364955009	gnomAD	0.7673290733961067	568/74023	Medulloblastoma: MEDICUS: HEDGEHOG SIGNALING PATHWAY
MTOR SIGNALING PATHWAY	Non-neoplastic tumor	29	6266	35.83336000920817	1.1528215782068392e-5	8.513353472403104	114.10049410477879	3.4584647346205176e-4	PMBB	0.46068308181096107	29/6295	Non-neoplastic tumor: MTOR SIGNALING PATHWAY
P53 SIGNALING PATHWAY	Other high-grade glioma	1056	72967	8.128533560619646	1.4016348207619774e-5	3.364966087760248	17.000302616038248	0.0014997492582153158	gnomAD	1.42658362941248	1056/74023	Other high-grade glioma: P53 SIGNALING PATHWAY
MEDICUS: REGULATION OF GF RTK RAS ERK SIGNALING SPRED AND NF1	Low-grade glioma	6	6289	24.21509492975903	1.677466026906909e-5	5.798634800316226	96.06654318032281	0.004025918464576582	PMBB	0.09531374106433678	6/6295	Low-grade glioma: MEDICUS: REGULATION OF GF RTK RAS ERK SIGNALING SPRED AND NF1
THYROID CANCER	Other high-grade glioma	41	6254	13.055514946459027	1.7190355002833465e-5	4.38703046105346	32.28640982320301	0.0018393679853031808	PMBB	0.6513105639396346	41/6295	Other high-grade glioma: THYROID CANCER
MEDICUS: P300 P21 CELL CYCLE G1 S	Other high-grade glioma	42	6253	12.74320048645431	1.9461459506793434e-5	4.287480246209795	31.469875536920046	0.0020823761672268976	PMBB	0.6671961874503575	42/6295	Other high-grade glioma: MEDICUS: P300 P21 CELL CYCLE G1 S
HEDGEHOG SIGNALING PATHWAY	Medulloblastoma	418	73605	11.737514851338984	2.0311512151421976e-5	4.173092531124536	26.785005516452824	0.002437381458170637	gnomAD	0.5646893533091066	418/74023	Medulloblastoma: HEDGEHOG SIGNALING PATHWAY
MEDICUS: MUTATION ACTIVATED SMO TO HEDGEHOG SIGNALING PATHWAY	Medulloblastoma	33	6262	12.634849977002183	2.1466048858861087e-5	4.221342839310814	31.553392235104496	0.0025759258630633306	PMBB	0.5242255758538522	33/6295	Medulloblastoma: MEDICUS: MUTATION ACTIVATED SMO TO HEDGEHOG SIGNALING PATHWAY
MEDICUS: MUTATION INACTIVATED PTCH1 TO HEDGEHOG SIGNALING PATHWAY	Medulloblastoma	33	6262	12.634849977002183	2.1466048858861087e-5	4.221342839310814	31.553392235104496	0.0025759258630633306	PMBB	0.5242255758538522	33/6295	Medulloblastoma: MEDICUS: MUTATION INACTIVATED PTCH1 TO HEDGEHOG SIGNALING PATHWAY
MEDICUS: ATR P21 CELL CYCLE G2 M	Other high-grade glioma	43	6252	12.44555515760844	2.196857965595935e-5	4.192295461253923	30.68248513133577	0.0023506380231876505	PMBB	0.6830818109610802	43/6295	Other high-grade glioma: MEDICUS: ATR P21 CELL CYCLE G2 M
THYROID CANCER	Other high-grade glioma	552	73471	11.406988153362898	2.483636923729091e-5	4.031255123060258	26.251691638571735	0.0026574915083901274	gnomAD	0.7457141699201599	552/74023	Other high-grade glioma: THYROID CANCER
INSULIN SIGNALING PATHWAY	Non-neoplastic tumor	2416	71607	9.878642610423622	2.5737297508606473e-5	3.5440836620075404	24.167393416081694	7.721189252581942e-4	gnomAD	3.2638504248679463	2416/74023	Non-neoplastic tumor: INSULIN SIGNALING PATHWAY
MEDICUS: HEDGEHOG SIGNALING PATHWAY	Medulloblastoma	57	6238	8.598814720013529	4.276733214768577e-5	3.2187500695751536	19.610116689073564	0.005132079857722293	PMBB	0.9054805401111994	57/6295	Medulloblastoma: MEDICUS: HEDGEHOG SIGNALING PATHWAY
GLIOMA	Other high-grade glioma	49	6246	10.910773681926498	4.3034863446179656e-5	3.698543547801919	26.654685152402976	0.004604730388741223	PMBB	0.778395552025417	49/6295	Other high-grade glioma: GLIOMA
INSULIN SIGNALING PATHWAY	Non-neoplastic tumor	221	6074	9.152555475941034	4.4772193410308274e-5	3.2518414939218725	22.64311659343899	0.0013431658023092482	PMBB	3.5107227958697376	221/6295	Non-neoplastic tumor: INSULIN SIGNALING PATHWAY
GLIOMA	Other high-grade glioma	620	73403	10.146419245753872	4.7007353751102344e-5	3.587813620339059	23.32502429040056	0.005029786851367951	gnomAD	0.8375775096929333	620/74023	Other high-grade glioma: GLIOMA
MEDICUS: MAGI PTEN SIGNALING PATHWAY	Medulloblastoma	50	73973	47.64241887808892	4.705770763941314e-5	9.35115949400997	151.8293021959019	0.005646924916729577	gnomAD	0.06754657336233333	50/74023	Medulloblastoma: MEDICUS: MAGI PTEN SIGNALING PATHWAY
COLORECTAL CANCER	Other high-grade glioma	104	6191	6.9965096461202005	4.9541216821355045e-5	2.8314629595702803	15.088159285783778	0.0053009101998849895	PMBB	1.6521048451151705	104/6295	Other high-grade glioma: COLORECTAL CANCER
NON SMALL CELL LUNG CANCER	Other high-grade glioma	643	73380	9.777844898990699	5.7345363353283246e-5	3.459080307720757	22.49115643173534	0.006135953878801307	gnomAD	0.8686489334396067	643/74023	Other high-grade glioma: NON SMALL CELL LUNG CANCER
CHRONIC MYELOID LEUKEMIA	Other high-grade glioma	652	73371	9.646262577868486	6.18542833244394e-5	3.411078909714905	22.176425719474416	0.006618408315715016	gnomAD	0.8808073166448266	652/74023	Other high-grade glioma: CHRONIC MYELOID LEUKEMIA
P53 SIGNALING PATHWAY	Other high-grade glioma	110	6185	6.609883784759246	7.197134844921437e-5	2.678072202927765	14.23004469349903	0.007700934284065937	PMBB	1.7474185861795075	110/6295	Other high-grade glioma: P53 SIGNALING PATHWAY
MEDICUS: AMPLIFIED MYCN TO TRANSCRIPTIONAL ACTIVATION	Choroid plexus tumor	51	73972	181.6128767309246	7.635568702870763e-5	19.67927043101002	819.4433252847874	0.0029778717941195978	gnomAD	0.06889750482958	51/74023	Choroid plexus tumor: MEDICUS: AMPLIFIED MYCN TO TRANSCRIPTIONAL ACTIVATION
NON SMALL CELL LUNG CANCER	Other high-grade glioma	55	6240	9.713973246949372	7.789003422098122e-5	3.3080856540569985	23.556696070405664	0.00833423366164499	PMBB	0.8737092930897538	55/6295	Other high-grade glioma: NON SMALL CELL LUNG CANCER
WNT SIGNALING PATHWAY	Other high-grade glioma	1376	72647	6.210814463047509	8.898378813657053e-5	2.572595184177738	12.976668259983487	0.009521265330613047	gnomAD	1.8588816989314132	1376/74023	Other high-grade glioma: WNT SIGNALING PATHWAY
MEDICUS: AMPLIFIED MDM2 TO P21 CELL CYCLE G1 S	Choroid plexus tumor	56	73967	164.8361033621722	9.152764617071075e-5	17.966713481970096	733.631535094348	0.003569578200657719	gnomAD	0.07565216216581333	56/74023	Choroid plexus tumor: MEDICUS: AMPLIFIED MDM2 TO P21 CELL CYCLE G1 S
MEDICUS: MAGI PTEN SIGNALING PATHWAY	Medulloblastoma	4	6291	50.56873699448427	1.100609837480987e-4	7.297138955308455	304.3383497839856	0.013207318049771844	PMBB	0.06354249404289118	4/6295	Medulloblastoma: MEDICUS: MAGI PTEN SIGNALING PATHWAY
BLADDER CANCER	Other high-grade glioma	726	73297	8.652636952308884	1.1070419888932866e-4	3.0612536871907987	19.885738604952774	0.011845349281158166	gnomAD	0.98077624522108	726/74023	Other high-grade glioma: BLADDER CANCER
MEDICUS: AMPLIFIED MDM2 TO P21 CELL CYCLE G1 S	Choroid plexus tumor	4	6291	193.716197222341	1.1441203362196452e-4	16.366361999920755	1438.725325102384	0.004462069311256617	PMBB	0.06354249404289118	4/6295	Choroid plexus tumor: MEDICUS: AMPLIFIED MDM2 TO P21 CELL CYCLE G1 S
MEDICUS: AMPLIFIED MYCN TO TRANSCRIPTIONAL ACTIVATION	Choroid plexus tumor	4	6291	193.716197222341	1.1441203362196452e-4	16.366361999920755	1438.725325102384	0.004462069311256617	PMBB	0.06354249404289118	4/6295	Choroid plexus tumor: MEDICUS: AMPLIFIED MYCN TO TRANSCRIPTIONAL ACTIVATION
MEDICUS: MDM2 P21 CELL CYCLE G1 S N00536	Choroid plexus tumor	66	73957	139.7641507240749	1.259527732202193e-4	15.306845153779365	604.6751494709894	0.004912158155588553	gnomAD	0.08916147683828	66/74023	Choroid plexus tumor: MEDICUS: MDM2 P21 CELL CYCLE G1 S N00536
AMYOTROPHIC LATERAL SCLEROSIS ALS	Other high-grade glioma	37	6258	11.895932531502543	1.274982489236882e-4	3.544723188640157	31.59698178555466	0.013642312634834636	PMBB	0.5877680698967435	37/6295	Other high-grade glioma: AMYOTROPHIC LATERAL SCLEROSIS ALS
CELL CYCLE	Other high-grade glioma	1456	72567	5.8631400523943205	1.3081357694112776e-4	2.4287706361443617	12.254053070931551	0.01399705273270067	gnomAD	1.9669562163111467	1456/74023	Other high-grade glioma: CELL CYCLE
BASAL CELL CARCINOMA	Medulloblastoma	94	6201	5.992958501393763	1.3295624594403837e-4	2.4391003796392883	12.814700241994036	0.015954749513284606	PMBB	1.4932486100079427	94/6295	Medulloblastoma: BASAL CELL CARCINOMA
MEDICUS: MDM2 P21 CELL CYCLE G1 S N00066	Choroid plexus tumor	72	73951	128.297383070171	1.4921186792179537e-4	14.050426672312652	554.0164605988643	0.005819262848950019	gnomAD	0.09726706564175999	72/74023	Choroid plexus tumor: MEDICUS: MDM2 P21 CELL CYCLE G1 S N00066
MELANOMA	Other high-grade glioma	769	73254	8.164334491104727	1.5078127673382694e-4	2.888924894730267	18.758211842373846	0.016133596610519482	gnomAD	1.0388662983126866	769/74023	Other high-grade glioma: MELANOMA
MELANOMA	Other high-grade glioma	63	6232	8.471938835121739	1.5594306438175215e-4	2.899613229914014	20.403503997519365	0.01668590788884748	PMBB	1.0007942811755361	63/6295	Other high-grade glioma: MELANOMA
PATHWAYS IN CANCER	Medulloblastoma	5385	68638	2.94134889458003	1.817787731518292e-4	1.6562897628893183	4.962313672470105	0.021813452778219503	gnomAD	7.2747659511233	5385/74023	Medulloblastoma: PATHWAYS IN CANCER
BASAL CELL CARCINOMA	Other high-grade glioma	94	6201	6.686928904507712	1.8234526979456005e-4	2.5248023112258364	15.064320658877424	0.019510943868017924	PMBB	1.4932486100079427	94/6295	Other high-grade glioma: BASAL CELL CARCINOMA
BLADDER CANCER	Other high-grade glioma	65	6230	8.20733335842621	1.828278611560106e-4	2.812633833063231	19.739085289914026	0.019562581143693136	PMBB	1.0325655281969817	65/6295	Other high-grade glioma: BLADDER CANCER
ENDOMETRIAL CANCER	Other high-grade glioma	801	73222	7.834956056361496	1.8746131851443655e-4	2.7727130653197607	17.999583297073436	0.02005836108104471	gnomAD	1.0820961052645799	801/74023	Other high-grade glioma: ENDOMETRIAL CANCER
MEDICUS: MDM2 P21 CELL CYCLE G1 S N00066	Choroid plexus tumor	6	6289	129.19162413489073	2.1284810513398522e-4	11.904405685884795	805.5295589499185	0.008301076100225424	PMBB	0.09531374106433678	6/6295	Choroid plexus tumor: MEDICUS: MDM2 P21 CELL CYCLE G1 S N00066
MEDICUS: MDM2 P21 CELL CYCLE G1 S N00536	Choroid plexus tumor	6	6289	129.19162413489073	2.1284810513398522e-4	11.904405685884795	805.5295589499185	0.008301076100225424	PMBB	0.09531374106433678	6/6295	Choroid plexus tumor: MEDICUS: MDM2 P21 CELL CYCLE G1 S N00536
MEDICUS: MUTATION INACTIVATED TP53 TO TRANSCRIPTION	Choroid plexus tumor	6	6289	129.19162413489073	2.1284810513398522e-4	11.904405685884795	805.5295589499185	0.008301076100225424	PMBB	0.09531374106433678	6/6295	Choroid plexus tumor: MEDICUS: MUTATION INACTIVATED TP53 TO TRANSCRIPTION
MEDICUS: ATR P21 CELL CYCLE G2 M	Pineoblastoma	389	73634	125.99160707964847	2.753498184702937e-4	10.501921037653652	1090.558738540832	0.0022027985477623495	gnomAD	0.5255123407589533	389/74023	Pineoblastoma: MEDICUS: ATR P21 CELL CYCLE G2 M
MEDICUS: P300 P21 CELL CYCLE G1 S	Pineoblastoma	392	73631	125.03501447864102	2.7957408247832635e-4	10.421569959747583	1081.149017840872	0.002236592659826611	gnomAD	0.5295651351606933	392/74023	Pineoblastoma: MEDICUS: P300 P21 CELL CYCLE G1 S
HEDGEHOG SIGNALING PATHWAY	Medulloblastoma	57	6238	7.29071104703374	3.3451368775534545e-4	2.503746338839165	17.47996997213506	0.04014164253064145	PMBB	0.9054805401111994	57/6295	Medulloblastoma: HEDGEHOG SIGNALING PATHWAY
FATTY ACID METABOLISM	Other CNS embryonal tumor	211	6084	16.45104875311891	3.5908573893636173e-4	3.503997877288667	65.33561758946455	0.0050272003451090645	PMBB	3.35186656076251	211/6295	Other CNS embryonal tumor: FATTY ACID METABOLISM
MEDICUS: MUTATION INACTIVATED TP53 TO TRANSCRIPTION	Choroid plexus tumor	113	73910	81.69932244264712	3.599878791200227e-4	9.009194357169887	356.29205243100364	0.014039527285680885	gnomAD	0.15265525579887332	113/74023	Choroid plexus tumor: MEDICUS: MUTATION INACTIVATED TP53 TO TRANSCRIPTION
FATTY ACID METABOLISM	Other CNS embryonal tumor	2540	71483	16.07989605341298	3.7805900663708973e-4	3.449425868094738	63.18605506155745	0.005292826092919256	gnomAD	3.431365926806533	2540/74023	Other CNS embryonal tumor: FATTY ACID METABOLISM
GLIOMA	Choroid plexus tumor	49	6246	25.40312624524513	3.9423268112036405e-4	4.5722813891619705	93.93289745391019	0.015375074563694198	PMBB	0.778395552025417	49/6295	Choroid plexus tumor: GLIOMA
P53 SIGNALING PATHWAY	Low-grade glioma	1056	72967	3.6196665258670144	4.002239079974115e-4	1.7739136039756904	6.637124818651089	0.09605373791937875	gnomAD	1.42658362941248	1056/74023	Low-grade glioma: P53 SIGNALING PATHWAY
CHRONIC MYELOID LEUKEMIA	Other high-grade glioma	76	6219	7.006593498872037	4.0300577458252877e-4	2.413621099135399	16.73776396382716	0.04312161788033058	PMBB	1.2073073868149324	76/6295	Other high-grade glioma: CHRONIC MYELOID LEUKEMIA
GLIOMA	Choroid plexus tumor	620	73403	23.670196436660706	4.4028800227017265e-4	4.381805284232279	83.94888939425398	0.017171232088536735	gnomAD	0.8375775096929333	620/74023	Choroid plexus tumor: GLIOMA
MEDICUS: P300 P21 CELL CYCLE G1 S	Pineoblastoma	42	6253	98.19577787886735	4.7044210632883366e-4	8.023436532890237	893.6721511437971	0.0037635368506306693	PMBB	0.6671961874503575	42/6295	Pineoblastoma: MEDICUS: P300 P21 CELL CYCLE G1 S
