group	group_n	type	median_surv_years_plp	median_surv_years_no_plp	km_p	HR	p	CI_lower	CI_upper	group_plus_n
Ependymoma	58	Event-free survival	NA	3.052703627652293	0.01617934367404994	NA	NA	NA	NA	Ependymoma (N=58)
GNG/GNT, BRAF V600E	12	Event-free survival	1.3169062286105406	6.740588637919234	0.045275512667628526	3.365781904461114	0.39528516509626827	0.20502778951747033	55.253426157787224	GNG/GNT, BRAF V600E (N=12)
GNG/GNT, Other alteration	31	Event-free survival	NA	6.967830253251198	0.7766244154566009	1.4644649639993017	0.7308812658738044	0.16656500402216726	12.875799711781326	GNG/GNT, Other alteration (N=31)
HGG, H3 wildtype	17	Event-free survival	7.214236824093087	1.4976043805612593	0.6488032389751215	0.5380983630785567	0.4463535363702774	0.10918313688470788	2.6519649151825786	HGG, H3 wildtype (N=17)
HGG, H3 wildtype, TP53	14	Event-free survival	0.7063655030800822	0.8323066392881588	0.8147077821693369	0.2237398945934947	0.36038039548655765	0.00904320168057946	5.53559924912572	HGG, H3 wildtype, TP53 (N=14)
High-grade glioma	39	Event-free survival	0.7063655030800822	1.2785763175906912	0.553715044824212	0.6565873375364996	0.5744271919561945	0.15121174127620934	2.851014928965022	High-grade glioma (N=39)
LGG, BRAF V600E	24	Event-free survival	1.678302532511978	4.1040383299110195	0.3304288763184251	2.0703424011073506	0.521984646450112	0.22316076641713378	19.20730837521383	LGG, BRAF V600E (N=24)
LGG, BRAF fusion	87	Event-free survival	3.753593429158111	8.720054757015742	0.07733245973800917	2.16524171751059	0.12964632344450333	0.7972647081111056	5.88044553778851	LGG, BRAF fusion (N=87)
LGG, Other alteration	44	Event-free survival	10.507871321013004	6.959616700889802	0.7231813282779624	0.8315062245204351	0.7610859283205765	0.2531115569294735	2.7316121389466193	LGG, Other alteration (N=44)
LGG, WT	13	Event-free survival	0.6324435318275154	5.6125941136208075	0.2564855354395097	1.2599210498948732	0.8713565993961438	0.07688685709478854	20.645934974441758	LGG, WT (N=13)
Low-grade glioma	177	Event-free survival	10.507871321013004	8.720054757015742	0.8557874638688412	5.044474142590093	0.19302956858079726	0.441127222965214	57.685669916741276	Low-grade glioma (N=177)
MB, Group3	19	Event-free survival	4.1505817932922655	0.6789869952087612	0.19156819479070253	0.43251204987286956	0.28372500107412685	0.09342818556015134	2.0022509498998406	MB, Group3 (N=19)
MB, Group4	39	Event-free survival	NA	8.985626283367557	0.10713842826233688	0.20753339397342815	0.13904967988496042	0.02584066271437149	1.6667571606116884	MB, Group4 (N=39)
MB, SHH	16	Event-free survival	NA	2.8542094455852154	0.022894910424882453	0.11554169685039771	0.06481347272292559	0.011692501336751933	1.1417474607514293	MB, SHH (N=16)
Medulloblastoma	83	Event-free survival	NA	3.9288158795345653	0.01492739752707839	0.2469628549509417	0.045496731640485406	0.06272364872845144	0.9723709153076504	Medulloblastoma (N=83)
Meningioma	22	Event-free survival	4.114989733059549	6.6447638603696095	0.7033652078047657	0.34018306142121674	0.20830517849785504	0.06342491429422913	1.8245908026152553	Meningioma (N=22)
Mixed neuronal-glial tumor	57	Event-free survival	1.998631074606434	7.345653661875428	0.36309554946928757	1.6704541043049237	0.6381735185427287	0.1968276808345426	14.1769536823169	Mixed neuronal-glial tumor (N=57)
