"gene_symbol_vep"	"count_with_plp_control"	"total_cohort_size_control"	"count_without_plp_control"	"count_with_plp_case"	"total_cohort_size_case"	"count_without_plp_case"	"p"	"OR"	"ci.int1"	"ci.int2"	"padj"	"ntests"
"FANCI"	9	6295	6286	1	837	836	1	0.835507560851494	0.0190384041578466	6.04261130358217	1	73
"FANCM"	16	6295	6279	1	837	836	0.711694874238725	0.469460644527405	0.0111838828657353	3.02941968342477	1	73
"FH"	6	6295	6289	1	837	836	0.58282270794686	1.25374365953442	0.0272254862983028	10.3535270755085	1	73
"GBA"	19	6295	6276	3	837	834	0.737718332301914	1.18815401215917	0.224708426313918	4.04916866057092	1	73
"GJB2"	50	6295	6245	9	837	828	0.413322801384764	1.35753976023823	0.584698109043643	2.80163293990879	1	73
"HMBS"	3	6295	6292	1	837	836	0.393139314672963	2.50815963601286	0.0477320242361419	31.2648428740506	1	73
"LZTR1"	17	6295	6278	3	837	834	0.72305283708726	1.32833415068596	0.248877909384872	4.60678421252483	1	73
"MPL"	18	6295	6277	2	837	835	1	0.835309764250242	0.0938270098240718	3.49879948355892	1	73
"MSH2"	0	6295	6295	1	837	836	0.117358384744812	Inf	0.192843762002264	Inf	1	73
"MSH3"	10	6295	6285	2	837	835	0.64309852901464	1.50528084572114	0.16007727412658	7.08113087711325	1	73
"MSH6"	4	6295	6291	2	837	835	0.149892916356423	3.76596073007162	0.340171998324385	26.3198551340965	1	73
"MUTYH"	22	6295	6273	7	837	830	0.0728290436392913	2.40434015659136	0.864838883489436	5.8506804028376	1	73
"NBN"	16	6295	6279	1	837	836	0.711694874238725	0.469460644527405	0.0111838828657353	3.02941968342477	1	73
"NTHL1"	10	6295	6285	1	837	836	1	0.751821390884326	0.0173028885466398	5.29629487573188	1	73
"PMS2"	13	6295	6282	5	837	832	0.0512567468530897	2.90340495969716	0.808354747636393	8.70557031430018	1	73
"POLE"	12	6295	6283	2	837	835	0.675660847871043	1.25404754909163	0.136107591058678	5.64855010505323	1	73
"POLH"	3	6295	6292	1	837	836	0.393139314672963	2.50815963601286	0.0477320242361419	31.2648428740506	1	73
"PRF1"	6	6295	6289	1	837	836	0.58282270794686	1.25374365953442	0.0272254862983028	10.3535270755085	1	73
"PTCH2"	4	6295	6291	1	837	836	0.464399470904546	1.88099792357139	0.0381553950066707	19.0377069275031	1	73
"PTEN"	0	6295	6295	1	837	836	0.117358384744812	Inf	0.192843762002264	Inf	1	73
"PTPN11"	8	6295	6287	1	837	836	1	0.940044496645031	0.0211601304242389	7.0274736520296	1	73
"RAD50"	15	6295	6280	4	837	833	0.269147711854645	2.0101901033214	0.484466281850682	6.33033373480525	1	73
"RECQL4"	27	6295	6268	6	837	831	0.270801294766856	1.67600618718063	0.564139898138902	4.15996615255553	1	73
"SDHA"	3	6295	6292	1	837	836	0.393139314672963	2.50815963601286	0.0477320242361419	31.2648428740506	1	73
"SLX4"	8	6295	6287	2	837	835	0.331470791539546	1.88205080035644	0.194384451550344	9.45508065215465	1	73
"SMARCB1"	0	6295	6295	2	837	835	0.0137584644014392	Inf	1.41338243234243	Inf	1	73
"SMARCE1"	0	6295	6295	2	837	835	0.0137584644014392	Inf	1.41338243234243	Inf	1	73
"SOS1"	4	6295	6291	1	837	836	0.464399470904546	1.88099792357139	0.0381553950066707	19.0377069275031	1	73
"SOS2"	1	6295	6294	1	837	836	0.220958305088185	7.52476446055621	0.0957971797044388	588.071638407607	1	73
"SUFU"	18	6295	6277	2	837	835	1	0.835309764250242	0.0938270098240718	3.49879948355892	1	73
"TERT"	2	6295	6293	2	837	835	0.0702261591620088	7.53257418778741	0.545339150274636	104.070247601298	1	73
"VHL"	3	6295	6292	1	837	836	0.393139314672963	2.50815963601286	0.0477320242361419	31.2648428740506	1	73
"WAS"	0	6295	6295	1	837	836	0.117358384744812	Inf	0.192843762002264	Inf	1	73
"WRN"	9	6295	6286	1	837	836	1	0.835507560851494	0.0190384041578466	6.04261130358217	1	73
"XPC"	10	6295	6285	1	837	836	1	0.751821390884326	0.0173028885466398	5.29629487573188	1	73
