"pathway_id"	"genes"	"pathway_name"	"count_with_plp_control"	"total_cohort_size_control"	"count_without_plp_control"	"count_with_plp_case"	"total_cohort_size_case"	"count_without_plp_case"	"p"	"OR"	"ci.int1"	"ci.int2"	"padj"	"ntests"
"KEGG_MEDICUS_REFERENCE_ATR_P21_CELL_CYCLE_G2_M"	"ATM,ATR,CCNB1,CCNB2,CCNB3,CDK1,CDKN1A,CHEK1,TP53"	"KEGG_MEDICUS_REFERENCE_ATR_P21_CELL_CYCLE_G2_M"	43	6295	6252	17	830	813	0.00034021698131382	3.03957424137001	1.61722729002507	5.47185939895925	0.230326896349456	677
"KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_SMO_TO_HEDGEHOG_SIGNALING_PATHWAY"	"BMP2,BMP4,GLI1,GLI2,GLI3,HHIP,KIF7,PTCH1,PTCH2,SMO,SUFU,WNT1,WNT10A,WNT10B,WNT16,WNT2,WNT2B,WNT3,WNT3A,WNT4,WNT5A,WNT5B,WNT6,WNT7A,WNT7B,WNT8A,WNT8B,WNT9A,WNT9B"	"KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_SMO_TO_HEDGEHOG_SIGNALING_PATHWAY"	33	6295	6262	14	830	816	0.000644656387648756	3.25467592627587	1.60216606997788	6.28163480542038	0.436432374438208	677
"KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PTCH1_TO_HEDGEHOG_SIGNALING_PATHWAY"	"BMP2,BMP4,GLI1,GLI2,GLI3,HHIP,KIF7,PTCH1,PTCH2,SMO,SUFU,WNT1,WNT10A,WNT10B,WNT16,WNT2,WNT2B,WNT3,WNT3A,WNT4,WNT5A,WNT5B,WNT6,WNT7A,WNT7B,WNT8A,WNT8B,WNT9A,WNT9B"	"KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PTCH1_TO_HEDGEHOG_SIGNALING_PATHWAY"	33	6295	6262	14	830	816	0.000644656387648756	3.25467592627587	1.60216606997788	6.28163480542038	0.436432374438208	677
"KEGG_BASAL_CELL_CARCINOMA"	"APC,APC2,AXIN1,AXIN2,BMP2,BMP4,CTNNB1,DVL1,DVL2,DVL3,FZD1,FZD10,FZD2,FZD3,FZD4,FZD5,FZD6,FZD7,FZD8,FZD9,GLI1,GLI2,GLI3,GSK3B,HHIP,LEF1,PTCH1,PTCH2,SHH,SMO,STK36,SUFU,TCF7,TCF7L1,TCF7L2,TP53,WNT1,WNT10A,WNT10B,WNT11,WNT16,WNT2,WNT2B,WNT3,WNT3A,WNT4,WNT5A,WNT5B,WNT6,WNT7A,WNT7B,WNT8A,WNT8B,WNT9A,WNT9B"	"KEGG_BASAL_CELL_CARCINOMA"	94	6295	6201	27	830	803	0.000807345326213939	2.21777639500536	1.38039209948949	3.45813482009679	0.546572785846837	677
"KEGG_APOPTOSIS"	"AIFM1,AKT1,AKT2,AKT3,APAF1,ATM,BAD,BAX,BCL2,BCL2L1,BID,BIRC2,BIRC3,CAPN1,CAPN2,CASP10,CASP3,CASP6,CASP7,CASP8,CASP9,CFLAR,CHP1,CHP2,CHUK,CSF2RB,CYCS,DFFA,DFFB,ENDOD1,ENDOG,EXOG,FADD,FAS,FASLG,IKBKB,IKBKG,IL1A,IL1B,IL1R1,IL1RAP,IL3,IL3RA,IRAK1,IRAK2,IRAK3,IRAK4,MAP3K14,MYD88,NFKB1,NFKBIA,NGF,NTRK1,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIK3R5,PPP3CA,PPP3CB,PPP3CC,PPP3R1,PPP3R2,PRKACA,PRKACB,PRKACG,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,PRKX,RELA,RIPK1,TNF,TNFRSF10A,TNFRSF10B,TNFRSF10C,TNFRSF10D,TNFRSF1A,TNFSF10,TP53,TRADD,TRAF2,XIAP"	"KEGG_APOPTOSIS"	103	6295	6192	29	830	801	0.000822614218304357	2.17619106205202	1.3798603059185	3.33834841645701	0.556909825792049	677
"KEGG_NEUROTROPHIN_SIGNALING_PATHWAY"	"ABL1,AKT1,AKT2,AKT3,ARHGDIA,ARHGDIB,ATF4,BAD,BAX,BCL2,BDNF,BEX3,BRAF,CALM1,CALM2,CALM3,CALML3,CALML5,CALML6,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMK4,CDC42,CRK,CRKL,CSK,FASLG,FOXO3,FRS2,GAB1,GRB2,GSK3B,HRAS,IKBKB,IRAK1,IRAK2,IRAK3,IRAK4,IRS1,IRS2,IRS4,JUN,KIDINS220,KRAS,MAGED1,MAP2K1,MAP2K2,MAP2K5,MAP2K7,MAP3K1,MAP3K3,MAP3K5,MAPK1,MAPK10,MAPK11,MAPK12,MAPK13,MAPK14,MAPK3,MAPK7,MAPK8,MAPK9,MAPKAPK2,NFKB1,NFKBIA,NFKBIB,NFKBIE,NGF,NGFR,NRAS,NTF3,NTF4,NTRK1,NTRK2,NTRK3,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIK3R5,PLCG1,PLCG2,PRDM4,PRKCD,PSEN1,PTPN11,RAC1,RAF1,RAP1A,RAP1B,RAPGEF1,RELA,RHOA,RIPK2,RPS6KA1,RPS6KA2,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,SH2B1,SH2B2,SH2B3,SHC1,SHC2,SHC3,SHC4,SORT1,SOS1,SOS2,TP53,TP73,TRAF6,YWHAB,YWHAE,YWHAG,YWHAH,YWHAQ,YWHAZ,ZNF274"	"KEGG_NEUROTROPHIN_SIGNALING_PATHWAY"	79	6295	6216	24	830	806	0.000880752102977267	2.34259385938128	1.40973297629774	3.76496127507762	0.596269173715609	677
"KEGG_CHRONIC_MYELOID_LEUKEMIA"	"ABL1,AKT1,AKT2,AKT3,ARAF,BAD,BCL2L1,BCR,BRAF,CBL,CBLB,CBLC,CCND1,CDK4,CDK6,CDKN1A,CDKN1B,CDKN2A,CHUK,CRK,CRKL,CTBP1,CTBP2,E2F1,E2F2,E2F3,GAB2,GRB2,HDAC1,HDAC2,HRAS,IKBKB,IKBKG,KRAS,MAP2K1,MAP2K2,MAPK1,MAPK3,MDM2,MECOM,MYC,NFKB1,NFKBIA,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIK3R5,PTPN11,RAF1,RB1,RELA,RUNX1,SHC1,SHC2,SHC3,SHC4,SMAD3,SMAD4,SOS1,SOS2,STAT5A,STAT5B,TGFB1,TGFB2,TGFB3,TGFBR1,TGFBR2,TP53"	"KEGG_CHRONIC_MYELOID_LEUKEMIA"	76	6295	6219	23	830	807	0.00124046585200206	2.33195579575376	1.38711422710168	3.78474357657381	0.839795381805397	677
"KEGG_INSULIN_SIGNALING_PATHWAY"	"ACACA,ACACB,AKT1,AKT2,AKT3,ARAF,BAD,BRAF,CALM1,CALM2,CALM3,CALML3,CALML5,CALML6,CBL,CBLB,CBLC,CRK,CRKL,EIF4E,EIF4E1B,EIF4E2,EIF4EBP1,ELK1,EXOC7,FASN,FBP1,FBP2,FLOT1,FLOT2,FOXO1,G6PC1,G6PC2,GCK,GRB2,GSK3B,GYS1,GYS2,HK1,HK2,HK3,HRAS,IKBKB,INPP5D,INPP5K,INS,INSR,IRS1,IRS2,IRS4,KRAS,LIPE,MAP2K1,MAP2K2,MAPK1,MAPK10,MAPK3,MAPK8,MAPK9,MKNK1,MKNK2,MTOR,NRAS,PCK1,PCK2,PDE3A,PDE3B,PDPK1,PHKA1,PHKA2,PHKB,PHKG1,PHKG2,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIK3R5,PKLR,PPARGC1A,PPP1CA,PPP1CB,PPP1CC,PPP1R3A,PPP1R3B,PPP1R3C,PPP1R3D,PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKACA,PRKACB,PRKACG,PRKAG1,PRKAG2,PRKAG3,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,PRKCI,PRKCZ,PRKX,PTPN1,PTPRF,PYGB,PYGL,PYGM,RAF1,RAPGEF1,RHEB,RHOQ,RPS6,RPS6KB1,RPS6KB2,RPTOR,SH2B2,SHC1,SHC2,SHC3,SHC4,SLC2A4,SOCS1,SOCS2,SOCS3,SOCS4,SORBS1,SOS1,SOS2,SREBF1,TRIP10,TSC1,TSC2"	"KEGG_INSULIN_SIGNALING_PATHWAY"	221	6295	6074	49	830	781	0.00132990088248071	1.72419596550418	1.22733964942353	2.38250583868183	0.900342897439442	677
"KEGG_ABC_TRANSPORTERS"	"ABCA1,ABCA10,ABCA12,ABCA13,ABCA2,ABCA3,ABCA4,ABCA5,ABCA6,ABCA7,ABCA8,ABCA9,ABCB1,ABCB10,ABCB11,ABCB4,ABCB5,ABCB6,ABCB7,ABCB8,ABCB9,ABCC1,ABCC10,ABCC11,ABCC12,ABCC2,ABCC3,ABCC4,ABCC5,ABCC6,ABCC8,ABCC9,ABCD1,ABCD2,ABCD3,ABCD4,ABCG1,ABCG2,ABCG4,ABCG5,ABCG8,CFTR,TAP1,TAP2"	"KEGG_ABC_TRANSPORTERS"	438	6295	5857	46	830	784	0.141883559776118	0.784615593792683	0.560829255176153	1.07572749910301	1	677
"KEGG_ACUTE_MYELOID_LEUKEMIA"	"AKT1,AKT2,AKT3,ARAF,BAD,BRAF,CCNA1,CCND1,CEBPA,CHUK,EIF4EBP1,FLT3,GRB2,HRAS,IKBKB,IKBKG,JUP,KIT,KRAS,LEF1,MAP2K1,MAP2K2,MAPK1,MAPK3,MTOR,MYC,NFKB1,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIK3R5,PIM1,PIM2,PML,PPARD,RAF1,RARA,RELA,RPS6KB1,RPS6KB2,RUNX1,RUNX1T1,SOS1,SOS2,SPI1,STAT3,STAT5A,STAT5B,TCF7,TCF7L1,TCF7L2,ZBTB16"	"KEGG_ACUTE_MYELOID_LEUKEMIA"	78	6295	6217	10	830	820	1	0.972016182329152	0.446735047187386	1.89420427139609	1	677
"KEGG_ADHERENS_JUNCTION"	"ACP1,ACTB,ACTG1,ACTN1,ACTN2,ACTN3,ACTN4,AFDN,BAIAP2,CDC42,CDH1,CREBBP,CSNK2A1,CSNK2A2,CSNK2B,CTNNA1,CTNNA2,CTNNA3,CTNNB1,CTNND1,EGFR,EP300,ERBB2,FARP2,FER,FGFR1,FYN,IGF1R,INSR,IQGAP1,LEF1,LMO7,MAP3K7,MAPK1,MAPK3,MET,NECTIN1,NECTIN2,NECTIN3,NECTIN4,NLK,PARD3,PTPN1,PTPN6,PTPRB,PTPRF,PTPRJ,PTPRM,RAC1,RAC2,RAC3,RHOA,SMAD2,SMAD3,SMAD4,SNAI1,SNAI2,SORBS1,SRC,SSX2IP,TCF7,TCF7L1,TCF7L2,TGFBR1,TGFBR2,TJP1,VCL,WAS,WASF1,WASF2,WASF3,WASL,YES1"	"KEGG_ADHERENS_JUNCTION"	48	6295	6247	11	830	819	0.101328319486033	1.74781834533276	0.815146234936267	3.43010860985794	1	677
"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY"	"ACACB,ACSL1,ACSL3,ACSL4,ACSL5,ACSL6,ADIPOQ,ADIPOR1,ADIPOR2,AGRP,AKT1,AKT2,AKT3,CAMKK1,CAMKK2,CD36,CHUK,CPT1A,CPT1B,CPT1C,G6PC1,G6PC2,IKBKB,IKBKG,IRS1,IRS2,IRS4,JAK2,LEP,LEPR,MAPK10,MAPK8,MAPK9,MTOR,NFKB1,NFKBIA,NFKBIB,NFKBIE,NPY,PCK1,PCK2,POMC,PPARA,PPARGC1A,PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKAG1,PRKAG2,PRKAG3,PRKCQ,PTPN11,RELA,RXRA,RXRB,RXRG,SLC2A1,SLC2A4,SOCS3,STAT3,STK11,TNF,TNFRSF1A,TNFRSF1B,TRADD,TRAF2"	"KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY"	172	6295	6123	27	830	803	0.370927728783784	1.19693214942229	0.761457598969727	1.8170594276744	1	677
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM"	"ABAT,ACY3,ADSL,ADSS1,ADSS2,AGXT,AGXT2,ALDH4A1,ALDH5A1,ASL,ASNS,ASPA,ASS1,CAD,CPS1,DDO,GAD1,GAD2,GFPT1,GFPT2,GLS,GLS2,GLUD1,GLUD2,GLUL,GOT1,GOT2,GPT,GPT2,IL4I1,NIT2,PPAT"	"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM"	136	6295	6159	18	830	812	1	1.00389334019234	0.574468504489541	1.65826103310316	1	677
"KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION"	"ATP1A1,ATP1A2,ATP1A3,ATP1A4,ATP1B1,ATP1B2,ATP1B3,ATP1B4,FXYD2,FXYD4,HSD11B1,HSD11B2,IGF1,INS,INSR,IRS1,IRS2,IRS4,KCNJ1,KRAS,MAPK1,MAPK3,NEDD4L,NHERF2,NR3C2,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIK3R5,PRKCA,PRKCB,PRKCG,SCNN1A,SCNN1B,SCNN1G,SFN,SGK1"	"KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION"	66	6295	6229	11	830	819	0.473050297619117	1.26755581481561	0.601059727411449	2.43090882178759	1	677
