"pathway_id"	"genes"	"pathway_name"	"population"	"total_cohort_size_control"	"count_with_plp_control"	"count_without_plp_control"	"count_with_plp_case"	"total_cohort_size_case"	"count_without_plp_case"	"p"	"OR"	"ci.int1"	"ci.int2"	"padj"	"ntests"
"KEGG_CHRONIC_MYELOID_LEUKEMIA"	"ABL1,AKT1,AKT2,AKT3,ARAF,BAD,BCL2L1,BCR,BRAF,CBL,CBLB,CBLC,CCND1,CDK4,CDK6,CDKN1A,CDKN1B,CDKN2A,CHUK,CRK,CRKL,CTBP1,CTBP2,E2F1,E2F2,E2F3,GAB2,GRB2,HDAC1,HDAC2,HRAS,IKBKB,IKBKG,KRAS,MAP2K1,MAP2K2,MAPK1,MAPK3,MDM2,MECOM,MYC,NFKB1,NFKBIA,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIK3R5,PTPN11,RAF1,RB1,RELA,RUNX1,SHC1,SHC2,SHC3,SHC4,SMAD3,SMAD4,SOS1,SOS2,STAT5A,STAT5B,TGFB1,TGFB2,TGFB3,TGFBR1,TGFBR2,TP53"	"KEGG_CHRONIC_MYELOID_LEUKEMIA"	"all"	74023	652	73371	23	830	807	2.9104667350431e-06	3.20710988358661	2.00697190314939	4.88943464234688	0.00197038597962418	677
"KEGG_CELL_CYCLE"	"ABL1,ANAPC1,ANAPC10,ANAPC11,ANAPC13,ANAPC2,ANAPC4,ANAPC5,ANAPC7,ATM,ATR,BUB1,BUB1B,BUB3,CCNA1,CCNA2,CCNB1,CCNB2,CCNB3,CCND1,CCND2,CCND3,CCNE1,CCNE2,CCNH,CDC14A,CDC14B,CDC16,CDC20,CDC23,CDC25A,CDC25B,CDC25C,CDC26,CDC27,CDC45,CDC6,CDC7,CDK1,CDK2,CDK4,CDK6,CDK7,CDKN1A,CDKN1B,CDKN1C,CDKN2A,CDKN2B,CDKN2C,CDKN2D,CHEK1,CHEK2,CREBBP,CUL1,DBF4,E2F1,E2F2,E2F3,E2F4,E2F5,EP300,ESPL1,FZR1,GADD45A,GADD45B,GADD45G,GSK3B,HDAC1,HDAC2,MAD1L1,MAD2L1,MAD2L2,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MDM2,MYC,ORC1,ORC2,ORC3,ORC4,ORC5,ORC6,PCNA,PKMYT1,PLK1,PRKDC,PTTG1,PTTG2,RAD21,RB1,RBL1,RBL2,RBX1,SFN,SKP1,SKP1P2,SKP2,SMAD2,SMAD3,SMAD4,SMC1A,SMC1B,SMC3,STAG1,STAG2,TFDP1,TFDP2,TGFB1,TGFB2,TGFB3,TP53,TTK,WEE1,WEE2,YWHAB,YWHAE,YWHAG,YWHAH,YWHAQ,YWHAZ,ZBTB17"	"KEGG_CELL_CYCLE"	"all"	74023	1456	72567	38	830	792	3.78880053908649e-06	2.39121527949066	1.67252556222373	3.32739180906535	0.00256501796496156	677
"KEGG_MEDICUS_REFERENCE_ATR_P21_CELL_CYCLE_G2_M"	"ATM,ATR,CCNB1,CCNB2,CCNB3,CDK1,CDKN1A,CHEK1,TP53"	"KEGG_MEDICUS_REFERENCE_ATR_P21_CELL_CYCLE_G2_M"	"all"	74023	389	73634	17	830	813	4.02038352183423e-06	3.95796147660485	2.27074607953611	6.45848594876588	0.00272179964428177	677
"KEGG_GLIOMA"	"AKT1,AKT2,AKT3,ARAF,BRAF,CALM1,CALM2,CALM3,CALML3,CALML5,CALML6,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CCND1,CDK4,CDK6,CDKN1A,CDKN2A,E2F1,E2F2,E2F3,EGF,EGFR,GRB2,HRAS,IGF1,IGF1R,KRAS,MAP2K1,MAP2K2,MAPK1,MAPK3,MDM2,MTOR,NRAS,PDGFA,PDGFB,PDGFRA,PDGFRB,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIK3R5,PLCG1,PLCG2,PRKCA,PRKCB,PRKCG,PTEN,RAF1,RB1,SHC1,SHC2,SHC3,SHC4,SOS1,SOS2,TGFA,TP53"	"KEGG_GLIOMA"	"all"	74023	620	73403	22	830	808	4.34270588431354e-06	3.2234157638008	1.99394446453458	4.95895261557331	0.00294001188368027	677
"KEGG_MEDICUS_REFERENCE_P300_P21_CELL_CYCLE_G1_S"	"ATM,ATR,CCND1,CCND2,CCND3,CDK4,CDK6,CDKN1A,E2F1,E2F2,E2F3,EP300,RB1,TADA3,TP53"	"KEGG_MEDICUS_REFERENCE_P300_P21_CELL_CYCLE_G1_S"	"all"	74023	392	73631	17	830	813	4.43021209087977e-06	3.92751823731592	2.25345307414414	6.40907710596076	0.00299925358552561	677
"KEGG_MAPK_SIGNALING_PATHWAY"	"AKT1,AKT2,AKT3,ARRB1,ARRB2,ATF2,ATF4,BDNF,BRAF,CACNA1A,CACNA1B,CACNA1C,CACNA1D,CACNA1E,CACNA1F,CACNA1G,CACNA1H,CACNA1I,CACNA1S,CACNA2D1,CACNA2D2,CACNA2D3,CACNA2D4,CACNB1,CACNB2,CACNB3,CACNB4,CACNG1,CACNG2,CACNG3,CACNG4,CACNG5,CACNG6,CACNG7,CACNG8,CASP3,CD14,CDC25B,CDC42,CHP1,CHP2,CHUK,CRK,CRKL,DAXX,DDIT3,DUSP1,DUSP10,DUSP14,DUSP16,DUSP2,DUSP3,DUSP4,DUSP5,DUSP6,DUSP7,DUSP8,DUSP9,ECSIT,EGF,EGFR,ELK1,ELK4,FAS,FASLG,FGF1,FGF10,FGF11,FGF12,FGF13,FGF14,FGF16,FGF17,FGF18,FGF19,FGF2,FGF20,FGF21,FGF22,FGF23,FGF3,FGF4,FGF5,FGF6,FGF7,FGF8,FGF9,FGFR1,FGFR2,FGFR3,FGFR4,FLNA,FLNB,FLNC,FOS,GADD45A,GADD45B,GADD45G,GNA12,GNG12,GRB2,HRAS,HSPA1A,HSPA1B,HSPA1L,HSPA2,HSPA6,HSPA8,HSPB1,IKBKB,IKBKG,IL1A,IL1B,IL1R1,IL1R2,JMJD7-PLA2G4B,JUN,JUND,KRAS,LAMTOR3,MAP2K1,MAP2K2,MAP2K3,MAP2K4,MAP2K5,MAP2K6,MAP2K7,MAP3K1,MAP3K11,MAP3K12,MAP3K13,MAP3K14,MAP3K2,MAP3K20,MAP3K3,MAP3K4,MAP3K5,MAP3K6,MAP3K7,MAP3K8,MAP4K1,MAP4K2,MAP4K3,MAP4K4,MAPK1,MAPK10,MAPK11,MAPK12,MAPK13,MAPK14,MAPK3,MAPK7,MAPK8,MAPK8IP1,MAPK8IP2,MAPK8IP3,MAPK9,MAPKAPK2,MAPKAPK3,MAPKAPK5,MAPT,MAX,MECOM,MEF2C,MKNK1,MKNK2,MOS,MRAS,MYC,NF1,NFATC2,NFATC4,NFKB1,NFKB2,NGF,NLK,NR4A1,NRAS,NTF3,NTF4,NTRK1,NTRK2,PAK1,PAK2,PDGFA,PDGFB,PDGFRA,PDGFRB,PLA2G10,PLA2G12A,PLA2G12B,PLA2G1B,PLA2G2A,PLA2G2C,PLA2G2D,PLA2G2E,PLA2G2F,PLA2G3,PLA2G4A,PLA2G4B,PLA2G4E,PLA2G5,PLA2G6,PPM1A,PPM1B,PPP3CA,PPP3CB,PPP3CC,PPP3R1,PPP3R2,PPP5C,PRKACA,PRKACB,PRKACG,PRKCA,PRKCB,PRKCG,PRKX,PTPN5,PTPN7,PTPRR,RAC1,RAC2,RAC3,RAF1,RAP1A,RAP1B,RAPGEF2,RASA1,RASA2,RASGRF1,RASGRF2,RASGRP1,RASGRP2,RASGRP3,RASGRP4,RELA,RELB,RPS6KA1,RPS6KA2,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,RRAS,RRAS2,SOS1,SOS2,SRF,STK3,STK4,STMN1,TAB1,TAB2,TAOK1,TAOK2,TAOK3,TGFB1,TGFB2,TGFB3,TGFBR1,TGFBR2,TNF,TNFRSF1A,TP53,TRAF2,TRAF6"	"KEGG_MAPK_SIGNALING_PATHWAY"	"all"	74023	3026	70997	63	830	767	5.90467667952258e-06	1.92715288709039	1.46239921911838	2.50070595288231	0.00399746611203679	677
"KEGG_ENDOMETRIAL_CANCER"	"AKT1,AKT2,AKT3,APC,APC2,ARAF,AXIN1,AXIN2,BAD,BRAF,CASP9,CCND1,CDH1,CTNNA1,CTNNA2,CTNNA3,CTNNB1,EGF,EGFR,ELK1,ERBB2,FOXO3,GRB2,GSK3B,HRAS,ILK,KRAS,LEF1,MAP2K1,MAP2K2,MAPK1,MAPK3,MLH1,MYC,NRAS,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIK3R5,PTEN,RAF1,SOS1,SOS2,TCF7,TCF7L1,TCF7L2,TP53"	"KEGG_ENDOMETRIAL_CANCER"	"all"	74023	801	73222	25	830	805	8.54911310576263e-06	2.83881343204196	1.81500962543546	4.25276866613652	0.0057877495726013	677
"KEGG_NON_SMALL_CELL_LUNG_CANCER"	"AKT1,AKT2,AKT3,ARAF,BAD,BRAF,CASP9,CCND1,CDK4,CDK6,CDKN2A,E2F1,E2F2,E2F3,EGF,EGFR,ERBB2,FHIT,FOXO3,GRB2,HRAS,KRAS,MAP2K1,MAP2K2,MAPK1,MAPK3,NRAS,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIK3R5,PLCG1,PLCG2,PRKCA,PRKCB,PRKCG,RAF1,RARB,RASSF1,RASSF5,RB1,RXRA,RXRB,RXRG,SOS1,SOS2,STK4,TGFA,TP53"	"KEGG_NON_SMALL_CELL_LUNG_CANCER"	"all"	74023	643	73380	21	830	809	2.32970077084762e-05	2.9622312427039	1.81101272351571	4.59809283382581	0.0157720742186384	677
"KEGG_COLORECTAL_CANCER"	"AKT1,AKT2,AKT3,APC,APC2,APPL1,ARAF,AXIN1,AXIN2,BAD,BAX,BCL2,BIRC5,BRAF,CASP3,CASP9,CCND1,CTNNB1,CYCS,DCC,FOS,GSK3B,JUN,KRAS,LEF1,MAP2K1,MAPK1,MAPK10,MAPK3,MAPK8,MAPK9,MLH1,MSH2,MSH3,MSH6,MYC,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIK3R5,RAC1,RAC2,RAC3,RAF1,RALGDS,RHOA,SMAD2,SMAD3,SMAD4,TCF7,TCF7L1,TCF7L2,TGFB1,TGFB2,TGFB3,TGFBR1,TGFBR2,TP53"	"KEGG_COLORECTAL_CANCER"	"all"	74023	910	73113	26	830	804	2.46749958832036e-05	2.59806936264763	1.67755588176019	3.86068441446862	0.0167049722129288	677
"KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_SMO_TO_HEDGEHOG_SIGNALING_PATHWAY"	"BMP2,BMP4,GLI1,GLI2,GLI3,HHIP,KIF7,PTCH1,PTCH2,SMO,SUFU,WNT1,WNT10A,WNT10B,WNT16,WNT2,WNT2B,WNT3,WNT3A,WNT4,WNT5A,WNT5B,WNT6,WNT7A,WNT7B,WNT8A,WNT8B,WNT9A,WNT9B"	"KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_SMO_TO_HEDGEHOG_SIGNALING_PATHWAY"	"all"	74023	320	73703	14	830	816	2.75729977912974e-05	3.95146001851353	2.12646607899053	6.76566418146955	0.0186669195047083	677
"KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PTCH1_TO_HEDGEHOG_SIGNALING_PATHWAY"	"BMP2,BMP4,GLI1,GLI2,GLI3,HHIP,KIF7,PTCH1,PTCH2,SMO,SUFU,WNT1,WNT10A,WNT10B,WNT16,WNT2,WNT2B,WNT3,WNT3A,WNT4,WNT5A,WNT5B,WNT6,WNT7A,WNT7B,WNT8A,WNT8B,WNT9A,WNT9B"	"KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PTCH1_TO_HEDGEHOG_SIGNALING_PATHWAY"	"all"	74023	320	73703	14	830	816	2.75729977912974e-05	3.95146001851353	2.12646607899053	6.76566418146955	0.0186669195047083	677
"KEGG_NEUROTROPHIN_SIGNALING_PATHWAY"	"ABL1,AKT1,AKT2,AKT3,ARHGDIA,ARHGDIB,ATF4,BAD,BAX,BCL2,BDNF,BEX3,BRAF,CALM1,CALM2,CALM3,CALML3,CALML5,CALML6,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMK4,CDC42,CRK,CRKL,CSK,FASLG,FOXO3,FRS2,GAB1,GRB2,GSK3B,HRAS,IKBKB,IRAK1,IRAK2,IRAK3,IRAK4,IRS1,IRS2,IRS4,JUN,KIDINS220,KRAS,MAGED1,MAP2K1,MAP2K2,MAP2K5,MAP2K7,MAP3K1,MAP3K3,MAP3K5,MAPK1,MAPK10,MAPK11,MAPK12,MAPK13,MAPK14,MAPK3,MAPK7,MAPK8,MAPK9,MAPKAPK2,NFKB1,NFKBIA,NFKBIB,NFKBIE,NGF,NGFR,NRAS,NTF3,NTF4,NTRK1,NTRK2,NTRK3,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIK3R5,PLCG1,PLCG2,PRDM4,PRKCD,PSEN1,PTPN11,RAC1,RAF1,RAP1A,RAP1B,RAPGEF1,RELA,RHOA,RIPK2,RPS6KA1,RPS6KA2,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,SH2B1,SH2B2,SH2B3,SHC1,SHC2,SHC3,SHC4,SORT1,SOS1,SOS2,TP53,TP73,TRAF6,YWHAB,YWHAE,YWHAG,YWHAH,YWHAQ,YWHAZ,ZNF274"	"KEGG_NEUROTROPHIN_SIGNALING_PATHWAY"	"all"	74023	841	73182	24	830	806	5.08223979240188e-05	2.59098915593466	1.64094290964131	3.90956375042259	0.0344067633945607	677
"KEGG_APOPTOSIS"	"AIFM1,AKT1,AKT2,AKT3,APAF1,ATM,BAD,BAX,BCL2,BCL2L1,BID,BIRC2,BIRC3,CAPN1,CAPN2,CASP10,CASP3,CASP6,CASP7,CASP8,CASP9,CFLAR,CHP1,CHP2,CHUK,CSF2RB,CYCS,DFFA,DFFB,ENDOD1,ENDOG,EXOG,FADD,FAS,FASLG,IKBKB,IKBKG,IL1A,IL1B,IL1R1,IL1RAP,IL3,IL3RA,IRAK1,IRAK2,IRAK3,IRAK4,MAP3K14,MYD88,NFKB1,NFKBIA,NGF,NTRK1,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIK3R5,PPP3CA,PPP3CB,PPP3CC,PPP3R1,PPP3R2,PRKACA,PRKACB,PRKACG,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,PRKX,RELA,RIPK1,TNF,TNFRSF10A,TNFRSF10B,TNFRSF10C,TNFRSF10D,TNFRSF1A,TNFSF10,TP53,TRADD,TRAF2,XIAP"	"KEGG_APOPTOSIS"	"all"	74023	1169	72854	29	830	801	0.000120080809535848	2.25628705813048	1.49447195044537	3.28346074966443	0.0812947080557689	677
"KEGG_PROSTATE_CANCER"	"AKT1,AKT2,AKT3,AR,ARAF,ATF4,BAD,BCL2,BRAF,CASP9,CCND1,CCNE1,CCNE2,CDK2,CDKN1A,CDKN1B,CHUK,CREB1,CREB3,CREB3L1,CREB3L2,CREB3L3,CREB3L4,CREB5,CREBBP,CTNNB1,E2F1,E2F2,E2F3,EGF,EGFR,EP300,ERBB2,FGFR1,FGFR2,FOXO1,GRB2,GSK3B,GSTP1,HRAS,HSP90AA1,HSP90AB1,HSP90B1,IGF1,IGF1R,IKBKB,IKBKG,INS,INSRR,KLK3,KRAS,LEF1,MAP2K1,MAP2K2,MAPK1,MAPK3,MDM2,MTOR,NFKB1,NFKBIA,NKX3-1,NRAS,PDGFA,PDGFB,PDGFC,PDGFD,PDGFRA,PDGFRB,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK3R1,PIK3R2,PIK3R3,PIK3R5,PTEN,RAF1,RB1,RELA,SOS1,SOS2,SRD5A2,TCF7,TCF7L1,TCF7L2,TGFA,TP53"	"KEGG_PROSTATE_CANCER"	"all"	74023	1020	73003	26	830	804	0.000156014542255786	2.31444582231453	1.49524755485315	3.43675323931842	0.105621845107167	677
