pathway_id,control_cohort,pathway_name,genes,count_with_plp_control,count_with_plp_case,count_without_plp_control,count_without_plp_case,case_cohort,p,OR,ci.int1,ci.int2,FDR,ntests,ngenes,contains_overrepresented_gene,FDR.filtered,ntests.filtered
path:hsa00030,PMBB_noCancer,Pentose phosphate pathway,"GLYCTK,FBP1,PRPS1L1,ALDOA,ALDOB,RPIA,ALDOC,G6PD,PGLS,GPI,IDNK,DERA,PFKL,PFKM,PFKP,PGD,PGM1,PGM2,PRPS1,PRPS2,RPE,RBKS,TALDO1,TKT,RPEL1,TKTL1,TKTL2,FBP2,RGN,H6PD",158,18,7911,820,PBTA,0.695115887,1.099045754,0.631549388,1.805866139,1,353,30,FALSE,1,336
path:hsa00030,PMBB_noTumor,Pentose phosphate pathway,"GLYCTK,FBP1,PRPS1L1,ALDOA,ALDOB,RPIA,ALDOC,G6PD,PGLS,GPI,IDNK,DERA,PFKL,PFKM,PFKP,PGD,PGM1,PGM2,PRPS1,PRPS2,RPE,RBKS,TALDO1,TKT,RPEL1,TKTL1,TKTL2,FBP2,RGN,H6PD",124,18,6171,820,PBTA,0.693264738,1.092445308,0.623427235,1.810616639,1,353,30,FALSE,1,336
path:hsa04261,gnomAD,Adrenergic signaling in cardiomyocytes,"AKT3,KCNE1B,CACNG3,CACNG2,RAPGEF3,CREB3,ADCY1,ADCY2,ADCY3,RAPGEF4,ADCY5,BVES,ADCY6,ADCY7,ADCY8,ADCY9,CREB1,ATF2,ATF6B,CREM,MAPK14,ADRA1D,PIK3R6,ADRA1B,ADRA1A,CREB3L4,ADRB1,ADRB2,CALML6,AGT,AGTR1,AGTR2,ADCY4,AKT1,AKT2,PLCB1,ATP1B4,PIK3R5,CACNG5,CACNG4,GNAI1,GNAI2,GNAI3,GNAQ,GNAS,PPP2R3B,KCNE1,KCNK2,KCNQ1,MYH6,MYH7,MYL2,MYL3,MYL4,ATF4,ATP1A1,ATP1A2,ATP1A3,ATP1A4,ATP1B1,ATP1B2,ATP1B3,FXYD2,ATP2A1,ATP2A2,ATP2A3,ATP2B1,ATP2B2,ATP2B3,ATP2B4,CALML5,PIK3CG,PLCB2,PLCB3,PLCB4,PLN,PPP1CA,PPP1CB,PPP1CC,PPP2R3C,PPP1R1A,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2A,PPP2R2B,PPP2R2C,PPP2R3A,PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PPP2R5E,PRKACA,PRKACB,PRKACG,PRKCA,CACNA2D3,PPP2R2D,MAPK1,MAPK3,MAPK11,MAPK13,CACNG8,CACNG7,CACNG6,BCL2,RYR2,MAPK12,SCN1B,SCN4B,SCN5A,SCN7A,POPDC2,POPDC3,CREB3L2,SLC8A2,SLC8A1,SLC8A3,SLC9A1,ACTC1,TNNC1,TNNI3,TNNT2,TPM1,TPM2,TPM3,TPM4,CACNA1C,CACNA1D,CACNA1F,CACNA1S,CACNA2D1,CACNB1,CACNB2,CACNB3,CACNB4,CACNG1,CALM1,CALM2,CALM3,CALML3,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CREB3L3,CREB3L1,CALML4,RPS6KA5,CACNA2D2,CACNA2D4,CREB5",1747,39,72276,799,PBTA,9.15E-05,2.019358035,1.420180008,2.796383191,0.032300449,353,154,FALSE,0.030744904,336
path:hsa00040,PMBB_noCancer,Pentose and glucuronate interconversions,"AKR1A1,UGT2B11,UGT2A1,AKR1B1,DHDH,GUSB,CRYL1,DCXR,UGT2B28,UGT1A10,UGT1A8,UGT1A7,UGT1A6,UGT1A5,UGT1A9,UGT1A4,UGT1A1,UGT1A3,FGGY,AKR1B10,UGT2A2,RPE,SORD,RPEL1,CRPPA,UGDH,UGP2,UGT2B4,UGT2B7,UGT2B10,UGT2B15,UGT2B17,UGT2A3,KL,XYLB",153,18,7916,820,PBTA,0.596281312,1.135693917,0.652064287,1.867877104,1,353,35,FALSE,1,336
path:hsa00040,PMBB_noTumor,Pentose and glucuronate interconversions,"AKR1A1,UGT2B11,UGT2A1,AKR1B1,DHDH,GUSB,CRYL1,DCXR,UGT2B28,UGT1A10,UGT1A8,UGT1A7,UGT1A6,UGT1A5,UGT1A9,UGT1A4,UGT1A1,UGT1A3,FGGY,AKR1B10,UGT2A2,RPE,SORD,RPEL1,CRPPA,UGDH,UGP2,UGT2B4,UGT2B7,UGT2B10,UGT2B15,UGT2B17,UGT2A3,KL,XYLB",115,18,6180,820,PBTA,0.496897862,1.179601117,0.671556,1.961178259,1,353,35,FALSE,1,336
path:hsa04925,gnomAD,Aldosterone synthesis and secretion,"CREB3,ADCY1,ADCY2,ADCY3,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,CREB1,ATF2,ATF6B,CREB3L4,CYP11A1,CYP11B2,CYP21A2,CALML6,AGT,AGTR1,ADCY4,DAGLB,PLCB1,ATP1B4,PRKD3,PRKD2,GNA11,GNAQ,GNAS,NR4A1,HSD3B1,HSD3B2,ITPR1,ITPR2,ITPR3,KCNJ5,KCNK3,LDLR,LIPE,MC2R,ATF1,ATF4,ATP1A1,ATP1A2,ATP1A3,ATP1A4,ATP1B1,ATP1B2,ATP1B3,NPPA,NPR1,ATP2B1,ATP2B2,ATP2B3,NR4A2,ATP2B4,KCNK9,PDE2A,CALML5,PLCB2,PLCB3,PLCB4,POMC,PRKACA,PRKACB,PRKACG,PRKCA,PRKCB,PRKCE,PRKCG,PRKD1,CAMK1D,CAMK1G,CREB3L2,STAR,DAGLA,CACNA1C,CACNA1D,CACNA1F,CACNA1S,CALM1,CALM2,CALM3,CALML3,CAMK4,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CREB3L3,ORAI1,CAMK1,CACNA1I,CACNA1H,CACNA1G,CREB3L1,CALML4,SCARB1,CREB5",1953,48,72070,790,PBTA,1.29E-06,2.24222241,1.633511779,3.013851494,0.00045602,353,98,FALSE,0.000434058,336
path:hsa00051,PMBB_noCancer,Fructose and mannose metabolism,"FCSK,FBP1,ALDOA,ALDOB,ALDOC,AKR1B1,TKFC,GMDS,GMPPB,GMPPA,HK1,HK2,HK3,KHK,MPI,PFKFB1,PFKFB2,PFKFB3,PFKFB4,PFKL,PFKM,PFKP,PMM1,PMM2,ENOSF1,AKR1B10,TIGAR,SORD,TPI1,GFUS,HKDC1,FBP2,FPGT",182,25,7887,813,PBTA,0.184646617,1.332517702,0.83487973,2.045806686,1,353,33,FALSE,1,336
path:hsa00051,PMBB_noTumor,Fructose and mannose metabolism,"FCSK,FBP1,ALDOA,ALDOB,ALDOC,AKR1B1,TKFC,GMDS,GMPPB,GMPPA,HK1,HK2,HK3,KHK,MPI,PFKFB1,PFKFB2,PFKFB3,PFKFB4,PFKL,PFKM,PFKP,PMM1,PMM2,ENOSF1,AKR1B10,TIGAR,SORD,TPI1,GFUS,HKDC1,FBP2,FPGT",141,25,6154,813,PBTA,0.179713924,1.342044697,0.834698353,2.079074923,1,353,33,FALSE,1,336
path:hsa05010,gnomAD,Alzheimer disease,"AKT3,FRAT1,CASP12,NDUFC2-KCTD14,PPIF,ADAM10,CDK5,PSMD14,TPTEP2-CSNK1E,APC2,RTN3,TUBA1B,TUBB3,TUBB4A,TUBB4B,ATP5PD,UQCR11,ADRM1,FZD10,TUBA3E,CHRM1,CHRM3,CHRM5,TUBA3D,CHRNA7,CHUK,CSNK1A1L,COX6B2,NDUFA11,COX4I1,COX5B,COX6A1,COX6A2,COX6B1,COX6C,COX7A1,COX7A2,COX7B,COX7C,COX8A,PSMA8,CSF1,CSNK1A1,CSNK1E,CSNK2A1,CSNK2A2,CSNK2B,KLC3,CTNNB1,CYBB,CYC1,CALML6,DDIT3,COX7B2,AGER,DVL1,DVL2,DVL3,EIF2S1,SLC39A11,TUBB,AKT1,AKT2,ERN1,SLC39A12,ATG14,ATF6,DKK1,ATG2A,PLCB1,NCSTN,FRAT2,SLC39A14,BACE1,MTOR,FZD2,SLC39A6,BACE2,GAPDH,WIPI2,NOX1,UQCRQ,DKK4,DKK2,SLC39A1,GNAQ,CSNK2A3,SLC39A5,GRIN1,GRIN2A,GRIN2B,GRIN2C,GRIN2D,SLC25A4,GRM5,SLC25A5,SLC25A6,GSK3B,UQCR10,NRBF2,SLC39A3,SLC39A2,HSD17B10,PIK3R4,APAF1,APBB1,APC,HRAS,IDE,COX8C,TUBB8,TUBB2B,APOE,APP,FAS,IKBKB,IL1A,IL1B,IL6,INS,INSR,IRS1,ARAF,ITPR1,ITPR2,ITPR3,NDUFS7,KIF5A,KIF5B,KIF5C,KLC1,KRAS,LPL,LRP1,LRP6,LRP5,MAPT,MAP3K5,MME,UQCRHL,BECN2,ATP6,ATP8,COX1,COX2,COX3,CYTB,ND1,ND2,ND3,ND4,ND4L,ND5,ND6,ATF4,NDUFA1,NDUFA2,NDUFA3,NDUFA4,NDUFA5,NDUFA6,NDUFA7,NDUFA8,NDUFA9,NDUFA10,NDUFAB1,NDUFB1,NDUFB2,NDUFB3,NDUFB4,NDUFB5,NDUFB6,NDUFB7,NDUFB8,NDUFB9,NDUFB10,NDUFC1,NDUFC2,NDUFS1,NDUFS2,NDUFS3,NDUFV1,NDUFS4,NDUFS5,NDUFS6,NDUFS8,NDUFV2,NDUFV3,NFKB1,NOS1,NOS2,ATP2A1,ATP2A2,ATP2A3,SLC11A2,NRAS,ATP5F1A,NOX4,ATP5F1B,ATP5F1C,NDUFA13,APH1A,ATP5F1D,WNT16,ATP5F1E,ATP5PB,ATP5MC1,ATP5MC2,ATP5MC3,CALML5,TUBA8,ATP5PF,PIK3C3,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R2,PLCB2,PLCB3,PLCB4,ATP5PO,CYCS,WNT4,NDUFB11,PPID,WIPI1,ATG2B,PPP3CA,PPP3CB,PPP3CC,SLC39A9,PPP3R1,PPP3R2,AMBRA1,SLC39A4,PSENEN,MAPK1,MAPK3,NDUFA12,MAPK8,MAPK9,MAPK10,MAP2K1,MAP2K2,MAP2K7,EIF2AK2,PSEN1,PSEN2,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,NDUFA4L2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD2,PSMD3,PSMD4,PSMD7,PSMD8,RTN4,PSMD9,PSMD11,PSMD12,SLC39A10,PSMD13,BAD,PTGS2,RAF1,RELA,ATG101,RYR3,BID,SDHA,SDHB,SDHC,SDHD,SLC39A8,KLC2,SNCA,BRAF,ADAM17,TNF,TNFRSF1A,TRAF2,TUBA4A,TUBA3C,TUBB2A,UQCRB,UQCRC1,UQCRC2,UQCRFS1,UQCRH,VDAC1,VDAC2,VDAC3,WNT1,WNT2,WNT3,WNT5A,WNT6,WNT7A,WNT7B,WNT8A,WNT8B,WNT10B,WNT11,WNT2B,WNT9A,WNT9B,XBP1,CACNA1C,CACNA1D,CACNA1F,CACNA1S,TUBA1A,FZD5,SLC39A7,FZD3,SEM1,TUBAL3,CALM1,WNT10A,CALM2,CALM3,CALML3,TUBB1,WNT5B,CAPN1,CAPN2,AXIN1,AXIN2,FZD1,FZD4,FZD6,FZD7,FZD8,FZD9,SLC25A31,APH1B,CASP3,CASP7,ULK1,CASP8,CASP9,TUBB6,COX4I2,IRS4,TUBA1C,PIK3R3,IKBKG,IRS2,BECN1,FADD,CDK5R1,NAE1,WNT3A,KLC4,MCU,SLC39A13,COX7A2L,CALML4,COX5A,EIF2AK3,ULK2,ATG13,RB1CC1,PSMD6",2817,78,71206,760,PBTA,1.71E-12,2.59432551,2.021737971,3.289272046,6.03E-10,353,384,FALSE,5.74E-10,336
path:hsa00052,PMBB_noCancer,Galactose metabolism,"GALM,AKR1B1,G6PC1,GAA,GALE,GALK1,GALT,GANC,GCK,B4GALT1,GLA,GLB1,HK1,HK2,HK3,LALBA,LCT,PFKL,PFKM,PFKP,PGM1,PGM2,AKR1B10,G6PC2,SI,UGP2,HKDC1,B4GALT2,MGAM,G6PC3,MGAM2",191,25,7878,813,PBTA,0.286814033,1.26829135,0.795578022,1.944385113,1,353,31,FALSE,1,336
path:hsa00052,PMBB_noTumor,Galactose metabolism,"GALM,AKR1B1,G6PC1,GAA,GALE,GALK1,GALT,GANC,GCK,B4GALT1,GLA,GLB1,HK1,HK2,HK3,LALBA,LCT,PFKL,PFKM,PFKP,PGM1,PGM2,AKR1B10,G6PC2,SI,UGP2,HKDC1,B4GALT2,MGAM,G6PC3,MGAM2",154,25,6141,813,PBTA,0.34667926,1.226178156,0.764679092,1.89327362,1,353,31,FALSE,1,336
path:hsa00053,gnomAD,Ascorbate and aldarate metabolism,"AKR1A1,UGT2B11,UGT2A1,ALDH2,ALDH1B1,ALDH9A1,ALDH3A2,GUSB,ALDH7A1,UGT2B28,UGT1A10,UGT1A8,UGT1A7,UGT1A6,UGT1A5,UGT1A9,UGT1A4,UGT1A1,UGT1A3,MIOX,UGT2A2,UGDH,UGT2B4,UGT2B7,UGT2B10,UGT2B15,UGT2B17,UGT2A3,RGN,KL",491,14,73532,824,PBTA,0.001939016,2.54429397,1.374651666,4.335212949,0.684472677,353,30,FALSE,0.651509404,336
path:hsa00053,PMBB_noCancer,Ascorbate and aldarate metabolism,"AKR1A1,UGT2B11,UGT2A1,ALDH2,ALDH1B1,ALDH9A1,ALDH3A2,GUSB,ALDH7A1,UGT2B28,UGT1A10,UGT1A8,UGT1A7,UGT1A6,UGT1A5,UGT1A9,UGT1A4,UGT1A1,UGT1A3,MIOX,UGT2A2,UGDH,UGT2B4,UGT2B7,UGT2B10,UGT2B15,UGT2B17,UGT2A3,RGN,KL",147,14,7922,824,PBTA,0.891547493,0.915628068,0.486226787,1.595242766,1,353,30,FALSE,1,336
path:hsa00053,PMBB_noTumor,Ascorbate and aldarate metabolism,"AKR1A1,UGT2B11,UGT2A1,ALDH2,ALDH1B1,ALDH9A1,ALDH3A2,GUSB,ALDH7A1,UGT2B28,UGT1A10,UGT1A8,UGT1A7,UGT1A6,UGT1A5,UGT1A9,UGT1A4,UGT1A1,UGT1A3,MIOX,UGT2A2,UGDH,UGT2B4,UGT2B7,UGT2B10,UGT2B15,UGT2B17,UGT2A3,RGN,KL",112,14,6183,824,PBTA,1,0.937956097,0.494383885,1.650169969,1,353,30,FALSE,1,336
path:hsa00061,gnomAD,Fatty acid biosynthesis,"HTD2,ACSF3,ACSL1,ACSL3,ACSL4,FASN,ACSBG1,ACSL6,MCAT,ACACA,ACACB,MECR,ACSL5,OXSM,OLAH,HSD17B8,ACSBG2,CBR4",161,2,73862,836,PBTA,0.705387945,1.097534215,0.131554017,4.041604763,1,353,18,FALSE,1,336
path:hsa00061,PMBB_noCancer,Fatty acid biosynthesis,"HTD2,ACSF3,ACSL1,ACSL3,ACSL4,FASN,ACSBG1,ACSL6,MCAT,ACACA,ACACB,MECR,ACSL5,OXSM,OLAH,HSD17B8,ACSBG2,CBR4",45,2,8024,836,PBTA,0.316533791,0.426610587,0.050046804,1.638350921,1,353,18,FALSE,1,336
path:hsa00061,PMBB_noTumor,Fatty acid biosynthesis,"HTD2,ACSF3,ACSL1,ACSL3,ACSL4,FASN,ACSBG1,ACSL6,MCAT,ACACA,ACACB,MECR,ACSL5,OXSM,OLAH,HSD17B8,ACSBG2,CBR4",32,2,6263,836,PBTA,0.423379387,0.468264555,0.054279219,1.841139126,1,353,18,FALSE,1,336
path:hsa00062,gnomAD,Fatty acid elongation,"ACAA2,ACOT2,ACOT7,THEM4,ACOT4,ECHS1,HACD2,THEM5,HADHA,HADHB,HADH,HACD4,MECR,HSD17B12,HACD3,ELOVL2,PPT1,ELOVL5,ACOT1,ELOVL1,ELOVL4,ELOVL6,ELOVL7,ELOVL3,HACD1,PPT2,TECR",273,8,73750,830,PBTA,0.014621494,2.603732077,1.109154233,5.227971124,1,353,27,FALSE,1,336
path:hsa00062,PMBB_noCancer,Fatty acid elongation,"ACAA2,ACOT2,ACOT7,THEM4,ACOT4,ECHS1,HACD2,THEM5,HADHA,HADHB,HADH,HACD4,MECR,HSD17B12,HACD3,ELOVL2,PPT1,ELOVL5,ACOT1,ELOVL1,ELOVL4,ELOVL6,ELOVL7,ELOVL3,HACD1,PPT2,TECR",62,8,8007,830,PBTA,0.535754279,1.244738172,0.512902202,2.620215183,1,353,27,FALSE,1,336
path:hsa00062,PMBB_noTumor,Fatty acid elongation,"ACAA2,ACOT2,ACOT7,THEM4,ACOT4,ECHS1,HACD2,THEM5,HADHA,HADHB,HADH,HACD4,MECR,HSD17B12,HACD3,ELOVL2,PPT1,ELOVL5,ACOT1,ELOVL1,ELOVL4,ELOVL6,ELOVL7,ELOVL3,HACD1,PPT2,TECR",51,8,6244,830,PBTA,0.682847888,1.180026502,0.481890831,2.516692472,1,353,27,FALSE,1,336
path:hsa00071,gnomAD,Fatty acid degradation,"ACAA2,ECI2,CYP2U1,ADH1A,ADH1B,ADH1C,CPT1C,ADH4,ADH5,ADH6,ADH7,CPT1A,CPT1B,CPT2,ECI1,ECHS1,EHHADH,ALDH2,ACSL1,ACSL3,ACSL4,ALDH1B1,ALDH9A1,ALDH3A2,ACSBG1,ACSL6,GCDH,ACAA1,HADHA,HADHB,HADH,ACADL,ACADM,ACADS,ACADSB,ACADVL,ACAT1,ACAT2,ALDH7A1,ACOX1,ACSL5,ACSBG2,ACOX3",1122,60,72901,778,PBTA,5.57E-22,5.010478024,3.762185179,6.568904207,1.97E-19,353,43,TRUE,NA,NA
path:hsa00071,PMBB_noCancer,Fatty acid degradation,"ACAA2,ECI2,CYP2U1,ADH1A,ADH1B,ADH1C,CPT1C,ADH4,ADH5,ADH6,ADH7,CPT1A,CPT1B,CPT2,ECI1,ECHS1,EHHADH,ALDH2,ACSL1,ACSL3,ACSL4,ALDH1B1,ALDH9A1,ALDH3A2,ACSBG1,ACSL6,GCDH,ACAA1,HADHA,HADHB,HADH,ACADL,ACADM,ACADS,ACADSB,ACADVL,ACAT1,ACAT2,ALDH7A1,ACOX1,ACSL5,ACSBG2,ACOX3",505,60,7564,778,PBTA,0.297713894,1.155093618,0.859928975,1.528908509,1,353,43,TRUE,NA,NA
path:hsa00071,PMBB_noTumor,Fatty acid degradation,"ACAA2,ECI2,CYP2U1,ADH1A,ADH1B,ADH1C,CPT1C,ADH4,ADH5,ADH6,ADH7,CPT1A,CPT1B,CPT2,ECI1,ECHS1,EHHADH,ALDH2,ACSL1,ACSL3,ACSL4,ALDH1B1,ALDH9A1,ALDH3A2,ACSBG1,ACSL6,GCDH,ACAA1,HADHA,HADHB,HADH,ACADL,ACADM,ACADS,ACADSB,ACADVL,ACAT1,ACAT2,ALDH7A1,ACOX1,ACSL5,ACSBG2,ACOX3",373,60,5922,778,PBTA,0.165477036,1.22436935,0.906863061,1.629946965,1,353,43,TRUE,NA,NA
path:hsa00100,gnomAD,Steroid biosynthesis,"CEL,EBP,CYP2R1,CYP24A1,CYP27B1,CYP51A1,DHCR7,DHCR24,FDFT1,LBR,LIPA,LSS,NSDHL,HSD17B7,MSMO1,SC5D,SOAT1,SQLE,TM7SF2,SOAT2",524,11,73499,827,PBTA,0.057494636,1.865697296,0.92193683,3.383321429,1,353,20,FALSE,1,336
path:hsa00100,PMBB_noCancer,Steroid biosynthesis,"CEL,EBP,CYP2R1,CYP24A1,CYP27B1,CYP51A1,DHCR7,DHCR24,FDFT1,LBR,LIPA,LSS,NSDHL,HSD17B7,MSMO1,SC5D,SOAT1,SQLE,TM7SF2,SOAT2",113,11,7956,827,PBTA,1,0.936493623,0.452670183,1.749503491,1,353,20,FALSE,1,336
