Gene	Gene name
EZH2	Enhancer of zeste 2 polycomb repressive complex 2 subunit
FAH	Fumarylacetoacetate hydrolase
FANCA	Fanconi anemia complementation group A
FANCB	Fanconi anemia complementation group B
FANCC	Fanconi anemia complementation group C
FANCD2	Fanconi anemia complementation group D2
FANCE	Fanconi anemia complementation group E
FANCF	Fanconi anemia complementation group F
FANCG	Fanconi anemia complementation group G
FANCI	Fanconi anemia complementation group I
FANCL	Fanconi anemia complementation group L
FANCM	Fanconi anemia complementation group M
FAS	Fas cell surface death receptor
FGFR1	Fibroblast Growth Factor Receptor 1
FGFR2	fibroblast growth factor receptor 2(FGFR2)
FGFR3	fibroblast growth factor receptor 3(FGFR3)
FH	Fumarate hydratase
FLCN	Folliculin
FMR1	fragile X mental retardation 1
G6PC3	Glucose-6-phosphatase catalytic subunit 3
GATA2	GATA binding protein 2
GBA1	Glucosylceramidase beta
GDNF	Glial cell derived neurotrophic factor
GJB2	Gap junction protein beta 2
GLI3	GLI-KRUPPEL FAMILY MEMBER 3
GNAS	GNAS Complex Locus
GPC161	G Protein-Coupled Receptor 161
GPC3	Glypican 3
GPC4	Glypican 4
H19	H19 imprinted maternally expressed transcript
HABP2	Hyaluronan binding protein 2
HACE1	HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1
HAX1	HCLS1 associated protein X-1
HFE	Homeostatic iron regulator
HMBS	Hydroxymethylbilane synthase
HRAS	HRas proto-oncogene, GTPase
IKZF1	IKAROS family zinc finger 1
ITK	IL2 inducible T-cell kinase
KCNQ1OT1	KCNQ1 overlapping transcript 1
KIT	KIT proto-oncogene receptor tyrosine kinase
KRAS	KRAS proto-oncogene, GTPase
L2HGA	L-2-hydroxyglutaric acid
LZTR1	Leucine zipper like transcription regulator 1
MAP2K1	Mitogen-activated protein kinase kinase 1
MAP2K2	Mitogen-activated protein kinase kinase 2
MAX	MYC associated factor X
MEN1	Menin 1
MET	MET proto-oncogene, receptor tyrosine kinase
MITF	microphthalmia-associated transcription factor
MLF1	Myeloid leukemia factor 1
MLH1	MutL homolog 1
MPL	MPL proto-oncogene, thrombopoietin receptor
MRE11	meiotic recombination 11 homolog A
MSH2	MutS homolog 2
MSH6	MutS homolog 6
MTAP	Methylthioadenosine phosphorylase
MUTYH	MutY DNA glycosylase
NBN	Nibrin
NF1	Neurofibromin 1
NF2	Neurofibromin 2
NHP2	NHP2 ribonucleoprotein
NKX2-1	NKX2 homeobox 1
NOP10	NOP10 ribonucleoprotein
NRAS	Neuroblastoma RAS viral oncogone homolog
NSD1	Nuclear receptor binding SET domain protein 1
NTRK1	Neurotrophic receptor tyrosine kinase 1
PALB2	Partner and localizer of BRCA2
PAX5	Paired box 5
PDGFRA	Platelet derived growth factor receptor alpha
PHOX2B	Paired like homeobox 2b
PMS2	PMS1 homolog 2, mismatch repair system component
POLD1	DNA polymerase delta 1, catalytic subunit
POLE	DNA polymerase epsilon, catalytic subunit
POLH	DNA polymerase eta
PRKAR1A	Protein kinase cAMP-dependent type I regulatory subunit alpha
PRSS1	Serine proteas 1
PTCH1	Patched 1
PTEN	Phosphatase and tensin homolog
PTPN11	Protein tyrosine phosphatase, non-receptor type 11
RAD50	RAD50 double strand break repair protein
RAD51	RAD51 recombinase
RAD51C	RAD51 paralog C
RAD51D	RAD51 paralog D
RAF1	Raf-1 proto-oncogene, serine/threonine kinase
RB1	RB transcriptional corepressor 1
RECQL4	RecQ like helicase 4
RET	Ret proto-oncogene
RHBDF2	Rhomboid 5, homolog 2
RIT1	Ras like without CAAX 1
RMRP	RNA component of mitochondrial RNA processing endoribonuclease
RPL11	Ribosomal protein L11
RPL19	Ribosomal protein L19
RPL35A	Ribosomal protein L35a
RPL5	Ribosomal protein L5
RPS10	Ribosomal protein S10
RPS17	Ribosomal protein S17
RPS19	Ribosomal protein S19
RPS24	Ribosomal protein S24
RPS6	Ribosomal protein S6
RPS7	Ribosomal protein S7
RUNX1	Runt related transcription factor 1
SAMD9	Sterile alpha motif domain containing 9
SAMD9L	Sterile alpha motif domain containing 9 like
SBDS	SBDS, ribosome maturation factor
SDHA	Succinate dehydrogenase complex flavoprotein subunit A
SDHAF2	Succinate dehydrogenase complex assembly factor 2
SDHB	Succinate dehydrogenase complex iron sulfur subunit B
SDHC	Succinate dehydrogenase complex subunit C
SDHD	Succinate dehydrogenase complex subunit D
SERPINA1	Serpin family A member 1
SH2B3	SH2B adaptor protein 3
SH2D1A	SH2 domain containing 1A
SHOC2	SHOC2 leucine rich repeat scaffold protein
SLC25A13	Solute carrier family 25 member 13
SLX4	SLX4 structure-specific endonuclease subunit
SMAD4	SMAD family member 4
SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1
SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1
SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1
SOS2	SOS Ras/Rho guanine nucleotide exchange factor 2
SOX10	SRY-box 10
SRY	Sex determining region Y
STAT3	Signal transducer and activator of transcription 3
STK11	Serine/threonine kinase 11
SUFU	SUFU negative regulator of hedgehog signaling
TERC	Telomerase RNA component
TERT	Telomerase reverse transcriptase
TGFBR1	Transforming growth factor beta receptor 1
TINF2	TERF1 interacting nuclear factor 2
TMEM127	Transmembrane protein 127
FAS	Fas cell surface death receptor
TP53	Tumor protein p53
TRIM37	Tripartite motif containing 37
TSC1	TSC complex subunit 1
TSC2	TSC complex subunit 2
UROD	Uroporphyrinogen decarboxylase
VHL	Von Hippel-Lindau tumor suppressor
WAS	Wiskott-Aldrich syndrome
WRAP53	WD repeat containing antisense to TP53
WRN	Werner syndrome RecQ like helicase
WT1	Wilms tumor 1
XPA	XPA, DNA damage recognition and repair factor
XPC	XPC complex subunit, DNA damage recognition and repair factor
XRCC3	X-ray repair cross complementing 3
ZEB2	Zinc finger E-box binding homeobox 2
GREM1	GREMLIN 1, DAN FAMILY BMP ANTAGONIST
HOXB13	HOMEOBOX B13
KIF1B	KINESIN FAMILY MEMBER 1B
MSH3	MutS HOMOLOG 3
NTHL1	ENDONUCLEASE III-LIKE 1
PIK3CA	PHOSPHATIDYLINOSITOL 3-KINASE, CATALYTIC, ALPHA
POT1	PROTECTION OF TELOMERES 1
PRF1	PERFORIN 1
PTCH2	PATCHED 2
REST	RE1-SILENCING TRANSCRIPTION FACTOR
SPRED1	SPROUTY-RELATED EVH1 DOMAIN-CONTAINING PROTEIN 1
TRIP13	THYROID HORMONE RECEPTOR INTERACTOR 13
